timestamp,data,event,event_type,event_group,key
2020-01-30T16:21:57Z,0,timer,start,0,2020-01-30 16:21:57
2020-01-30T17:19:20Z,0,timer,stop_all,0,2020-01-30 16:21:57
2020-01-30T17:19:20Z,642,NA,marker,255,2020-01-30 16:21:57
2020-01-30T17:20:05Z,0,timer,start,0,2020-01-30 16:21:57
2020-01-30T17:20:45Z,700,NA,marker,255,2020-01-30 16:21:57
2020-01-30T17:20:46Z,0,timer,stop_all,0,2020-01-30 16:21:57
2020-01-30T17:21:14Z,0,timer,start,0,2020-01-30 16:21:57
2020-01-30T17:51:00Z,874,NA,marker,255,2020-01-30 16:21:57
2020-01-30T17:51:01Z,0,timer,stop_all,0,2020-01-30 16:21:57
2020-01-30T17:53:01Z,109,recovery_hr,marker,255,2020-01-30 16:21:57
