timestamp,data,event,event_type,event_group,key
2019-07-06T12:49:04Z,0,timer,start,0,2019-07-06 12:49:03
2019-07-06T12:53:07Z,0,timer,stop_all,0,2019-07-06 12:49:03
2019-07-06T12:53:07Z,120,NA,marker,255,2019-07-06 12:49:03
2019-07-06T12:53:15Z,0,timer,start,0,2019-07-06 12:49:03
2019-07-06T12:53:44Z,178,NA,marker,255,2019-07-06 12:49:03
2019-07-06T12:53:45Z,0,timer,stop_all,0,2019-07-06 12:49:03
2019-07-06T12:54:14Z,0,timer,start,0,2019-07-06 12:49:03
2019-07-06T13:16:50Z,1237,NA,marker,255,2019-07-06 12:49:03
2019-07-06T13:16:51Z,0,timer,stop_all,0,2019-07-06 12:49:03
2019-07-06T13:18:51Z,116,recovery_hr,marker,255,2019-07-06 12:49:03
