timestamp,data,event,event_type,event_group,key,time_created
2021-01-29T22:44:36Z,0,timer,start,0,6187855662,2021_01_29_16_44_36
2021-01-29T22:50:04Z,443,NA,marker,255,6187855662,2021_01_29_16_44_36
2021-01-29T22:50:05Z,0,timer,stop_all,0,6187855662,2021_01_29_16_44_36
2021-01-29T22:50:28Z,0,timer,start,0,6187855662,2021_01_29_16_44_36
2021-01-29T23:04:53Z,658,NA,marker,255,6187855662,2021_01_29_16_44_36
2021-01-29T23:04:54Z,0,timer,stop_all,0,6187855662,2021_01_29_16_44_36
2021-01-29T23:05:30Z,0,timer,start,0,6187855662,2021_01_29_16_44_36
2021-01-29T23:06:49Z,649,NA,marker,255,6187855662,2021_01_29_16_44_36
2021-01-29T23:06:50Z,0,timer,stop_all,0,6187855662,2021_01_29_16_44_36
2021-01-29T23:08:50Z,99,recovery_hr,marker,255,6187855662,2021_01_29_16_44_36
