timestamp,data,event,event_type,event_group,key
2019-05-15T22:12:13Z,0,timer,start,0,2019-05-15 22:12:13
2019-05-15T22:46:54Z,1338,NA,marker,255,2019-05-15 22:12:13
2019-05-15T22:46:55Z,0,timer,stop_all,0,2019-05-15 22:12:13
2019-05-15T22:47:00Z,0,timer,start,0,2019-05-15 22:12:13
2019-05-15T22:47:39Z,1338,NA,marker,255,2019-05-15 22:12:13
2019-05-15T22:47:40Z,0,timer,stop_all,0,2019-05-15 22:12:13
2019-05-15T22:48:01Z,0,timer,start,0,2019-05-15 22:12:13
2019-05-15T22:48:27Z,1396,NA,marker,255,2019-05-15 22:12:13
2019-05-15T22:48:28Z,0,timer,stop_all,0,2019-05-15 22:12:13
2019-05-15T22:48:34Z,0,timer,start,0,2019-05-15 22:12:13
2019-05-15T22:59:15Z,1584,NA,marker,255,2019-05-15 22:12:13
2019-05-15T22:59:16Z,0,timer,stop_all,0,2019-05-15 22:12:13
