timestamp,data,event,event_type,event_group,key
2020-06-11T23:45:21Z,0,timer,start,0,2020-06-11 23:45:25
2020-06-11T23:45:37Z,0,timer,stop_all,0,2020-06-11 23:45:25
2020-06-11T23:45:37Z,278,NA,marker,255,2020-06-11 23:45:25
2020-06-11T23:47:31Z,0,timer,start,0,2020-06-11 23:45:25
2020-06-11T23:47:46Z,278,NA,marker,255,2020-06-11 23:45:25
2020-06-11T23:47:47Z,0,timer,stop_all,0,2020-06-11 23:45:25
2020-06-11T23:49:47Z,100,recovery_hr,marker,255,2020-06-11 23:45:25
2020-06-11T23:50:12Z,0,timer,start,0,2020-06-11 23:45:25
2020-06-11T23:50:13Z,278,NA,marker,255,2020-06-11 23:45:25
2020-06-11T23:50:14Z,0,timer,stop_all,0,2020-06-11 23:45:25
2020-06-11T23:52:13Z,0,timer,start,0,2020-06-11 23:45:25
2020-06-11T23:52:27Z,278,NA,marker,255,2020-06-11 23:45:25
2020-06-11T23:52:28Z,0,timer,stop_all,0,2020-06-11 23:45:25
2020-06-11T23:54:28Z,115,recovery_hr,marker,255,2020-06-11 23:45:25
2020-06-11T23:55:15Z,0,timer,start,0,2020-06-11 23:45:25
2020-06-11T23:56:25Z,276,NA,marker,255,2020-06-11 23:45:25
2020-06-11T23:56:26Z,0,timer,stop_all,0,2020-06-11 23:45:25
2020-06-11T23:57:13Z,0,timer,start,0,2020-06-11 23:45:25
2020-06-11T23:57:28Z,276,NA,marker,255,2020-06-11 23:45:25
2020-06-11T23:57:29Z,0,timer,stop_all,0,2020-06-11 23:45:25
2020-06-11T23:59:29Z,115,recovery_hr,marker,255,2020-06-11 23:45:25
2020-06-11T23:59:43Z,0,timer,start,0,2020-06-11 23:45:25
2020-06-11T23:59:58Z,276,NA,marker,255,2020-06-11 23:45:25
2020-06-11T23:59:59Z,0,timer,stop_all,0,2020-06-11 23:45:25
2020-06-12T00:01:59Z,121,recovery_hr,marker,255,2020-06-11 23:45:25
2020-06-12T00:02:16Z,0,timer,start,0,2020-06-11 23:45:25
2020-06-12T00:02:51Z,275,NA,marker,255,2020-06-11 23:45:25
2020-06-12T00:02:52Z,0,timer,stop_all,0,2020-06-11 23:45:25
2020-06-12T00:04:04Z,0,timer,start,0,2020-06-11 23:45:25
2020-06-12T00:15:37Z,795,NA,marker,255,2020-06-11 23:45:25
2020-06-12T00:15:38Z,0,timer,stop_all,0,2020-06-11 23:45:25
2020-06-12T00:15:46Z,0,timer,start,0,2020-06-11 23:45:25
2020-06-12T00:22:40Z,1211,NA,marker,255,2020-06-11 23:45:25
2020-06-12T00:22:41Z,0,timer,stop_all,0,2020-06-11 23:45:25
