timestamp,data,event,event_type,event_group,key,time_created
2020-12-18T22:05:28Z,0,timer,start,0,5973410759,2020_12_18_16_05_28
2020-12-18T22:07:30Z,4,NA,marker,255,5973410759,2020_12_18_16_05_28
2020-12-18T22:07:31Z,0,timer,stop_all,0,5973410759,2020_12_18_16_05_28
2020-12-18T22:07:36Z,0,timer,start,0,5973410759,2020_12_18_16_05_28
2020-12-18T22:10:58Z,294,NA,marker,255,5973410759,2020_12_18_16_05_28
2020-12-18T22:10:59Z,0,timer,stop_all,0,5973410759,2020_12_18_16_05_28
2020-12-18T22:11:15Z,0,timer,start,0,5973410759,2020_12_18_16_05_28
2020-12-18T22:11:36Z,294,NA,marker,255,5973410759,2020_12_18_16_05_28
2020-12-18T22:11:37Z,0,timer,stop_all,0,5973410759,2020_12_18_16_05_28
2020-12-18T22:11:42Z,0,timer,start,0,5973410759,2020_12_18_16_05_28
2020-12-18T22:51:36Z,990,NA,marker,255,5973410759,2020_12_18_16_05_28
2020-12-18T22:51:37Z,0,timer,stop_all,0,5973410759,2020_12_18_16_05_28
2020-12-18T22:52:06Z,0,timer,start,0,5973410759,2020_12_18_16_05_28
2020-12-18T23:15:45Z,990,NA,marker,255,5973410759,2020_12_18_16_05_28
2020-12-18T23:15:46Z,0,timer,stop_all,0,5973410759,2020_12_18_16_05_28
