timestamp,data,event,event_type,event_group,key
2019-09-09T15:43:16Z,0,timer,start,0,2019-09-09 15:43:16
2019-09-09T15:50:49Z,352,NA,marker,255,2019-09-09 15:43:16
2019-09-09T15:50:50Z,0,timer,stop_all,0,2019-09-09 15:43:16
2019-09-09T15:51:23Z,0,timer,start,0,2019-09-09 15:43:16
2019-09-09T15:53:14Z,410,NA,marker,255,2019-09-09 15:43:16
2019-09-09T15:53:15Z,0,timer,stop_all,0,2019-09-09 15:43:16
2019-09-09T15:55:15Z,119,recovery_hr,marker,255,2019-09-09 15:43:16
2019-09-09T15:59:19Z,0,timer,start,0,2019-09-09 15:43:16
2019-09-09T15:59:44Z,410,NA,marker,255,2019-09-09 15:43:16
2019-09-09T15:59:45Z,0,timer,stop_all,0,2019-09-09 15:43:16
2019-09-09T15:59:46Z,0,timer,start,0,2019-09-09 15:43:16
2019-09-09T16:19:26Z,1110,NA,marker,255,2019-09-09 15:43:16
2019-09-09T16:19:27Z,0,timer,stop_all,0,2019-09-09 15:43:16
2019-09-09T16:19:44Z,0,timer,start,0,2019-09-09 15:43:16
2019-09-09T16:28:34Z,1226,NA,marker,255,2019-09-09 15:43:16
2019-09-09T16:28:35Z,0,timer,stop_all,0,2019-09-09 15:43:16
