timestamp,data,event,event_type,event_group,key
2020-10-24T13:05:20Z,0,timer,start,0,2020-10-24 13:05:20
2020-10-24T13:16:17Z,621,NA,marker,255,2020-10-24 13:05:20
2020-10-24T13:16:18Z,0,timer,stop_all,0,2020-10-24 13:05:20
2020-10-24T13:18:18Z,112,recovery_hr,marker,255,2020-10-24 13:05:20
2020-10-24T13:18:35Z,0,timer,start,0,2020-10-24 13:05:20
2020-10-24T13:26:36Z,642,NA,marker,255,2020-10-24 13:05:20
2020-10-24T13:26:37Z,0,timer,stop_all,0,2020-10-24 13:05:20
2020-10-24T13:28:37Z,136,recovery_hr,marker,255,2020-10-24 13:05:20
2020-10-24T13:28:49Z,0,timer,start,0,2020-10-24 13:05:20
2020-10-24T13:30:51Z,642,NA,marker,255,2020-10-24 13:05:20
2020-10-24T13:30:52Z,0,timer,stop_all,0,2020-10-24 13:05:20
2020-10-24T13:32:42Z,0,timer,start,0,2020-10-24 13:05:20
2020-10-24T13:33:34Z,642,NA,marker,255,2020-10-24 13:05:20
2020-10-24T13:33:35Z,0,timer,stop_all,0,2020-10-24 13:05:20
2020-10-24T13:35:35Z,115,recovery_hr,marker,255,2020-10-24 13:05:20
2020-10-24T13:36:38Z,0,timer,start,0,2020-10-24 13:05:20
2020-10-24T13:37:28Z,642,NA,marker,255,2020-10-24 13:05:20
2020-10-24T13:37:29Z,0,timer,stop_all,0,2020-10-24 13:05:20
2020-10-24T13:39:29Z,117,recovery_hr,marker,255,2020-10-24 13:05:20
2020-10-24T13:40:56Z,0,timer,start,0,2020-10-24 13:05:20
2020-10-24T13:41:47Z,0,timer,stop_all,0,2020-10-24 13:05:20
2020-10-24T13:41:47Z,642,NA,marker,255,2020-10-24 13:05:20
2020-10-24T13:43:47Z,120,recovery_hr,marker,255,2020-10-24 13:05:20
2020-10-24T13:45:31Z,0,timer,start,0,2020-10-24 13:05:20
2020-10-24T14:00:02Z,791,NA,marker,255,2020-10-24 13:05:20
2020-10-24T14:00:03Z,0,timer,stop_all,0,2020-10-24 13:05:20
2020-10-24T14:02:03Z,107,recovery_hr,marker,255,2020-10-24 13:05:20
