timestamp,data,event,event_type,event_group,key
2020-01-26T15:40:02Z,0,timer,start,0,2020-01-26 15:40:02
2020-01-26T16:07:02Z,1222,NA,marker,255,2020-01-26 15:40:02
2020-01-26T16:07:03Z,0,timer,stop_all,0,2020-01-26 15:40:02
2020-01-26T16:07:18Z,0,timer,start,0,2020-01-26 15:40:02
2020-01-26T16:13:47Z,1338,NA,marker,255,2020-01-26 15:40:02
2020-01-26T16:13:48Z,0,timer,stop_all,0,2020-01-26 15:40:02
2020-01-26T16:14:00Z,0,timer,start,0,2020-01-26 15:40:02
2020-01-26T16:16:12Z,0,timer,stop_all,0,2020-01-26 15:40:02
2020-01-26T16:16:12Z,1396,NA,marker,255,2020-01-26 15:40:02
2020-01-26T16:16:25Z,0,timer,start,0,2020-01-26 15:40:02
2020-01-26T16:50:24Z,1872,NA,marker,255,2020-01-26 15:40:02
2020-01-26T16:50:25Z,0,timer,stop_all,0,2020-01-26 15:40:02
2020-01-26T16:50:47Z,0,timer,start,0,2020-01-26 15:40:02
2020-01-26T16:58:29Z,1872,NA,marker,255,2020-01-26 15:40:02
2020-01-26T16:58:30Z,0,timer,stop_all,0,2020-01-26 15:40:02
2020-01-26T16:58:45Z,0,timer,start,0,2020-01-26 15:40:02
2020-01-26T17:24:46Z,1872,NA,marker,255,2020-01-26 15:40:02
2020-01-26T17:24:48Z,0,timer,stop_all,0,2020-01-26 15:40:02
2020-01-26T17:26:48Z,115,recovery_hr,marker,255,2020-01-26 15:40:02
