timestamp,data,event,event_type,event_group,key,time_created
2021-08-31T20:41:36Z,0,timer,start,0,7404963294,2021_08_31_15_41_36
2021-08-31T20:46:00Z,0,timer,stop_all,0,7404963294,2021_08_31_15_41_36
2021-08-31T20:46:00Z,234,NA,marker,255,7404963294,2021_08_31_15_41_36
2021-08-31T20:47:18Z,0,timer,start,0,7404963294,2021_08_31_15_41_36
2021-08-31T20:52:50Z,294,NA,marker,255,7404963294,2021_08_31_15_41_36
2021-08-31T20:52:51Z,0,timer,stop_all,0,7404963294,2021_08_31_15_41_36
2021-08-31T20:53:02Z,0,timer,start,0,7404963294,2021_08_31_15_41_36
2021-08-31T21:42:04Z,1328,NA,marker,255,7404963294,2021_08_31_15_41_36
2021-08-31T21:42:05Z,0,timer,stop_all,0,7404963294,2021_08_31_15_41_36
2021-08-31T21:43:20Z,0,timer,start,0,7404963294,2021_08_31_15_41_36
2021-08-31T21:47:41Z,1331,NA,marker,255,7404963294,2021_08_31_15_41_36
2021-08-31T21:47:42Z,0,timer,stop_all,0,7404963294,2021_08_31_15_41_36
2021-08-31T21:49:42Z,102,recovery_hr,marker,255,7404963294,2021_08_31_15_41_36
