timestamp,data,event,event_type,event_group,key
2020-05-06T13:42:00Z,0,timer,start,0,2020-05-06 13:42:02
2020-05-06T14:04:45Z,236,NA,marker,255,2020-05-06 13:42:02
2020-05-06T14:04:46Z,0,timer,stop_all,0,2020-05-06 13:42:02
2020-05-06T14:05:07Z,0,timer,start,0,2020-05-06 13:42:02
2020-05-06T14:09:23Z,294,NA,marker,255,2020-05-06 13:42:02
2020-05-06T14:09:24Z,0,timer,stop_all,0,2020-05-06 13:42:02
2020-05-06T14:09:27Z,0,timer,start,0,2020-05-06 13:42:02
2020-05-06T14:22:20Z,294,NA,marker,255,2020-05-06 13:42:02
2020-05-06T14:22:21Z,0,timer,stop_all,0,2020-05-06 13:42:02
2020-05-06T14:22:33Z,0,timer,start,0,2020-05-06 13:42:02
2020-05-06T14:35:29Z,0,timer,stop_all,0,2020-05-06 13:42:02
2020-05-06T14:35:29Z,468,NA,marker,255,2020-05-06 13:42:02
