timestamp,data,event,event_type,event_group,key,time_created
2022-10-20T12:23:46Z,0,timer,start,0,9826822637,2022_10_20_07_23_46
2022-10-20T12:32:07Z,0,timer,stop_all,0,9826822637,2022_10_20_07_23_46
2022-10-20T12:32:07Z,1394,NA,marker,255,9826822637,2022_10_20_07_23_46
2022-10-20T12:32:25Z,0,timer,start,0,9826822637,2022_10_20_07_23_46
2022-10-20T12:33:24Z,0,timer,stop_all,0,9826822637,2022_10_20_07_23_46
2022-10-20T12:33:24Z,1393,NA,marker,255,9826822637,2022_10_20_07_23_46
2022-10-20T12:33:27Z,0,timer,start,0,9826822637,2022_10_20_07_23_46
2022-10-20T12:37:45Z,1389,NA,marker,255,9826822637,2022_10_20_07_23_46
2022-10-20T12:37:46Z,0,timer,stop_all,0,9826822637,2022_10_20_07_23_46
2022-10-20T12:38:47Z,0,timer,start,0,9826822637,2022_10_20_07_23_46
2022-10-20T12:40:22Z,1387,NA,marker,255,9826822637,2022_10_20_07_23_46
2022-10-20T12:40:23Z,0,timer,stop_all,0,9826822637,2022_10_20_07_23_46
2022-10-20T12:42:23Z,134,recovery_hr,marker,255,9826822637,2022_10_20_07_23_46
