timestamp,data,event,event_type,event_group,key,time_created
2022-07-17T15:44:40Z,0,timer,start,0,9222886397,2022_07_17_10_44_43
2022-07-17T16:10:00Z,0,timer,stop_all,0,9222886397,2022_07_17_10_44_43
2022-07-17T16:10:00Z,682,NA,marker,255,9222886397,2022_07_17_10_44_43
2022-07-17T16:12:00Z,142,recovery_hr,marker,255,9222886397,2022_07_17_10_44_43
2022-07-17T16:16:18Z,0,timer,start,0,9222886397,2022_07_17_10_44_43
2022-07-17T16:37:13Z,1314,NA,marker,255,9222886397,2022_07_17_10_44_43
2022-07-17T16:37:14Z,0,timer,stop_all,0,9222886397,2022_07_17_10_44_43
2022-07-17T16:39:14Z,138,recovery_hr,marker,255,9222886397,2022_07_17_10_44_43
2022-07-17T16:39:51Z,0,timer,start,0,9222886397,2022_07_17_10_44_43
2022-07-17T17:05:36Z,0,timer,stop_all,0,9222886397,2022_07_17_10_44_43
2022-07-17T17:05:36Z,1280,NA,marker,255,9222886397,2022_07_17_10_44_43
