timestamp,data,event,event_type,event_group,key,time_created
2022-06-03T11:38:49Z,0,timer,start,0,8945690418,2022_06_03_06_38_49
2022-06-03T11:39:48Z,428,NA,marker,255,8945690418,2022_06_03_06_38_49
2022-06-03T11:39:49Z,0,timer,stop_all,0,8945690418,2022_06_03_06_38_49
2022-06-03T11:40:15Z,0,timer,start,0,8945690418,2022_06_03_06_38_49
2022-06-03T12:26:58Z,642,NA,marker,255,8945690418,2022_06_03_06_38_49
2022-06-03T12:26:59Z,0,timer,stop_all,0,8945690418,2022_06_03_06_38_49
2022-06-03T12:27:31Z,0,timer,start,0,8945690418,2022_06_03_06_38_49
2022-06-03T12:35:21Z,700,NA,marker,255,8945690418,2022_06_03_06_38_49
2022-06-03T12:35:22Z,0,timer,stop_all,0,8945690418,2022_06_03_06_38_49
2022-06-03T12:35:39Z,0,timer,start,0,8945690418,2022_06_03_06_38_49
2022-06-03T12:36:12Z,700,NA,marker,255,8945690418,2022_06_03_06_38_49
2022-06-03T12:36:13Z,0,timer,stop_all,0,8945690418,2022_06_03_06_38_49
2022-06-03T12:36:31Z,0,timer,start,0,8945690418,2022_06_03_06_38_49
2022-06-03T12:38:15Z,700,NA,marker,255,8945690418,2022_06_03_06_38_49
2022-06-03T12:38:16Z,0,timer,stop_all,0,8945690418,2022_06_03_06_38_49
2022-06-03T12:40:16Z,102,recovery_hr,marker,255,8945690418,2022_06_03_06_38_49
