timestamp,data,event,event_type,event_group,key,time_created
2022-05-31T20:22:27Z,0,timer,start,0,8929785123,2022_05_31_15_22_31
2022-05-31T20:27:03Z,133,NA,marker,255,8929785123,2022_05_31_15_22_31
2022-05-31T20:27:04Z,0,timer,stop_all,0,8929785123,2022_05_31_15_22_31
2022-05-31T20:27:11Z,0,timer,start,0,8929785123,2022_05_31_15_22_31
2022-05-31T20:36:46Z,294,NA,marker,255,8929785123,2022_05_31_15_22_31
2022-05-31T20:36:47Z,0,timer,stop_all,0,8929785123,2022_05_31_15_22_31
2022-05-31T20:36:52Z,0,timer,start,0,8929785123,2022_05_31_15_22_31
2022-05-31T20:44:40Z,0,timer,stop_all,0,8929785123,2022_05_31_15_22_31
2022-05-31T20:44:40Z,410,NA,marker,255,8929785123,2022_05_31_15_22_31
2022-05-31T20:46:40Z,83,recovery_hr,marker,255,8929785123,2022_05_31_15_22_31
2022-05-31T21:03:42Z,0,timer,start,0,8929785123,2022_05_31_15_22_31
2022-05-31T21:19:38Z,526,NA,marker,255,8929785123,2022_05_31_15_22_31
2022-05-31T21:19:39Z,0,timer,stop_all,0,8929785123,2022_05_31_15_22_31
