longitude,latitude,timestamp,distance,cadence,fractional_cadence,heart_rate,time_elapsed,elevation,key
NA,NA,2021-05-20T19:30:27Z,0,81,0,101,73,0,6813993966
NA,NA,2021-05-20T19:30:28Z,0,81,0,102,74,0,6813993966
NA,NA,2021-05-20T19:30:29Z,0,80,0,102,75,0,6813993966
NA,NA,2021-05-20T19:30:30Z,0,41,0,102,76,0,6813993966
NA,NA,2021-05-20T19:30:31Z,0,41,0,102,77,0,6813993966
NA,NA,2021-05-20T19:30:32Z,0,41,0,102,78,0,6813993966
NA,NA,2021-05-20T19:30:33Z,0,41,0,102,79,0,6813993966
NA,NA,2021-05-20T19:30:34Z,0,41,0,103,80,0,6813993966
NA,NA,2021-05-20T19:30:35Z,0,83,0,104,81,0,6813993966
NA,NA,2021-05-20T19:30:36Z,0,83,0,104,82,0,6813993966
NA,NA,2021-05-20T19:30:37Z,0,41,0,104,83,0,6813993966
NA,NA,2021-05-20T19:30:38Z,0,41,0,104,84,0,6813993966
NA,NA,2021-05-20T19:30:39Z,0,41,0,104,85,0,6813993966
NA,NA,2021-05-20T19:30:40Z,0,41,0,104,86,0,6813993966
NA,NA,2021-05-20T19:30:41Z,0,41,0,104,87,0,6813993966
NA,NA,2021-05-20T19:30:42Z,0,41,0,103,88,0,6813993966
NA,NA,2021-05-20T19:30:43Z,0,41,0,103,89,0,6813993966
NA,NA,2021-05-20T19:30:44Z,0,41,0,103,90,0,6813993966
NA,NA,2021-05-20T19:30:45Z,0,41,0,103,91,0,6813993966
NA,NA,2021-05-20T19:30:46Z,0,40,0,104,92,0,6813993966
NA,NA,2021-05-20T19:30:47Z,0,40,0,104,93,0,6813993966
NA,NA,2021-05-20T19:30:48Z,0,41,0,105,94,0,6813993966
NA,NA,2021-05-20T19:30:49Z,0,41,0,105,95,0,6813993966
NA,NA,2021-05-20T19:30:50Z,0,41,0,106,96,0,6813993966
NA,NA,2021-05-20T19:30:51Z,0,41,0,106,97,0,6813993966
NA,NA,2021-05-20T19:30:52Z,0,41,0,106,98,0,6813993966
NA,NA,2021-05-20T19:30:53Z,0,83,0,107,99,0,6813993966
NA,NA,2021-05-20T19:30:54Z,0,83,0,107,100,0,6813993966
NA,NA,2021-05-20T19:30:55Z,0,83,0,107,101,0,6813993966
NA,NA,2021-05-20T19:30:56Z,0,82,0,107,102,0,6813993966
NA,NA,2021-05-20T19:30:57Z,0,82,0,108,103,0,6813993966
NA,NA,2021-05-20T19:30:58Z,0,82,0,108,104,0,6813993966
NA,NA,2021-05-20T19:30:59Z,0,82,0,108,105,0,6813993966
NA,NA,2021-05-20T19:31:00Z,0,41,0,108,106,0,6813993966
NA,NA,2021-05-20T19:31:01Z,0,41,0,109,107,0,6813993966
NA,NA,2021-05-20T19:31:02Z,0,41,0,109,108,0,6813993966
NA,NA,2021-05-20T19:31:03Z,0,41,0,109,109,0,6813993966
NA,NA,2021-05-20T19:31:04Z,0,41,0,109,110,0,6813993966
NA,NA,2021-05-20T19:31:05Z,0,41,0,109,111,0,6813993966
NA,NA,2021-05-20T19:31:06Z,0,41,0,110,112,0,6813993966
NA,NA,2021-05-20T19:31:07Z,0,41,0,109,113,0,6813993966
NA,NA,2021-05-20T19:31:08Z,0,41,0,109,114,0,6813993966
NA,NA,2021-05-20T19:31:09Z,0,41,0,109,115,0,6813993966
NA,NA,2021-05-20T19:31:10Z,0,41,0,109,116,0,6813993966
NA,NA,2021-05-20T19:31:11Z,0,41,0,107,117,0,6813993966
NA,NA,2021-05-20T19:31:12Z,0,41,0,107,118,0,6813993966
NA,NA,2021-05-20T19:31:13Z,0,41,0,108,119,0,6813993966
NA,NA,2021-05-20T19:31:14Z,0,40,0,109,120,0,6813993966
NA,NA,2021-05-20T19:31:15Z,0,40,0,109,121,0,6813993966
NA,NA,2021-05-20T19:31:16Z,0,41,0,109,122,0,6813993966
NA,NA,2021-05-20T19:31:17Z,0,41,0,109,123,0,6813993966
NA,NA,2021-05-20T19:31:18Z,0,41,0,109,124,0,6813993966
NA,NA,2021-05-20T19:31:19Z,0,40,0,109,125,0,6813993966
NA,NA,2021-05-20T19:31:20Z,0,40,0,109,126,0,6813993966
NA,NA,2021-05-20T19:31:21Z,0,40,0,110,127,0,6813993966
