timestamp,distance,altitude,speed,cadence,fractional_cadence,heart_rate,key
2019-05-28T19:51:38Z,147.99,279.20000000000005,3.508,86,0,NA,2019-05-28 19:50:51
2019-05-28T19:51:39Z,151.5,279.20000000000005,3.518,85,0.5,NA,2019-05-28 19:50:51
2019-05-28T19:51:40Z,155.02,279.20000000000005,3.518,84,0.5,NA,2019-05-28 19:50:51
2019-05-28T19:50:50Z,0,279.20000000000005,0,0,0,98,2019-05-28 19:50:51
2019-05-28T19:50:51Z,0,279.20000000000005,0,0,0,99,2019-05-28 19:50:51
2019-05-28T19:50:52Z,0,279.20000000000005,0,0,0,100,2019-05-28 19:50:51
2019-05-28T19:50:53Z,0,279.20000000000005,0,58,0.5,100,2019-05-28 19:50:51
2019-05-28T19:50:54Z,1.28,279.20000000000005,1.278,58,0.5,100,2019-05-28 19:50:51
2019-05-28T19:50:55Z,2.69,279.20000000000005,1.409,58,0.5,100,2019-05-28 19:50:51
2019-05-28T19:50:56Z,4.39,279.20000000000005,1.708,58,0.5,100,2019-05-28 19:50:51
2019-05-28T19:50:57Z,6.42,279.20000000000005,2.025,58,0.5,100,2019-05-28 19:50:51
2019-05-28T19:50:58Z,8.49,279.20000000000005,2.071,86,0,99,2019-05-28 19:50:51
2019-05-28T19:50:59Z,11.68,279.20000000000005,3.191,86,0,98,2019-05-28 19:50:51
2019-05-28T19:51:00Z,14.84,279.20000000000005,3.163,83,0,97,2019-05-28 19:50:51
2019-05-28T19:51:01Z,18.15,279.20000000000005,3.312,82,0.5,96,2019-05-28 19:50:51
2019-05-28T19:51:02Z,21.51,279.20000000000005,3.359,83,0,96,2019-05-28 19:50:51
2019-05-28T19:51:03Z,24.91,279.20000000000005,3.396,83,0.5,95,2019-05-28 19:50:51
2019-05-28T19:51:04Z,28.25,279.20000000000005,3.34,84,0.5,95,2019-05-28 19:50:51
2019-05-28T19:51:05Z,31.68,279.20000000000005,3.415,84,0.5,95,2019-05-28 19:50:51
2019-05-28T19:51:06Z,35.19,279.20000000000005,3.518,85,0.5,94,2019-05-28 19:50:51
2019-05-28T19:51:07Z,38.86,279.20000000000005,3.676,85,0.5,94,2019-05-28 19:50:51
2019-05-28T19:51:08Z,42.49,279.20000000000005,3.63,85,0.5,94,2019-05-28 19:50:51
2019-05-28T19:51:09Z,46.03,279.20000000000005,3.546,86,0,95,2019-05-28 19:50:51
2019-05-28T19:51:10Z,49.52,279.20000000000005,3.48,86,0,94,2019-05-28 19:50:51
2019-05-28T19:51:11Z,52.96,279.20000000000005,3.443,86,0,95,2019-05-28 19:50:51
2019-05-28T19:51:12Z,56.37,279.20000000000005,3.415,86,0,96,2019-05-28 19:50:51
2019-05-28T19:51:13Z,59.75,279.20000000000005,3.378,86,0,96,2019-05-28 19:50:51
2019-05-28T19:51:14Z,63.11,279.20000000000005,3.359,86,0,97,2019-05-28 19:50:51
2019-05-28T19:51:15Z,66.48,279.20000000000005,3.368,86,0,97,2019-05-28 19:50:51
2019-05-28T19:51:16Z,69.74,279.20000000000005,3.256,86,0,98,2019-05-28 19:50:51
2019-05-28T19:51:17Z,73.03,279.20000000000005,3.294,86,0,99,2019-05-28 19:50:51
2019-05-28T19:51:18Z,76.38,279.20000000000005,3.35,86,0,99,2019-05-28 19:50:51
2019-05-28T19:51:19Z,79.76,279.20000000000005,3.378,85,0.5,100,2019-05-28 19:50:51
2019-05-28T19:51:20Z,83.17,279.20000000000005,3.415,85,0.5,101,2019-05-28 19:50:51
2019-05-28T19:51:21Z,86.62,279.20000000000005,3.443,85,0.5,102,2019-05-28 19:50:51
2019-05-28T19:51:22Z,90.16,279.20000000000005,3.546,85,0.5,102,2019-05-28 19:50:51
2019-05-28T19:51:23Z,93.77,279.20000000000005,3.611,86,0,102,2019-05-28 19:50:51
2019-05-28T19:51:24Z,97.46,279.20000000000005,3.686,86,0,103,2019-05-28 19:50:51
2019-05-28T19:51:25Z,101.11,279.20000000000005,3.658,86,0,105,2019-05-28 19:50:51
2019-05-28T19:51:26Z,104.77,279.20000000000005,3.658,86,0,105,2019-05-28 19:50:51
