timestamp,distance,altitude,cadence,fractional_cadence,heart_rate,key
2018-03-12T19:05:07Z,0,313,0,0,80,2018-03-12 19:03:45
2018-03-12T19:05:08Z,0,313,0,0,80,2018-03-12 19:03:45
2018-03-12T19:05:09Z,0,313,0,0,80,2018-03-12 19:03:45
2018-03-12T19:05:10Z,0,313,0,0,80,2018-03-12 19:03:45
2018-03-12T19:05:11Z,0,313,0,0,76,2018-03-12 19:03:45
2018-03-12T19:05:12Z,0,313,0,0,75,2018-03-12 19:03:45
2018-03-12T19:05:13Z,0,313,0,0,73,2018-03-12 19:03:45
2018-03-12T19:05:14Z,0,313,0,0,71,2018-03-12 19:03:45
2018-03-12T19:05:15Z,0,313,0,0,70,2018-03-12 19:03:45
2018-03-12T19:05:16Z,0,313,0,0,69,2018-03-12 19:03:45
2018-03-12T19:05:17Z,0,313,0,0,69,2018-03-12 19:03:45
2018-03-12T19:05:18Z,0,313,0,0,70,2018-03-12 19:03:45
2018-03-12T19:05:19Z,0,313,0,0,72,2018-03-12 19:03:45
2018-03-12T19:05:20Z,0,313,0,0,72,2018-03-12 19:03:45
2018-03-12T19:05:21Z,0,313,0,0,73,2018-03-12 19:03:45
2018-03-12T19:05:22Z,0,313,0,0,76,2018-03-12 19:03:45
2018-03-12T19:05:23Z,0,313,0,0,78,2018-03-12 19:03:45
2018-03-12T19:05:24Z,0,313,0,0,81,2018-03-12 19:03:45
2018-03-12T19:05:25Z,0,313,0,0,86,2018-03-12 19:03:45
2018-03-12T19:05:26Z,0,313,0,0,92,2018-03-12 19:03:45
2018-03-12T19:05:27Z,0,313,0,0,98,2018-03-12 19:03:45
2018-03-12T19:05:28Z,0,313,0,0,99,2018-03-12 19:03:45
2018-03-12T19:05:29Z,0,313,0,0,99,2018-03-12 19:03:45
2018-03-12T19:05:30Z,0,313,0,0,99,2018-03-12 19:03:45
2018-03-12T19:05:31Z,0,313,0,0,99,2018-03-12 19:03:45
2018-03-12T19:05:32Z,0,313,0,0,100,2018-03-12 19:03:45
2018-03-12T19:05:33Z,0,313,0,0,98,2018-03-12 19:03:45
2018-03-12T19:05:34Z,0,313,0,0,98,2018-03-12 19:03:45
2018-03-12T19:05:35Z,0,313,0,0,96,2018-03-12 19:03:45
2018-03-12T19:05:36Z,0,313,0,0,100,2018-03-12 19:03:45
2018-03-12T19:05:37Z,0,313,0,0,101,2018-03-12 19:03:45
2018-03-12T19:05:38Z,0,313,0,0,102,2018-03-12 19:03:45
2018-03-12T19:05:39Z,0,313,0,0,100,2018-03-12 19:03:45
2018-03-12T19:05:40Z,0,313,0,0,101,2018-03-12 19:03:45
2018-03-12T19:05:41Z,0,313,0,0,102,2018-03-12 19:03:45
2018-03-12T19:05:42Z,0,313,0,0,99,2018-03-12 19:03:45
2018-03-12T19:05:43Z,0,313,0,0,98,2018-03-12 19:03:45
2018-03-12T19:05:44Z,0,313,0,0,98,2018-03-12 19:03:45
2018-03-12T19:05:45Z,0,313,0,0,98,2018-03-12 19:03:45
2018-03-12T19:05:46Z,0,313,0,0,100,2018-03-12 19:03:45
2018-03-12T19:05:47Z,0,313,0,0,105,2018-03-12 19:03:45
2018-03-12T19:05:48Z,0,313,0,0,110,2018-03-12 19:03:45
2018-03-12T19:05:49Z,0,313,0,0,115,2018-03-12 19:03:45
2018-03-12T19:05:50Z,0,313,0,0,118,2018-03-12 19:03:45
2018-03-12T19:05:51Z,0,313,0,0,118,2018-03-12 19:03:45
2018-03-12T19:05:52Z,0,313,0,0,118,2018-03-12 19:03:45
2018-03-12T19:05:53Z,0,313,0,0,117,2018-03-12 19:03:45
2018-03-12T19:05:54Z,0,313,0,0,115,2018-03-12 19:03:45
2018-03-12T19:05:55Z,0,313,0,0,114,2018-03-12 19:03:45
2018-03-12T19:05:56Z,0,313,0,0,117,2018-03-12 19:03:45
2018-03-12T19:05:57Z,0,313,0,0,118,2018-03-12 19:03:45
2018-03-12T19:05:58Z,0,313,0,0,120,2018-03-12 19:03:45
2018-03-12T19:05:59Z,0,313,0,0,122,2018-03-12 19:03:45
2018-03-12T19:06:00Z,0,313,0,0,122,2018-03-12 19:03:45
2018-03-12T19:06:01Z,0,313,58,0.5,124,2018-03-12 19:03:45
2018-03-12T19:06:02Z,0,313,58,0.5,125,2018-03-12 19:03:45
2018-03-12T19:06:03Z,0,313,58,0.5,125,2018-03-12 19:03:45
2018-03-12T19:06:04Z,0,313,58,0.5,124,2018-03-12 19:03:45
2018-03-12T19:06:05Z,0,313,58,0.5,122,2018-03-12 19:03:45
2018-03-12T19:06:06Z,0,313,58,0.5,124,2018-03-12 19:03:45
2018-03-12T19:06:07Z,0,313,0,0,125,2018-03-12 19:03:45
2018-03-12T19:06:08Z,0,313,0,0,123,2018-03-12 19:03:45
2018-03-12T19:06:09Z,0,313,58,0.5,120,2018-03-12 19:03:45
2018-03-12T19:06:10Z,0,313,58,0.5,119,2018-03-12 19:03:45
2018-03-12T19:06:11Z,0,313,0,0,118,2018-03-12 19:03:45
2018-03-12T19:06:12Z,0,313,0,0,116,2018-03-12 19:03:45
2018-03-12T19:06:13Z,0,313,58,0.5,115,2018-03-12 19:03:45
