timestamp,distance,speed,cadence,fractional_cadence,heart_rate,time_elapsed,key
2021-07-26T00:35:31Z,255.06,3.919,85,0.5,61,28,7190110060
2021-07-26T00:35:32Z,258.94,3.882,84,0.5,61,29,7190110060
2021-07-26T00:35:33Z,262.78,3.835,84,0.5,61,30,7190110060
2021-07-26T00:35:34Z,266.56,3.788,85,0.5,61,31,7190110060
2021-07-26T00:35:35Z,270.28,3.714,86,0,61,32,7190110060
2021-07-26T00:35:36Z,274,3.723,86,0,61,33,7190110060
2021-07-26T00:35:37Z,277.72,3.723,85,0.5,61,34,7190110060
2021-07-26T00:35:38Z,281.45,3.723,84,0.5,61,35,7190110060
2021-07-26T00:35:39Z,285.14,3.695,84,0.5,61,36,7190110060
2021-07-26T00:35:40Z,288.5,3.359,84,0.5,61,37,7190110060
2021-07-26T00:35:41Z,291.88,3.378,85,0.5,61,38,7190110060
2021-07-26T00:35:42Z,295.34,3.462,85,0.5,61,39,7190110060
2021-07-26T00:35:43Z,298.72,3.378,85,0.5,61,40,7190110060
2021-07-26T00:35:44Z,302.21,3.49,85,0.5,61,41,7190110060
2021-07-26T00:35:45Z,305.77,3.555,85,0.5,61,42,7190110060
2021-07-26T00:35:46Z,309.35,3.592,86,0,61,43,7190110060
2021-07-26T00:35:47Z,312.98,3.63,87,0,61,44,7190110060
2021-07-26T00:35:48Z,316.63,3.648,87,0,61,45,7190110060
2021-07-26T00:35:49Z,320.3,3.667,86,0,61,46,7190110060
2021-07-26T00:35:50Z,323.99,3.695,86,0,61,47,7190110060
2021-07-26T00:35:51Z,327.94,3.947,86,0,61,48,7190110060
2021-07-26T00:35:52Z,331.93,3.994,85,0.5,61,49,7190110060
2021-07-26T00:35:53Z,335.78,3.844,85,0.5,61,50,7190110060
2021-07-26T00:35:54Z,339.58,3.798,85,0.5,61,51,7190110060
2021-07-26T00:35:55Z,343.35,3.77,84,0.5,61,52,7190110060
2021-07-26T00:35:56Z,347.09,3.742,84,0.5,63,53,7190110060
2021-07-26T00:35:57Z,350.82,3.732,84,0.5,65,54,7190110060
2021-07-26T00:35:58Z,354.6,3.779,85,0.5,67,55,7190110060
2021-07-26T00:35:59Z,358.37,3.77,85,0.5,67,56,7190110060
2021-07-26T00:36:00Z,362.13,3.76,85,0.5,67,57,7190110060
2021-07-26T00:36:01Z,365.88,3.751,86,0,68,58,7190110060
2021-07-26T00:36:02Z,369.67,3.788,86,0,68,59,7190110060
2021-07-26T00:36:03Z,373.45,3.779,85,0.5,65,60,7190110060
2021-07-26T00:36:04Z,377.17,3.723,84,0.5,65,61,7190110060
2021-07-26T00:36:05Z,380.64,3.462,84,0.5,61,62,7190110060
2021-07-26T00:36:06Z,383.85,3.219,85,0.5,60,63,7190110060
2021-07-26T00:36:07Z,387.1,3.247,85,0.5,61,64,7190110060
2021-07-26T00:36:08Z,390.49,3.396,85,0.5,63,65,7190110060
2021-07-26T00:36:09Z,394.05,3.555,85,0.5,71,66,7190110060
2021-07-26T00:36:10Z,397.51,3.462,85,0.5,83,67,7190110060
2021-07-26T00:36:11Z,400.91,3.396,85,0.5,83,68,7190110060
2021-07-26T00:36:12Z,404.26,3.35,85,0.5,84,69,7190110060
2021-07-26T00:36:13Z,406.82,2.566,85,0.5,90,70,7190110060
2021-07-26T00:36:14Z,409.91,3.079,85,0.5,100,71,7190110060
2021-07-26T00:36:15Z,412.97,3.07,86,0.5,105,72,7190110060
2021-07-26T00:36:16Z,416.38,3.406,86,0.5,108,73,7190110060
2021-07-26T00:36:17Z,419.94,3.555,85,0.5,110,74,7190110060
2021-07-26T00:36:18Z,423.54,3.602,85,0.5,111,75,7190110060
2021-07-26T00:36:19Z,427.17,3.63,85,0.5,111,76,7190110060
2021-07-26T00:36:20Z,430.73,3.564,85,0.5,111,77,7190110060
2021-07-26T00:36:21Z,434.2,3.471,84,0.5,112,78,7190110060
2021-07-26T00:36:22Z,437.63,3.434,84,0.5,111,79,7190110060
2021-07-26T00:36:23Z,440.95,3.322,84,0.5,111,80,7190110060
2021-07-26T00:36:24Z,444.18,3.228,85,0.5,111,81,7190110060
2021-07-26T00:36:25Z,447.46,3.275,85,0.5,111,82,7190110060
2021-07-26T00:36:26Z,450.86,3.406,86,0,111,83,7190110060
2021-07-26T00:36:27Z,454.34,3.48,86,0,111,84,7190110060
2021-07-26T00:36:28Z,457.87,3.527,86,0,111,85,7190110060
2021-07-26T00:36:29Z,461.43,3.555,86,0,112,86,7190110060
2021-07-26T00:36:30Z,465.03,3.602,86,0,113,87,7190110060
2021-07-26T00:36:31Z,468.7,3.667,86,0,113,88,7190110060
2021-07-26T00:36:32Z,472.4,3.704,86,0,113,89,7190110060
2021-07-26T00:36:33Z,476.12,3.723,86,0,113,90,7190110060
2021-07-26T00:36:34Z,479.84,3.714,85,0.5,113,91,7190110060
2021-07-26T00:36:35Z,483.55,3.714,85,0.5,113,92,7190110060
2021-07-26T00:36:36Z,487.24,3.695,84,0.5,113,93,7190110060
2021-07-26T00:36:37Z,490.94,3.695,84,0.5,113,94,7190110060
