timestamp,position_lat,position_long,distance,altitude,speed,heart_rate,key
2018-10-28T23:13:36Z,45.0047351885587,-93.22913087904453,0,268.20000000000005,3.154,63,2018-10-28 23:13:37
2018-10-28T23:13:37Z,45.00471297651529,-93.22910053655505,3.41,268.79999999999995,2.893,63,2018-10-28 23:13:37
2018-10-28T23:13:38Z,45.004696464166045,-93.22907195426524,6.32,268.6,3.2,63,2018-10-28 23:13:37
2018-10-28T23:13:39Z,45.004680873826146,-93.22903197258711,9.9,268.79999999999995,3.275,63,2018-10-28 23:13:37
2018-10-28T23:13:40Z,45.00467224046588,-93.22898478247225,13.73,269,3.658,63,2018-10-28 23:13:37
2018-10-28T23:13:41Z,45.004669642075896,-93.22893826290965,17.41,269.4,3.583,63,2018-10-28 23:13:37
2018-10-28T23:13:42Z,45.00466880388558,-93.22889383882284,20.92,269.6,3.359,63,2018-10-28 23:13:37
2018-10-28T23:13:43Z,45.00466729514301,-93.22885318659246,24.13,269.79999999999995,3.21,63,2018-10-28 23:13:37
2018-10-28T23:13:44Z,45.00466603785753,-93.22881060652435,27.49,270,3.527,63,2018-10-28 23:13:37
2018-10-28T23:13:45Z,45.00467073172331,-93.22875671088696,31.73,268.79999999999995,4.199,63,2018-10-28 23:13:37
2018-10-28T23:13:46Z,45.00467341393232,-93.22870004922152,36.18,268.20000000000005,4.329,63,2018-10-28 23:13:37
2018-10-28T23:13:47Z,45.00466302037239,-93.22858379222453,45.42,267.6,4.628,62,2018-10-28 23:13:37
2018-10-28T23:13:48Z,45.00466302037239,-93.22858379222453,45.42,267.6,4.628,62,2018-10-28 23:13:37
2018-10-28T23:13:49Z,45.00465162098408,-93.2285266276449,50.09,267.4,4.647,61,2018-10-28 23:13:37
2018-10-28T23:13:50Z,45.004637287929654,-93.22846937924623,54.88,267.20000000000005,4.628,60,2018-10-28 23:13:37
2018-10-28T23:13:51Z,45.00461842864752,-93.22841514833272,59.65,267,4.637,60,2018-10-28 23:13:37
2018-10-28T23:13:52Z,45.00459571368992,-93.22836418636143,64.38,266.79999999999995,4.693,61,2018-10-28 23:13:37
2018-10-28T23:13:53Z,45.00457048416138,-93.22831716388464,69.04,266.4,4.469,62,2018-10-28 23:13:37
2018-10-28T23:13:54Z,45.00454617664218,-93.22827466763556,73.33,266.20000000000005,4.143,63,2018-10-28 23:13:37
2018-10-28T23:13:55Z,45.00451725907624,-93.22823879308999,77.6,266.20000000000005,4.367,64,2018-10-28 23:13:37
2018-10-28T23:13:56Z,45.00448222272098,-93.2282089535147,82.14,265.79999999999995,4.469,66,2018-10-28 23:13:37
2018-10-28T23:13:57Z,45.00444031320512,-93.22819193825126,86.94,265.6,5.076,68,2018-10-28 23:13:37
2018-10-28T23:13:58Z,45.00439370982349,-93.22819462046027,92.07,265.79999999999995,5.318,71,2018-10-28 23:13:37
2018-10-28T23:13:59Z,45.00434844754636,-93.22821197099984,97.27,266,4.927,73,2018-10-28 23:13:37
2018-10-28T23:14:00Z,45.00430444255471,-93.22824281640351,102.72,266,5.421,74,2018-10-28 23:13:37
2018-10-28T23:14:01Z,45.00425951555371,-93.22828313335776,108.64,266.20000000000005,5.813,75,2018-10-28 23:13:37
2018-10-28T23:14:02Z,45.004211235791445,-93.22833216749132,115.25,266,6.513,76,2018-10-28 23:13:37
2018-10-28T23:14:03Z,45.004161866381764,-93.22838380001485,122.08,265.79999999999995,6.615,81,2018-10-28 23:13:37
2018-10-28T23:14:04Z,45.00411476008594,-93.22843585163355,128.73,266,6.168,83,2018-10-28 23:13:37
2018-10-28T23:14:05Z,45.00406782142818,-93.22848865762353,135.41,266,6.643,85,2018-10-28 23:13:37
2018-10-28T23:14:06Z,45.004018200561404,-93.22854339145124,142.4,266.20000000000005,6.867,88,2018-10-28 23:13:37
2018-10-28T23:14:07Z,45.0039684958756,-93.22859703563154,149.36,266.6,6.746,89,2018-10-28 23:13:37
2018-10-28T23:14:08Z,45.003920970484614,-93.22865093126893,156.14,266.6,6.531,91,2018-10-28 23:13:37
2018-10-28T23:14:09Z,45.00387202017009,-93.22870524600148,163.06,266.4,6.681,91,2018-10-28 23:13:37
2018-10-28T23:14:10Z,45.0038234051317,-93.22875930927694,169.95,266.20000000000005,6.643,92,2018-10-28 23:13:37
2018-10-28T23:14:11Z,45.00377529300749,-93.22881563566625,176.89,266.20000000000005,6.718,93,2018-10-28 23:13:37
2018-10-28T23:14:12Z,45.00372768379748,-93.22887053713202,183.72,266.20000000000005,6.662,95,2018-10-28 23:13:37
2018-10-28T23:14:13Z,45.003679152578115,-93.22892527095973,190.63,266.20000000000005,6.765,94,2018-10-28 23:13:37
2018-10-28T23:14:14Z,45.00362961553037,-93.22897782549262,197.52,266.20000000000005,6.783,94,2018-10-28 23:13:37
2018-10-28T23:14:15Z,45.00357924029231,-93.22903004474938,204.47,266.20000000000005,6.895,93,2018-10-28 23:13:37
