timestamp,distance,speed,heart_rate,time_elapsed,elevation,latitude,longitude,key
2021-04-28T23:10:19Z,5.25,5.076,91,0,254.53,44.98474267311394,-93.23374134488404,6690725681
2021-04-28T23:10:20Z,10.52,5.067,92,1,254.63,44.98471970669925,-93.2336828391999,6690725681
2021-04-28T23:10:21Z,15.74,5.197,94,2,254.57,44.984697327017784,-93.23362466879189,6690725681
2021-04-28T23:10:22Z,20.95,5.179,96,3,254.63,44.984673857688904,-93.23356742039323,6690725681
2021-04-28T23:10:23Z,26.23,5.104,97,4,254.73,44.98465114273131,-93.233508663252,6690725681
2021-04-28T23:10:24Z,31.52,5.263,99,5,254.67,44.98462909832597,-93.23344923555851,6690725681
2021-04-28T23:10:25Z,37.06,5.281,100,6,254.74,44.984606970101595,-93.23338620364666,6690725681
2021-04-28T23:10:26Z,42.44,5.356,100,7,254.64,44.98458484187722,-93.23332543484867,6690725681
2021-04-28T23:10:27Z,47.95,5.291,101,8,254.73,44.984561959281564,-93.2332634087652,6690725681
2021-04-28T23:10:28Z,53.43,5.374,101,9,254.77,44.98453882522881,-93.23320205323398,6690725681
2021-04-28T23:10:29Z,59.05,5.43,100,10,254.64,44.984515104442835,-93.23313910514116,6690725681
2021-04-28T23:10:30Z,64.63,5.337,98,11,254.68,44.984491216018796,-93.23307691141963,6690725681
2021-04-28T23:10:31Z,70.13,5.291,97,12,254.69,44.98446749523282,-93.23301563970745,6690725681
2021-04-28T23:10:32Z,75.52,5.123,97,13,254.58,44.984444696456194,-93.23295529000461,6690725681
2021-04-28T23:10:33Z,80.69,5.029,97,14,254.65,44.98442139476538,-93.23289854452014,6690725681
2021-04-28T23:10:34Z,85.74,4.955,97,15,254.45,44.98439859598875,-93.23284314014018,6690725681
2021-04-28T23:10:35Z,90.88,5.011,98,16,254.42,44.98437504284084,-93.23278706520796,6690725681
2021-04-28T23:10:36Z,95.95,4.983,99,17,254.39,44.984351908788085,-93.23273157700896,6690725681
2021-04-28T23:10:37Z,101.15,5.095,99,18,254.39,44.98432961292565,-93.23267365805805,6690725681
2021-04-28T23:10:38Z,106.28,5.095,99,19,254.37,44.98431008309126,-93.23261473327875,6690725681
