longitude,latitude,timestamp,distance,heart_rate,fractional_cadence,time_elapsed,elevation,key
NA,NA,2021-11-20T02:34:05Z,0,70,0,0,0,7845160949
NA,NA,2021-11-20T02:34:06Z,0,70,0,1,0,7845160949
NA,NA,2021-11-20T02:34:07Z,0,71,0,2,0,7845160949
NA,NA,2021-11-20T02:34:08Z,0,71,0,3,0,7845160949
NA,NA,2021-11-20T02:34:09Z,0,72,0,4,0,7845160949
NA,NA,2021-11-20T02:34:11Z,0,73,0,6,0,7845160949
NA,NA,2021-11-20T02:34:12Z,0,74,0,7,0,7845160949
NA,NA,2021-11-20T02:34:13Z,0,75,0,8,0,7845160949
NA,NA,2021-11-20T02:34:14Z,0,76,0,9,0,7845160949
NA,NA,2021-11-20T02:34:15Z,0,76,0,10,0,7845160949
NA,NA,2021-11-20T02:34:16Z,0,77,0,11,0,7845160949
NA,NA,2021-11-20T02:34:17Z,0,78,0,12,0,7845160949
NA,NA,2021-11-20T02:34:18Z,0,78,0,13,0,7845160949
NA,NA,2021-11-20T02:34:19Z,0,78,0,14,0,7845160949
NA,NA,2021-11-20T02:34:20Z,0,78,0,15,0,7845160949
NA,NA,2021-11-20T02:34:21Z,0,78,0,16,0,7845160949
NA,NA,2021-11-20T02:34:22Z,0,77,0,17,0,7845160949
NA,NA,2021-11-20T02:34:23Z,0,78,0,18,0,7845160949
NA,NA,2021-11-20T02:34:24Z,0,79,0,19,0,7845160949
NA,NA,2021-11-20T02:34:25Z,0,79,0,20,0,7845160949
NA,NA,2021-11-20T02:34:26Z,0,80,0,21,0,7845160949
NA,NA,2021-11-20T02:34:27Z,0,80,0,22,0,7845160949
NA,NA,2021-11-20T02:34:28Z,0,80,0,23,0,7845160949
NA,NA,2021-11-20T02:34:29Z,0,80,0,24,0,7845160949
NA,NA,2021-11-20T02:34:30Z,0,80,0,25,0,7845160949
NA,NA,2021-11-20T02:34:31Z,0,80,0,26,0,7845160949
NA,NA,2021-11-20T02:34:32Z,0,80,0,27,0,7845160949
NA,NA,2021-11-20T02:34:33Z,0,80,0,28,0,7845160949
NA,NA,2021-11-20T02:34:34Z,0,80,0,29,0,7845160949
NA,NA,2021-11-20T02:34:35Z,0,79,0,30,0,7845160949
NA,NA,2021-11-20T02:34:36Z,0,79,0,31,0,7845160949
NA,NA,2021-11-20T02:34:37Z,0,78,0,32,0,7845160949
NA,NA,2021-11-20T02:34:38Z,0,78,0,33,0,7845160949
NA,NA,2021-11-20T02:34:39Z,0,79,0,34,0,7845160949
NA,NA,2021-11-20T02:34:40Z,0,80,0,35,0,7845160949
NA,NA,2021-11-20T02:34:41Z,0,80,0,36,0,7845160949
NA,NA,2021-11-20T02:34:42Z,0,80,0,37,0,7845160949
NA,NA,2021-11-20T02:34:43Z,0,81,0,38,0,7845160949
NA,NA,2021-11-20T02:34:44Z,0,81,0,39,0,7845160949
NA,NA,2021-11-20T02:34:45Z,0,81,0,40,0,7845160949
NA,NA,2021-11-20T02:34:46Z,0,82,0,41,0,7845160949
NA,NA,2021-11-20T02:34:47Z,0,82,0,42,0,7845160949
NA,NA,2021-11-20T02:34:48Z,0,82,0,43,0,7845160949
NA,NA,2021-11-20T02:34:49Z,0,82,0,44,0,7845160949
NA,NA,2021-11-20T02:34:50Z,0,82,0,45,0,7845160949
NA,NA,2021-11-20T02:34:51Z,0,83,0,46,0,7845160949
NA,NA,2021-11-20T02:34:52Z,0,83,0,47,0,7845160949
NA,NA,2021-11-20T02:34:53Z,0,83,0,48,0,7845160949
NA,NA,2021-11-20T02:34:54Z,0,83,0,49,0,7845160949
NA,NA,2021-11-20T02:34:55Z,0,83,0,50,0,7845160949
NA,NA,2021-11-20T02:34:56Z,0,84,0,51,0,7845160949
NA,NA,2021-11-20T02:34:57Z,0,84,0,52,0,7845160949
NA,NA,2021-11-20T02:34:58Z,0,85,0,53,0,7845160949
