timestamp,position_lat,position_long,distance,altitude,speed,heart_rate,cadence,fractional_cadence,key
2019-06-04T18:23:34Z,44.98623029328883,-93.20040165446699,0,279.79999999999995,1.362,137,0,0,2019-06-04 18:23:34
2019-06-04T18:23:35Z,44.98623716644943,-93.20039511658251,0.01,279.79999999999995,0,137,0,0,2019-06-04 18:23:34
2019-06-04T18:23:36Z,44.98620665632188,-93.20024424232543,0.01,279.79999999999995,0.019,137,0,0,2019-06-04 18:23:34
2019-06-04T18:23:37Z,44.9862196482718,-93.2002782728523,2.87,279.79999999999995,0.709,137,0,0,2019-06-04 18:23:34
2019-06-04T18:23:38Z,44.986229203641415,-93.20031305775046,5.73,279.79999999999995,0.812,137,0,0,2019-06-04 18:23:34
2019-06-04T18:23:39Z,44.98624378815293,-93.20034893229604,8.9,279.79999999999995,2.277,137,0,0,2019-06-04 18:23:34
2019-06-04T18:23:40Z,44.98625250533223,-93.20038656704128,11.95,280,2.277,136,81,0,2019-06-04 18:23:34
2019-06-04T18:23:41Z,44.986251750960946,-93.20041975937784,14.43,280,2.893,136,82,0.5,2019-06-04 18:23:34
2019-06-04T18:23:42Z,44.986240938305855,-93.2004490122199,16.96,280,2.893,137,83,0.5,2019-06-04 18:23:34
2019-06-04T18:23:43Z,44.98623088002205,-93.20048086345196,19.64,280,2.865,137,83,0.5,2019-06-04 18:23:34
2019-06-04T18:23:44Z,44.98621881008148,-93.20051581598818,22.67,280,2.865,137,83,0.5,2019-06-04 18:23:34
2019-06-04T18:23:45Z,44.986205231398344,-93.20054825395346,25.61,280,2.893,137,84,0.5,2019-06-04 18:23:34
2019-06-04T18:23:46Z,44.98619265854359,-93.20058857090771,29.05,280,2.893,137,84,0.5,2019-06-04 18:23:34
2019-06-04T18:23:47Z,44.98618025332689,-93.20063131861389,32.69,280,2.893,139,84,0.5,2019-06-04 18:23:34
2019-06-04T18:23:48Z,44.98617379926145,-93.200668618083,35.72,280,3.014,139,84,0.5,2019-06-04 18:23:34
2019-06-04T18:23:49Z,44.986170027405024,-93.20070189423859,38.36,280,3.014,138,84,0,2019-06-04 18:23:34
2019-06-04T18:23:50Z,44.9861731287092,-93.20073349401355,40.87,280,2.948,136,84,0,2019-06-04 18:23:34
2019-06-04T18:23:51Z,44.98618109151721,-93.20076081901789,43.2,280,2.911,135,83,0,2019-06-04 18:23:34
2019-06-04T18:23:52Z,44.98619123362005,-93.2007857132703,45.46,280,2.79,134,83,0,2019-06-04 18:23:34
2019-06-04T18:23:53Z,44.986201878637075,-93.2008118648082,47.83,280,2.762,135,82,0,2019-06-04 18:23:34
2019-06-04T18:23:54Z,44.98621420003474,-93.20084103383124,50.51,280,2.762,138,82,0,2019-06-04 18:23:34
2019-06-04T18:23:55Z,44.98622861690819,-93.20087221451104,53.43,279.79999999999995,2.762,140,83,0,2019-06-04 18:23:34
2019-06-04T18:23:56Z,44.986242949962616,-93.2009054068476,56.5,279.79999999999995,2.762,140,83,0,2019-06-04 18:23:34
2019-06-04T18:23:57Z,44.98625912703574,-93.200938180089,59.65,280,2.781,142,83,0,2019-06-04 18:23:34
2019-06-04T18:23:58Z,44.98627496883273,-93.2009693607688,62.67,279.79999999999995,2.818,143,81,0,2019-06-04 18:23:34
2019-06-04T18:23:59Z,44.98628804460168,-93.20099936798215,65.45,280,2.837,143,81,0,2019-06-04 18:23:34
2019-06-04T18:24:00Z,44.986300030723214,-93.20102568715811,67.91,280,2.837,140,81,0,2019-06-04 18:23:34
2019-06-04T18:24:01Z,44.98631930910051,-93.2010568678379,71.18,280,2.827,139,81,0,2019-06-04 18:23:34
2019-06-04T18:24:02Z,44.98634177260101,-93.20109064690769,74.78,280,2.827,139,81,0,2019-06-04 18:23:34
2019-06-04T18:24:03Z,44.9863610509783,-93.2011194806546,77.89,279.79999999999995,2.827,140,81,0,2019-06-04 18:23:34
2019-06-04T18:24:04Z,44.9863766413182,-93.20114579983056,80.6,279.79999999999995,2.855,142,81,0,2019-06-04 18:23:34
2019-06-04T18:24:05Z,44.98639256693423,-93.20117689669132,83.61,279.79999999999995,2.855,142,81,0,2019-06-04 18:23:34
2019-06-04T18:24:06Z,44.986405139788985,-93.20121000520885,86.57,279.6,2.855,141,81,0,2019-06-04 18:23:34
2019-06-04T18:24:07Z,44.986415868625045,-93.20124152116477,89.32,279.6,2.865,142,81,0,2019-06-04 18:23:34
2019-06-04T18:24:08Z,44.9864252563566,-93.201271193102,91.88,279.4,2.865,142,81,0,2019-06-04 18:23:34
2019-06-04T18:24:09Z,44.98644302599132,-93.2013044692576,95.16,279.4,2.855,143,82,0,2019-06-04 18:23:34
2019-06-04T18:24:10Z,44.98645970597863,-93.20133388973773,98.13,279,2.855,146,82,0,2019-06-04 18:23:34
2019-06-04T18:24:11Z,44.9864770565182,-93.20136213675141,101.08,278.79999999999995,2.865,146,82,0,2019-06-04 18:23:34
2019-06-04T18:24:12Z,44.98649298213422,-93.20139138959348,103.98,278.79999999999995,2.865,147,81,0,2019-06-04 18:23:34
2019-06-04T18:24:13Z,44.986506728455424,-93.20142148062587,106.78,278.6,2.865,147,81,0,2019-06-04 18:23:34
2019-06-04T18:24:14Z,44.986519468948245,-93.20145240984857,109.59,278.6,2.874,147,81,0,2019-06-04 18:23:34
2019-06-04T18:24:15Z,44.98653539456427,-93.20148509927094,112.71,278.6,2.874,147,81,0,2019-06-04 18:23:34
2019-06-04T18:24:16Z,44.986546877771616,-93.20151376537979,115.29,278.4,2.874,146,81,0,2019-06-04 18:23:34
2019-06-04T18:24:17Z,44.986560037359595,-93.20154176093638,117.94,278.4,2.874,146,81,0,2019-06-04 18:23:34
