longitude,latitude,timestamp,distance,heart_rate,fractional_cadence,time_elapsed,elevation,key
NA,NA,2021-01-10T02:13:43Z,0,76,0,0,0,6082369406
NA,NA,2021-01-10T02:13:44Z,0,76,0,1,0,6082369406
NA,NA,2021-01-10T02:13:45Z,0,77,0,2,0,6082369406
NA,NA,2021-01-10T02:13:46Z,0,77,0,3,0,6082369406
NA,NA,2021-01-10T02:13:47Z,0,78,0,4,0,6082369406
NA,NA,2021-01-10T02:13:48Z,0,79,0,5,0,6082369406
NA,NA,2021-01-10T02:13:49Z,0,80,0,6,0,6082369406
NA,NA,2021-01-10T02:13:50Z,0,81,0,7,0,6082369406
NA,NA,2021-01-10T02:13:51Z,0,82,0,8,0,6082369406
NA,NA,2021-01-10T02:13:52Z,0,82,0,9,0,6082369406
NA,NA,2021-01-10T02:13:53Z,0,83,0,10,0,6082369406
NA,NA,2021-01-10T02:13:54Z,0,84,0,11,0,6082369406
NA,NA,2021-01-10T02:13:55Z,0,84,0,12,0,6082369406
NA,NA,2021-01-10T02:13:56Z,0,85,0,13,0,6082369406
NA,NA,2021-01-10T02:13:57Z,0,86,0,14,0,6082369406
NA,NA,2021-01-10T02:13:58Z,0,86,0,15,0,6082369406
NA,NA,2021-01-10T02:13:59Z,0,87,0,16,0,6082369406
NA,NA,2021-01-10T02:14:00Z,0,87,0,17,0,6082369406
NA,NA,2021-01-10T02:14:01Z,0,87,0,18,0,6082369406
NA,NA,2021-01-10T02:14:02Z,0,87,0,19,0,6082369406
NA,NA,2021-01-10T02:14:03Z,0,87,0,20,0,6082369406
NA,NA,2021-01-10T02:14:04Z,0,87,0,21,0,6082369406
NA,NA,2021-01-10T02:14:05Z,0,88,0,22,0,6082369406
NA,NA,2021-01-10T02:14:06Z,0,88,0,23,0,6082369406
NA,NA,2021-01-10T02:14:07Z,0,87,0,24,0,6082369406
NA,NA,2021-01-10T02:14:08Z,0,87,0,25,0,6082369406
