timestamp,position_lat,position_long,distance,altitude,speed,heart_rate,time_elapsed,key
2021-08-04T13:35:21Z,44.98920092359185,-93.21521054953337,68.75,274.20000000000005,6.046,94,10,7244820897
2021-08-04T13:35:22Z,44.98914325609803,-93.21521524339914,75.17,273.6,6.065,94,11,7244820897
2021-08-04T13:35:23Z,44.98908584006131,-93.21521901525557,81.56,272.79999999999995,6.252,94,12,7244820897
2021-08-04T13:35:24Z,44.98902842402458,-93.21522379294038,87.94,272.20000000000005,6.177,94,13,7244820897
2021-08-04T13:35:25Z,44.988971343263984,-93.2152296602726,94.3,271.6,6.168,94,14,7244820897
2021-08-04T13:35:26Z,44.988916190341115,-93.21523234248161,100.44,270.79999999999995,6.149,94,15,7244820897
2021-08-04T13:35:27Z,44.9888598639518,-93.21523376740515,106.7,269.79999999999995,6.522,95,16,7244820897
2021-08-04T13:35:28Z,44.988803369924426,-93.21523854508996,112.98,269,6.196,95,17,7244820897
2021-08-04T13:35:29Z,44.98874637298286,-93.21524265222251,119.32,268.20000000000005,6.196,96,18,7244820897
2021-08-04T13:35:30Z,44.98869323171675,-93.21524835191667,125.24,267.6,5.841,97,19,7244820897
2021-08-04T13:35:31Z,44.988640593364835,-93.21525665000081,131.13,266.79999999999995,5.757,97,20,7244820897
2021-08-04T13:35:32Z,44.98859114013612,-93.21526327170432,136.65,265.79999999999995,5.654,98,21,7244820897
2021-08-04T13:35:33Z,44.98854009434581,-93.21526821702719,142.34,265,5.589,99,22,7244820897
2021-08-04T13:35:34Z,44.98848888091743,-93.21526964195073,148.03,264,5.561,99,23,7244820897
2021-08-04T13:35:35Z,44.98843892477453,-93.21526804938912,153.58,263.20000000000005,5.44,100,24,7244820897
2021-08-04T13:35:36Z,44.98838980682194,-93.21526410989463,159.05,262.4,5.468,100,25,7244820897
2021-08-04T13:35:37Z,44.988338090479374,-93.21526327170432,164.79,261.4,5.692,101,26,7244820897
2021-08-04T13:35:38Z,44.98828578740358,-93.2152603380382,170.61,260.6,5.598,101,27,7244820897
2021-08-04T13:35:39Z,44.98823331668973,-93.21525949984789,176.44,259.79999999999995,5.645,100,28,7244820897
2021-08-04T13:35:40Z,44.988182689994574,-93.2152626849711,182.07,258.79999999999995,5.57,100,29,7244820897
2021-08-04T13:35:41Z,44.98813407495618,-93.21527450345457,187.54,258,5.356,100,30,7244820897
2021-08-04T13:35:42Z,44.98808931559324,-93.21529059670866,192.68,257.20000000000005,5.067,99,31,7244820897
2021-08-04T13:35:43Z,44.98806425370276,-93.21533032692969,196.87,256.6,3.919,99,32,7244820897
2021-08-04T13:35:44Z,44.98804950155318,-93.21537584066391,200.81,255.79999999999995,3.658,96,33,7244820897
