timestamp,distance,speed,heart_rate,cadence,time_elapsed,elevation,latitude,longitude,key
2022-07-04T12:16:41Z,129.31,2.547,124,85,50,103.5,38.905675783753395,-77.2674226295203,9138476416
2022-07-04T12:16:42Z,131.97,2.557,124,85,51,103.5,38.90569229610264,-77.2674448415637,9138476416
2022-07-04T12:16:43Z,134.23,2.557,124,85,52,103.39,38.90570444986224,-77.26746588014066,9138476416
2022-07-04T12:16:44Z,137.18,2.557,124,85,53,103.35,38.90572481788695,-77.26748767308891,9138476416
2022-07-04T12:16:45Z,140.09,2.566,124,85,54,103.27,38.90574434772134,-77.26751013658941,9138476416
2022-07-04T12:16:46Z,143.07,2.585,125,85,55,103.12,38.90576387755573,-77.26753360591829,9138476416
2022-07-04T12:16:47Z,145.97,2.585,125,85,56,103.12,38.90578147955239,-77.26755850017071,9138476416
2022-07-04T12:16:48Z,148.63,2.594,125,85,57,103.02,38.90579807572067,-77.26758062839508,9138476416
2022-07-04T12:16:49Z,151.2,2.603,126,84,58,103.02,38.90581416897476,-77.26760200224817,9138476416
2022-07-04T12:16:50Z,153.84,2.603,126,84,59,102.87,38.90583126805723,-77.26762304082513,9138476416
2022-07-04T12:16:51Z,156.93,2.603,126,84,60,102.81,38.90585297718644,-77.26764558814466,9138476416
2022-07-04T12:16:52Z,159.72,2.603,126,85,61,102.72,38.90586957335472,-77.2676697280258,9138476416
2022-07-04T12:16:53Z,162.4,2.613,126,85,62,102.63,38.90588575042784,-77.26769261062145,9138476416
2022-07-04T12:16:54Z,164.62,2.622,126,84,63,102.63,38.90589681454003,-77.26771406829357,9138476416
2022-07-04T12:16:55Z,167.22,2.622,126,84,64,102.56,38.90591248869896,-77.26773644797504,9138476416
2022-07-04T12:16:56Z,170.29,2.613,126,84,65,102.46,38.905932856723666,-77.26776025258005,9138476416
2022-07-04T12:16:57Z,173.57,2.613,126,85,66,102.42,38.905955320224166,-77.2677849791944,9138476416
2022-07-04T12:16:58Z,176.95,2.622,126,85,67,102.26,38.905978789553046,-77.26780970580876,9138476416
2022-07-04T12:16:59Z,180.27,2.631,126,85,68,102.32,38.90600276179612,-77.26783292368054,9138476416
2022-07-04T12:17:00Z,183.13,2.641,126,85,69,102.22,38.90602187253535,-77.26785505190492,9138476416
2022-07-04T12:17:01Z,186.13,2.65,126,85,70,102.07,38.90604165382683,-77.26787877269089,9138476416
2022-07-04T12:17:02Z,189.33,2.659,126,85,71,102.14,38.90606286004186,-77.26790383458138,9138476416
2022-07-04T12:17:03Z,192.75,2.669,126,84,72,101.97,38.90608607791364,-77.2679298184812,9138476416
2022-07-04T12:17:04Z,195.88,2.678,126,84,73,101.94,38.906107284128666,-77.26795353926718,9138476416
2022-07-04T12:17:05Z,198.98,2.697,126,84,74,101.94,38.906127233058214,-77.26797851733863,9138476416
2022-07-04T12:17:06Z,201.95,2.706,126,85,75,101.9,38.90614508651197,-77.26800416596234,9138476416
2022-07-04T12:17:07Z,204.68,2.725,126,85,76,101.81,38.9061623532325,-77.2680267971009,9138476416
2022-07-04T12:17:08Z,207.64,2.734,127,85,77,101.89,38.90618221834302,-77.26804942823946,9138476416
2022-07-04T12:17:09Z,210.56,2.734,127,85,78,101.81,38.906202586367726,-77.26807096973062,9138476416
2022-07-04T12:17:10Z,213.64,2.762,127,85,79,101.89,38.90622328966856,-77.2680944390595,9138476416
2022-07-04T12:17:11Z,216.43,2.781,127,85,80,101.79,38.90624022111297,-77.26811841130257,9138476416
2022-07-04T12:17:12Z,219.17,2.781,127,85,81,101.79,38.90625447034836,-77.26814422756433,9138476416
2022-07-04T12:17:13Z,222.01,2.79,128,84,82,101.79,38.906267965212464,-77.26817205548286,9138476416
2022-07-04T12:17:14Z,224.86,2.79,128,84,83,101.68,38.90628389082849,-77.26819787174463,9138476416
2022-07-04T12:17:15Z,228.05,2.79,129,84,84,101.65,38.90630392357707,-77.26822435855865,9138476416
2022-07-04T12:17:16Z,231.14,2.799,129,85,85,101.65,38.90632311813533,-77.26825025863945,9138476416
2022-07-04T12:17:17Z,234.28,2.818,129,86,86,101.69,38.90634440816939,-77.26827406324446,9138476416
2022-07-04T12:17:18Z,237.4,2.837,129,87,87,101.75,38.906365195289254,-77.26829828694463,9138476416
2022-07-04T12:17:19Z,240.26,2.846,130,87,88,101.75,38.90638304874301,-77.2683220077306,9138476416
2022-07-04T12:17:20Z,242.94,2.865,129,85,89,101.66,38.90639922581613,-77.2683449741453,9138476416
2022-07-04T12:17:21Z,245.41,2.865,129,85,90,101.78,38.90641330741346,-77.26836710236967,9138476416
2022-07-04T12:17:22Z,248.02,2.855,129,85,91,101.7,38.906430238857865,-77.26838788948953,9138476416
2022-07-04T12:17:23Z,250.51,2.837,129,85,92,101.78,38.906447840854526,-77.26840591058135,9138476416
2022-07-04T12:17:24Z,253.21,2.827,129,85,93,101.67,38.90646753832698,-77.26842393167317,9138476416
2022-07-04T12:17:25Z,255.99,2.818,129,84,94,101.75,38.90648765489459,-77.26844312623143,9138476416
2022-07-04T12:17:26Z,258.81,2.818,129,84,95,101.64,38.906508861109614,-77.26846123114228,9138476416
2022-07-04T12:17:27Z,262.05,2.827,129,84,96,101.7,38.906532833352685,-77.26848252117634,9138476416
2022-07-04T12:17:28Z,265.04,2.846,129,84,97,101.59,38.9065545424819,-77.26850280538201,9138476416
2022-07-04T12:17:29Z,268.06,2.846,129,84,98,101.65,38.90657608397305,-77.26852426305413,9138476416
2022-07-04T12:17:30Z,270.85,2.846,129,85,99,101.55,38.90659427270293,-77.2685463912785,9138476416
2022-07-04T12:17:31Z,273.52,2.855,129,85,100,101.46,38.9066113717854,-77.26856818422675,9138476416
2022-07-04T12:17:32Z,276.3,2.855,129,85,101,101.46,38.906628806144,-77.26859140209854,9138476416
2022-07-04T12:17:33Z,278.98,2.846,129,85,102,101.35,38.906646240502596,-77.26861294358969,9138476416
2022-07-04T12:17:34Z,281.66,2.846,129,85,103,101.35,38.906662752851844,-77.26863565854728,9138476416
2022-07-04T12:17:35Z,284.66,2.846,129,85,104,101.21,38.90668127685785,-77.26866088807583,9138476416
2022-07-04T12:17:36Z,287.96,2.846,129,85,105,101.17,38.906701477244496,-77.26868905127048,9138476416
2022-07-04T12:17:37Z,291.19,2.846,129,85,106,101.11,38.9067202527076,-77.26871746592224,9138476416
2022-07-04T12:17:38Z,294.26,2.855,130,85,107,101.1,38.90673827379942,-77.26874453946948,9138476416
2022-07-04T12:17:39Z,297.37,2.865,129,85,108,101.04,38.90675503760576,-77.26877328939736,9138476416
2022-07-04T12:17:40Z,300.4,2.874,130,85,109,101.07,38.90677113085985,-77.26880162023008,9138476416
2022-07-04T12:17:41Z,303.52,2.883,130,85,110,100.96,38.90678999014199,-77.26882844232023,9138476416
2022-07-04T12:17:42Z,306.49,2.883,129,86,111,100.99,38.90680775977671,-77.26885409094393,9138476416
2022-07-04T12:17:43Z,309.3,2.893,130,86,112,101.02,38.90682427212596,-77.26887873373926,9138476416
2022-07-04T12:17:44Z,312.07,2.893,130,85,113,100.91,38.90684137120843,-77.26890195161104,9138476416
2022-07-04T12:17:45Z,314.79,2.893,130,85,114,100.92,38.90685888938606,-77.26892391219735,9138476416
2022-07-04T12:17:46Z,317.73,2.893,130,85,115,100.89,38.90687800012529,-77.26894746534526,9138476416
2022-07-04T12:17:47Z,320.64,2.893,130,85,116,100.83,38.90689660795033,-77.2689713537693,9138476416
2022-07-04T12:17:48Z,323.93,2.893,130,85,117,100.74,38.90691907145083,-77.26899599656463,9138476416
2022-07-04T12:17:49Z,327.1,2.902,130,85,118,100.74,38.90694044530392,-77.26902022026479,9138476416
2022-07-04T12:17:50Z,330.06,2.902,130,85,119,100.73,38.906960394233465,-77.26904285140336,9138476416
2022-07-04T12:17:51Z,332.76,2.911,130,85,120,100.77,38.90697640366852,-77.26906640455127,9138476416
2022-07-04T12:17:52Z,335.4,2.911,130,85,121,100.74,38.906992580741644,-77.2690887004137,9138476416
2022-07-04T12:17:53Z,338.3,2.911,131,84,122,100.72,38.90701110474765,-77.26911242119968,9138476416
2022-07-04T12:17:54Z,341.04,2.911,130,84,123,100.57,38.90702694654465,-77.26913647726178,9138476416
2022-07-04T12:17:55Z,343.94,2.911,130,84,124,100.65,38.907044883817434,-77.26916103623807,9138476416
2022-07-04T12:17:56Z,346.55,2.911,131,85,125,100.42,38.907059552147985,-77.26918442174792,9138476416
2022-07-04T12:17:57Z,349.15,2.911,131,85,126,100.42,38.90707547776401,-77.2692065499723,9138476416
2022-07-04T12:17:58Z,351.99,2.902,131,85,127,100.53,38.907092744484544,-77.26923094131052,9138476416
2022-07-04T12:17:59Z,354.99,2.902,131,85,128,100.52,38.90711269341409,-77.2692544106394,9138476416
2022-07-04T12:18:00Z,358.19,2.902,131,85,129,100.43,38.9071349054575,-77.26927779614925,9138476416
