timestamp,distance,heart_rate,key
2019-01-10T01:02:01Z,0,112,2019-01-10 01:02:02
2019-01-10T01:02:02Z,0,113,2019-01-10 01:02:02
2019-01-10T01:02:03Z,0,113,2019-01-10 01:02:02
2019-01-10T01:02:04Z,0,113,2019-01-10 01:02:02
2019-01-10T01:02:05Z,0,114,2019-01-10 01:02:02
2019-01-10T01:02:06Z,0,114,2019-01-10 01:02:02
2019-01-10T01:02:07Z,0,114,2019-01-10 01:02:02
2019-01-10T01:02:08Z,0,114,2019-01-10 01:02:02
2019-01-10T01:02:09Z,0,115,2019-01-10 01:02:02
2019-01-10T01:02:10Z,0,115,2019-01-10 01:02:02
2019-01-10T01:02:11Z,0,115,2019-01-10 01:02:02
2019-01-10T01:02:12Z,0,115,2019-01-10 01:02:02
2019-01-10T01:02:13Z,0,115,2019-01-10 01:02:02
2019-01-10T01:02:14Z,0,115,2019-01-10 01:02:02
2019-01-10T01:02:15Z,0,116,2019-01-10 01:02:02
2019-01-10T01:02:16Z,0,116,2019-01-10 01:02:02
2019-01-10T01:02:17Z,0,116,2019-01-10 01:02:02
2019-01-10T01:02:18Z,0,117,2019-01-10 01:02:02
2019-01-10T01:02:19Z,0,118,2019-01-10 01:02:02
2019-01-10T01:02:20Z,0,119,2019-01-10 01:02:02
2019-01-10T01:02:21Z,0,119,2019-01-10 01:02:02
2019-01-10T01:02:22Z,0,120,2019-01-10 01:02:02
2019-01-10T01:02:23Z,0,120,2019-01-10 01:02:02
2019-01-10T01:02:24Z,0,120,2019-01-10 01:02:02
2019-01-10T01:02:25Z,0,121,2019-01-10 01:02:02
2019-01-10T01:02:26Z,0,121,2019-01-10 01:02:02
2019-01-10T01:02:27Z,0,122,2019-01-10 01:02:02
2019-01-10T01:02:28Z,0,122,2019-01-10 01:02:02
2019-01-10T01:02:29Z,0,122,2019-01-10 01:02:02
2019-01-10T01:02:30Z,0,122,2019-01-10 01:02:02
2019-01-10T01:02:31Z,0,122,2019-01-10 01:02:02
2019-01-10T01:02:32Z,0,122,2019-01-10 01:02:02
2019-01-10T01:02:33Z,0,123,2019-01-10 01:02:02
2019-01-10T01:02:34Z,0,123,2019-01-10 01:02:02
2019-01-10T01:02:35Z,0,123,2019-01-10 01:02:02
2019-01-10T01:02:36Z,0,123,2019-01-10 01:02:02
2019-01-10T01:02:37Z,0,123,2019-01-10 01:02:02
