longitude,latitude,timestamp,distance,heart_rate,cadence,fractional_cadence,time_elapsed,elevation,key
NA,NA,2021-05-17T12:17:42Z,0,132,78,0,72,0,6794759057
NA,NA,2021-05-17T12:17:43Z,0,132,78,0,73,0,6794759057
NA,NA,2021-05-17T12:17:44Z,0,133,78,0,74,0,6794759057
NA,NA,2021-05-17T12:17:45Z,0,133,78,0,75,0,6794759057
NA,NA,2021-05-17T12:17:46Z,0,133,78,0,76,0,6794759057
NA,NA,2021-05-17T12:17:47Z,0,133,78,0,77,0,6794759057
NA,NA,2021-05-17T12:17:48Z,0,133,80,0,78,0,6794759057
NA,NA,2021-05-17T12:17:49Z,0,134,80,0,79,0,6794759057
NA,NA,2021-05-17T12:17:50Z,0,134,80,0,80,0,6794759057
NA,NA,2021-05-17T12:17:51Z,0,134,81,0,81,0,6794759057
NA,NA,2021-05-17T12:17:52Z,0,135,81,0,82,0,6794759057
NA,NA,2021-05-17T12:17:53Z,0,135,81,0,83,0,6794759057
NA,NA,2021-05-17T12:17:54Z,0,135,79,0,84,0,6794759057
NA,NA,2021-05-17T12:17:55Z,0,135,40,0,85,0,6794759057
NA,NA,2021-05-17T12:17:56Z,0,135,40,0,86,0,6794759057
NA,NA,2021-05-17T12:17:57Z,0,134,40,0,87,0,6794759057
NA,NA,2021-05-17T12:17:58Z,0,134,41,0,88,0,6794759057
NA,NA,2021-05-17T12:17:59Z,0,134,41,0,89,0,6794759057
NA,NA,2021-05-17T12:18:01Z,0,134,40,0,91,0,6794759057
NA,NA,2021-05-17T12:18:02Z,0,134,40,0,92,0,6794759057
NA,NA,2021-05-17T12:18:03Z,0,134,40,0,93,0,6794759057
NA,NA,2021-05-17T12:18:04Z,0,134,79,0,94,0,6794759057
NA,NA,2021-05-17T12:18:05Z,0,134,79,0,95,0,6794759057
NA,NA,2021-05-17T12:18:06Z,0,134,79,0,96,0,6794759057
NA,NA,2021-05-17T12:18:07Z,0,135,79,0,97,0,6794759057
NA,NA,2021-05-17T12:18:08Z,0,135,79,0,98,0,6794759057
NA,NA,2021-05-17T12:18:09Z,0,135,81,0,99,0,6794759057
NA,NA,2021-05-17T12:18:10Z,0,135,81,0,100,0,6794759057
NA,NA,2021-05-17T12:18:11Z,0,135,81,0,101,0,6794759057
NA,NA,2021-05-17T12:18:12Z,0,136,81,0,102,0,6794759057
NA,NA,2021-05-17T12:18:13Z,0,136,81,0,103,0,6794759057
NA,NA,2021-05-17T12:18:14Z,0,136,80,0,104,0,6794759057
NA,NA,2021-05-17T12:18:15Z,0,136,80,0,105,0,6794759057
NA,NA,2021-05-17T12:18:16Z,0,136,80,0,106,0,6794759057
NA,NA,2021-05-17T12:18:17Z,0,137,80,0,107,0,6794759057
NA,NA,2021-05-17T12:18:18Z,0,138,80,0,108,0,6794759057
NA,NA,2021-05-17T12:18:19Z,0,138,80,0,109,0,6794759057
NA,NA,2021-05-17T12:18:20Z,0,138,80,0,110,0,6794759057
NA,NA,2021-05-17T12:18:21Z,0,138,80,0,111,0,6794759057
NA,NA,2021-05-17T12:18:22Z,0,139,80,0,112,0,6794759057
NA,NA,2021-05-17T12:18:23Z,0,139,40,0,113,0,6794759057
NA,NA,2021-05-17T12:18:24Z,0,138,40,0,114,0,6794759057
NA,NA,2021-05-17T12:18:25Z,0,138,40,0,115,0,6794759057
