timestamp,distance,heart_rate,cadence,fractional_cadence,key
2018-10-02T02:38:08Z,0,133,58,0.5,2018-10-02 02:36:42
2018-10-02T02:38:09Z,0,133,58,0.5,2018-10-02 02:36:42
2018-10-02T02:38:10Z,0,132,58,0.5,2018-10-02 02:36:42
2018-10-02T02:38:11Z,0,131,58,0.5,2018-10-02 02:36:42
2018-10-02T02:38:12Z,0,131,58,0.5,2018-10-02 02:36:42
2018-10-02T02:38:13Z,0,131,58,0.5,2018-10-02 02:36:42
2018-10-02T02:38:14Z,0,131,58,0.5,2018-10-02 02:36:42
2018-10-02T02:38:15Z,0,131,58,0.5,2018-10-02 02:36:42
2018-10-02T02:38:16Z,0,131,58,0.5,2018-10-02 02:36:42
2018-10-02T02:38:17Z,0,131,58,0.5,2018-10-02 02:36:42
2018-10-02T02:38:18Z,0,131,58,0.5,2018-10-02 02:36:42
2018-10-02T02:38:19Z,0,132,58,0.5,2018-10-02 02:36:42
2018-10-02T02:38:20Z,0,141,58,0.5,2018-10-02 02:36:42
2018-10-02T02:38:21Z,0,141,58,0.5,2018-10-02 02:36:42
2018-10-02T02:38:22Z,0,138,58,0.5,2018-10-02 02:36:42
2018-10-02T02:38:23Z,0,136,0,0,2018-10-02 02:36:42
2018-10-02T02:38:24Z,0,135,0,0,2018-10-02 02:36:42
2018-10-02T02:38:25Z,0,134,0,0,2018-10-02 02:36:42
2018-10-02T02:38:26Z,0,134,0,0,2018-10-02 02:36:42
2018-10-02T02:38:27Z,0,134,0,0,2018-10-02 02:36:42
2018-10-02T02:38:28Z,0,134,0,0,2018-10-02 02:36:42
2018-10-02T02:38:29Z,0,134,0,0,2018-10-02 02:36:42
2018-10-02T02:38:30Z,0,134,0,0,2018-10-02 02:36:42
2018-10-02T02:38:31Z,0,133,0,0,2018-10-02 02:36:42
2018-10-02T02:38:32Z,0,133,0,0,2018-10-02 02:36:42
2018-10-02T02:38:33Z,0,133,0,0,2018-10-02 02:36:42
2018-10-02T02:38:34Z,0,133,0,0,2018-10-02 02:36:42
2018-10-02T02:38:35Z,0,133,0,0,2018-10-02 02:36:42
2018-10-02T02:38:36Z,0,133,0,0,2018-10-02 02:36:42
2018-10-02T02:38:37Z,0,133,0,0,2018-10-02 02:36:42
2018-10-02T02:38:38Z,0,133,0,0,2018-10-02 02:36:42
2018-10-02T02:38:39Z,0,133,0,0,2018-10-02 02:36:42
2018-10-02T02:38:40Z,0,135,0,0,2018-10-02 02:36:42
2018-10-02T02:38:41Z,0,135,0,0,2018-10-02 02:36:42
2018-10-02T02:38:42Z,0,135,0,0,2018-10-02 02:36:42
2018-10-02T02:38:43Z,0,135,0,0,2018-10-02 02:36:42
2018-10-02T02:38:44Z,0,135,0,0,2018-10-02 02:36:42
2018-10-02T02:38:45Z,0,135,0,0,2018-10-02 02:36:42
2018-10-02T02:38:46Z,0,135,0,0,2018-10-02 02:36:42
2018-10-02T02:38:47Z,0,135,0,0,2018-10-02 02:36:42
