timestamp,distance,heart_rate,cadence,fractional_cadence,time_elapsed,key
2021-05-18T20:21:11Z,0,88,58,0.5,0,6803162177
2021-05-18T20:21:12Z,0,88,58,0.5,1,6803162177
2021-05-18T20:21:13Z,0,88,58,0.5,2,6803162177
2021-05-18T20:21:14Z,0,88,58,0.5,3,6803162177
2021-05-18T20:21:15Z,0,89,58,0.5,4,6803162177
2021-05-18T20:21:16Z,0,89,58,0.5,5,6803162177
2021-05-18T20:21:17Z,0,89,58,0.5,6,6803162177
2021-05-18T20:21:18Z,0,90,58,0.5,7,6803162177
2021-05-18T20:21:19Z,0,91,58,0.5,8,6803162177
2021-05-18T20:21:20Z,0,91,58,0.5,9,6803162177
2021-05-18T20:21:21Z,0,91,58,0.5,10,6803162177
2021-05-18T20:21:22Z,0,92,58,0.5,11,6803162177
2021-05-18T20:21:23Z,0,94,58,0.5,12,6803162177
2021-05-18T20:21:24Z,0,95,58,0.5,13,6803162177
2021-05-18T20:21:25Z,0,96,58,0.5,14,6803162177
2021-05-18T20:21:26Z,0,96,58,0.5,15,6803162177
2021-05-18T20:21:27Z,0,98,58,0.5,16,6803162177
2021-05-18T20:21:28Z,0,98,58,0.5,17,6803162177
2021-05-18T20:21:29Z,0,99,75,0.5,18,6803162177
2021-05-18T20:21:30Z,0,101,75,0.5,19,6803162177
2021-05-18T20:21:31Z,0,102,75,0.5,20,6803162177
2021-05-18T20:21:32Z,0,104,75,0.5,21,6803162177
2021-05-18T20:21:33Z,0,105,76,0.5,22,6803162177
2021-05-18T20:21:34Z,0,105,77,0,23,6803162177
2021-05-18T20:21:35Z,0,105,77,0,24,6803162177
2021-05-18T20:21:36Z,0,105,77,0.5,25,6803162177
2021-05-18T20:21:37Z,0,105,77,0.5,26,6803162177
2021-05-18T20:21:38Z,0,105,80,0,27,6803162177
2021-05-18T20:21:39Z,0,105,83,0,28,6803162177
2021-05-18T20:21:40Z,0,105,83,0,29,6803162177
2021-05-18T20:21:41Z,0,105,83,0.5,30,6803162177
2021-05-18T20:21:42Z,0,105,83,0.5,31,6803162177
