timestamp,distance,speed,heart_rate,time_elapsed,elevation,latitude,longitude,key
2021-04-27T16:09:52Z,290.92,5.533,125,52,256.59,44.98654478229582,-93.23032848536968,6682694584
2021-04-27T16:09:53Z,296.5,5.496,125,53,256.68,44.98659498989582,-93.23032949119806,6682694584
2021-04-27T16:09:54Z,302.09,5.458,126,54,256.73,44.98664536513388,-93.23032890446484,6682694584
2021-04-27T16:09:55Z,307.74,5.458,126,55,256.77,44.9866961594671,-93.2303274795413,6682694584
2021-04-27T16:09:56Z,313.32,5.449,127,56,256.86,44.9867463670671,-93.23032840155065,6682694584
2021-04-27T16:09:57Z,319.02,5.421,127,57,256.91,44.98679758049548,-93.23032923974097,6682694584
2021-04-27T16:09:58Z,324.46,5.412,127,58,256.95,44.98684661462903,-93.23033208958805,6682694584
2021-04-27T16:09:59Z,329.92,5.365,128,59,257.01,44.986895648762584,-93.23033292777836,6682694584
2021-04-27T16:10:00Z,340.69,5.225,128,60,257.08,44.98699254356325,-93.23032991029322,6682694584
2021-04-27T16:10:01Z,340.69,5.225,128,61,257.08,44.98699254356325,-93.23032991029322,6682694584
2021-04-27T16:10:02Z,346.17,5.356,128,62,257.16,44.98704191297293,-93.23032932356,6682694584
2021-04-27T16:10:03Z,351.9,5.458,128,63,257.19,44.98709346167743,-93.23033074848354,6682694584
2021-04-27T16:10:04Z,357.56,5.468,128,64,257.22,44.98714433982968,-93.23033016175032,6682694584
2021-04-27T16:10:05Z,363.14,5.505,128,65,257.3,44.98719463124871,-93.23033058084548,6682694584
2021-04-27T16:10:06Z,368.78,5.514,129,66,257.34,44.9872453417629,-93.23033192194998,6682694584
2021-04-27T16:10:07Z,374.44,5.524,129,67,257.38,44.98729630373418,-93.23033292777836,6682694584
2021-04-27T16:10:08Z,379.96,5.421,129,68,257.46,44.98734592460096,-93.23033452033997,6682694584
2021-04-27T16:10:09Z,385.48,5.412,129,69,257.5,44.987395545467734,-93.23033242486417,6682694584
2021-04-27T16:10:10Z,391.06,5.533,129,70,257.57,44.9874456692487,-93.23032815009356,6682694584
2021-04-27T16:10:11Z,396.62,5.43,129,71,257.6,44.987495709210634,-93.23032546788454,6682694584
2021-04-27T16:10:12Z,402.05,5.421,129,72,257.62,44.987544575706124,-93.23032421059906,6682694584
2021-04-27T16:10:13Z,407.32,5.216,129,73,257.64,44.98759193345904,-93.23032253421843,6682694584
2021-04-27T16:10:14Z,412.35,5.085,129,74,257.66,44.9876372795552,-93.23032337240875,6682694584
2021-04-27T16:10:15Z,417.03,4.656,129,75,257.67,44.987679440528154,-93.23032203130424,6682694584
2021-04-27T16:10:16Z,421.61,4.945,129,76,257.69,44.98771984130144,-93.23031038045883,6682694584
2021-04-27T16:10:17Z,426.41,4.871,129,77,257.7,44.98775932006538,-93.2302841451019,6682694584
2021-04-27T16:10:18Z,431.28,4.871,129,78,257.76,44.98778773471713,-93.23023703880608,6682694584
2021-04-27T16:10:19Z,436.32,4.861,129,79,257.78,44.98780282214284,-93.23017677292228,6682694584
2021-04-27T16:10:20Z,441.54,5.132,129,80,257.81,44.987810868769884,-93.2301115617156,6682694584
2021-04-27T16:10:21Z,446.98,5.235,129,81,257.84,44.98781313188374,-93.23004266247153,6682694584
2021-04-27T16:10:22Z,452.43,5.207,128,82,257.9,44.98781204223633,-93.2299735955894,6682694584
2021-04-27T16:10:23Z,457.93,5.029,128,83,257.92,44.98781220987439,-93.22990377433598,6682694584
