timestamp,position_lat,position_long,distance,altitude,speed,cadence,fractional_cadence,heart_rate,key
2020-03-27T22:01:09Z,44.98583852313459,-93.18849784322083,114.84,298.4,3.368,86,0,105,2020-03-27 22:00:32
2020-03-27T22:01:10Z,44.98581136576831,-93.18849381990731,117.88,298.20000000000005,3.368,86,0,105,2020-03-27 22:00:32
2020-03-27T22:01:11Z,44.985783621668816,-93.18849004805088,120.97,298,3.368,85,0,105,2020-03-27 22:00:32
2020-03-27T22:01:12Z,44.985754704102874,-93.18848661147058,124.19,297.79999999999995,3.34,85,0,105,2020-03-27 22:00:32
2020-03-27T22:01:13Z,44.98572469688952,-93.18848451599479,127.52,297.6,3.34,85,0,105,2020-03-27 22:00:32
2020-03-27T22:01:14Z,44.98569385148585,-93.18848250433803,130.96,297.4,3.34,85,0,105,2020-03-27 22:00:32
2020-03-27T22:01:15Z,44.985662838444114,-93.18848334252834,134.39,297,3.331,85,0,105,2020-03-27 22:00:32
2020-03-27T22:01:16Z,44.98563123866916,-93.18848543800414,137.91,296.79999999999995,3.331,85,0,105,2020-03-27 22:00:32
2020-03-27T22:01:17Z,44.98559972271323,-93.18848283961415,141.41,296.4,3.34,85,0,105,2020-03-27 22:00:32
2020-03-27T22:01:18Z,44.98557088896632,-93.18848049268126,144.61,296.20000000000005,3.34,85,0,105,2020-03-27 22:00:32
2020-03-27T22:01:19Z,44.98554088175297,-93.18848015740514,147.92,296.20000000000005,3.34,85,0,105,2020-03-27 22:00:32
2020-03-27T22:01:20Z,44.98551070690155,-93.18847747519612,151.27,296,3.322,84,0,105,2020-03-27 22:00:32
2020-03-27T22:01:21Z,44.9854804482311,-93.18847655318677,154.62,295.79999999999995,3.322,84,0,105,2020-03-27 22:00:32
2020-03-27T22:01:22Z,44.98545102775097,-93.18847496062517,157.88,295.6,3.322,84,0,105,2020-03-27 22:00:32
2020-03-27T22:01:23Z,44.985422529280186,-93.1884702667594,161.07,295.20000000000005,3.322,84,0,106,2020-03-27 22:00:32
2020-03-27T22:01:24Z,44.98539394699037,-93.1884647347033,164.26,294.79999999999995,3.322,84,0,106,2020-03-27 22:00:32
2020-03-27T22:01:25Z,44.985368298366666,-93.18845861591399,167.15,294.20000000000005,3.322,84,0,106,2020-03-27 22:00:32
2020-03-27T22:01:26Z,44.985341811552644,-93.18845668807626,170.08,293.79999999999995,3.312,84,0,106,2020-03-27 22:00:32
2020-03-27T22:01:27Z,44.98531423509121,-93.1884530838579,173.15,293.20000000000005,3.303,85,0,106,2020-03-27 22:00:32
2020-03-27T22:01:28Z,44.985285233706236,-93.18845006637275,176.36,292.79999999999995,3.275,85,0,108,2020-03-27 22:00:32
