timestamp,distance,heart_rate,key
2020-02-06T00:18:40Z,0,77,2020-02-06 00:18:40
2020-02-06T00:18:41Z,0,77,2020-02-06 00:18:40
2020-02-06T00:18:42Z,0,77,2020-02-06 00:18:40
2020-02-06T00:18:43Z,0,77,2020-02-06 00:18:40
2020-02-06T00:18:44Z,0,77,2020-02-06 00:18:40
2020-02-06T00:18:45Z,0,77,2020-02-06 00:18:40
2020-02-06T00:18:46Z,0,77,2020-02-06 00:18:40
2020-02-06T00:18:47Z,0,78,2020-02-06 00:18:40
2020-02-06T00:18:48Z,0,80,2020-02-06 00:18:40
2020-02-06T00:18:49Z,0,81,2020-02-06 00:18:40
2020-02-06T00:18:50Z,0,83,2020-02-06 00:18:40
2020-02-06T00:18:51Z,0,83,2020-02-06 00:18:40
2020-02-06T00:18:52Z,0,84,2020-02-06 00:18:40
2020-02-06T00:18:53Z,0,84,2020-02-06 00:18:40
2020-02-06T00:18:54Z,0,84,2020-02-06 00:18:40
2020-02-06T00:18:55Z,0,84,2020-02-06 00:18:40
2020-02-06T00:18:56Z,0,85,2020-02-06 00:18:40
2020-02-06T00:18:57Z,0,85,2020-02-06 00:18:40
2020-02-06T00:18:58Z,0,85,2020-02-06 00:18:40
2020-02-06T00:18:59Z,0,85,2020-02-06 00:18:40
2020-02-06T00:19:00Z,0,85,2020-02-06 00:18:40
2020-02-06T00:19:01Z,0,86,2020-02-06 00:18:40
2020-02-06T00:19:02Z,0,86,2020-02-06 00:18:40
2020-02-06T00:19:03Z,0,87,2020-02-06 00:18:40
2020-02-06T00:19:04Z,0,87,2020-02-06 00:18:40
2020-02-06T00:19:05Z,0,89,2020-02-06 00:18:40
2020-02-06T00:19:06Z,0,89,2020-02-06 00:18:40
2020-02-06T00:19:07Z,0,90,2020-02-06 00:18:40
2020-02-06T00:19:08Z,0,90,2020-02-06 00:18:40
2020-02-06T00:19:09Z,0,90,2020-02-06 00:18:40
2020-02-06T00:19:10Z,0,90,2020-02-06 00:18:40
2020-02-06T00:19:11Z,0,91,2020-02-06 00:18:40
2020-02-06T00:19:12Z,0,91,2020-02-06 00:18:40
2020-02-06T00:19:13Z,0,91,2020-02-06 00:18:40
2020-02-06T00:19:14Z,0,91,2020-02-06 00:18:40
2020-02-06T00:19:15Z,0,91,2020-02-06 00:18:40
2020-02-06T00:19:16Z,0,91,2020-02-06 00:18:40
2020-02-06T00:19:17Z,0,91,2020-02-06 00:18:40
2020-02-06T00:19:18Z,0,92,2020-02-06 00:18:40
2020-02-06T00:19:19Z,0,92,2020-02-06 00:18:40
2020-02-06T00:19:20Z,0,93,2020-02-06 00:18:40
2020-02-06T00:19:21Z,0,93,2020-02-06 00:18:40
2020-02-06T00:19:22Z,0,94,2020-02-06 00:18:40
2020-02-06T00:19:23Z,0,94,2020-02-06 00:18:40
2020-02-06T00:19:24Z,0,95,2020-02-06 00:18:40
2020-02-06T00:19:25Z,0,95,2020-02-06 00:18:40
2020-02-06T00:19:26Z,0,96,2020-02-06 00:18:40
2020-02-06T00:19:27Z,0,96,2020-02-06 00:18:40
2020-02-06T00:19:28Z,0,96,2020-02-06 00:18:40
