timestamp,distance,heart_rate,cadence,fractional_cadence,time_elapsed,key
2021-07-23T00:57:27Z,0,108,58,0.5,103,7173016662
2021-07-23T00:57:28Z,0,107,58,0.5,104,7173016662
2021-07-23T00:57:29Z,0,106,58,0.5,105,7173016662
2021-07-23T00:57:30Z,0,106,58,0.5,106,7173016662
2021-07-23T00:57:31Z,0,106,58,0.5,107,7173016662
2021-07-23T00:57:32Z,0,105,54,0.5,108,7173016662
2021-07-23T00:57:33Z,0,105,54,0.5,109,7173016662
2021-07-23T00:57:34Z,0,104,54,0.5,110,7173016662
2021-07-23T00:57:35Z,0,103,54,0.5,111,7173016662
2021-07-23T00:57:36Z,0,102,54,0.5,112,7173016662
2021-07-23T00:57:37Z,0,102,52,0,113,7173016662
2021-07-23T00:57:38Z,0,101,52,0,114,7173016662
2021-07-23T00:57:39Z,0,100,52,0,115,7173016662
2021-07-23T00:57:40Z,0,100,0,0,116,7173016662
2021-07-23T00:57:41Z,0,99,0,0,117,7173016662
2021-07-23T00:57:42Z,0,98,0,0,118,7173016662
2021-07-23T00:57:43Z,0,98,0,0,119,7173016662
2021-07-23T00:57:44Z,0,98,0,0,120,7173016662
2021-07-23T00:57:45Z,0,98,0,0,121,7173016662
2021-07-23T00:57:46Z,0,97,0,0,122,7173016662
2021-07-23T00:57:47Z,0,96,0,0,123,7173016662
2021-07-23T00:57:48Z,0,96,0,0,124,7173016662
2021-07-23T00:57:49Z,0,96,0,0,125,7173016662
2021-07-23T00:57:50Z,0,96,0,0,126,7173016662
2021-07-23T00:57:51Z,0,96,0,0,127,7173016662
2021-07-23T00:57:52Z,0,96,0,0,128,7173016662
2021-07-23T00:57:53Z,0,96,0,0,129,7173016662
2021-07-23T00:57:54Z,0,96,0,0,130,7173016662
2021-07-23T00:57:55Z,0,96,0,0,131,7173016662
2021-07-23T00:57:56Z,0,96,0,0,132,7173016662
2021-07-23T00:57:57Z,0,96,0,0,133,7173016662
2021-07-23T00:57:58Z,0,96,0,0,134,7173016662
2021-07-23T00:57:59Z,0,96,0,0,135,7173016662
2021-07-23T00:58:00Z,0,96,0,0,136,7173016662
2021-07-23T00:58:01Z,0,96,0,0,137,7173016662
2021-07-23T00:58:02Z,0,95,0,0,138,7173016662
2021-07-23T00:58:03Z,0,95,0,0,139,7173016662
2021-07-23T00:58:04Z,0,94,0,0,140,7173016662
2021-07-23T00:58:05Z,0,92,0,0,141,7173016662
2021-07-23T00:58:06Z,0,92,0,0,142,7173016662
2021-07-23T00:58:07Z,0,91,0,0,143,7173016662
2021-07-23T00:58:08Z,0,89,0,0,144,7173016662
2021-07-23T00:58:09Z,0,89,0,0,145,7173016662
2021-07-23T00:58:10Z,0,89,0,0,146,7173016662
2021-07-23T00:58:11Z,0,88,0,0,147,7173016662
2021-07-23T00:58:12Z,0,88,0,0,148,7173016662
2021-07-23T00:58:13Z,0,87,0,0,149,7173016662
2021-07-23T00:58:14Z,0,86,0,0,150,7173016662
2021-07-23T00:58:15Z,0,85,0,0,151,7173016662
2021-07-23T00:58:16Z,0,85,0,0,152,7173016662
2021-07-23T00:58:17Z,0,85,0,0,153,7173016662
2021-07-23T00:58:18Z,0,85,0,0,154,7173016662
2021-07-23T00:58:19Z,0,84,0,0,155,7173016662
2021-07-23T00:58:20Z,0,84,0,0,156,7173016662
2021-07-23T00:58:21Z,0,84,0,0,157,7173016662
2021-07-23T00:58:22Z,0,83,0,0,158,7173016662
2021-07-23T00:58:23Z,0,83,0,0,159,7173016662
2021-07-23T00:58:24Z,0,83,0,0,160,7173016662
2021-07-23T00:58:25Z,0,83,0,0,161,7173016662
2021-07-23T00:58:26Z,0,83,0,0,162,7173016662
2021-07-23T00:58:27Z,0,83,0,0,163,7173016662
2021-07-23T00:58:28Z,0,84,0,0,164,7173016662
2021-07-23T00:58:29Z,0,84,0,0,165,7173016662
2021-07-23T00:58:30Z,0,84,0,0,166,7173016662
2021-07-23T00:58:31Z,0,84,0,0,167,7173016662
2021-07-23T00:58:32Z,0,84,0,0,168,7173016662
2021-07-23T00:58:33Z,0,84,0,0,169,7173016662
2021-07-23T00:58:34Z,0,84,0,0,170,7173016662
2021-07-23T00:58:35Z,0,84,0,0,171,7173016662
2021-07-23T00:58:36Z,0,84,0,0,172,7173016662
2021-07-23T00:58:37Z,0,85,0,0,173,7173016662
2021-07-23T00:58:38Z,0,85,0,0,174,7173016662
2021-07-23T00:58:39Z,0,85,0,0,175,7173016662
2021-07-23T00:58:40Z,0,85,0,0,176,7173016662
2021-07-23T00:58:41Z,0,85,0,0,177,7173016662
2021-07-23T00:58:42Z,0,86,0,0,178,7173016662
2021-07-23T00:58:43Z,0,86,0,0,179,7173016662
2021-07-23T00:58:44Z,0,86,0,0,180,7173016662
2021-07-23T00:58:45Z,0,86,0,0,181,7173016662
2021-07-23T00:58:46Z,0,86,0,0,182,7173016662
2021-07-23T00:58:47Z,0,86,0,0,183,7173016662
2021-07-23T00:58:48Z,0,86,0,0,184,7173016662
2021-07-23T00:58:49Z,0,86,0,0,185,7173016662
2021-07-23T00:58:50Z,0,85,58,0.5,186,7173016662
2021-07-23T00:58:51Z,0,85,58,0.5,187,7173016662
2021-07-23T00:58:52Z,0,85,58,0.5,188,7173016662
2021-07-23T00:58:53Z,0,85,58,0.5,189,7173016662
2021-07-23T00:58:54Z,0,84,58,0.5,190,7173016662
2021-07-23T00:58:55Z,0,84,0,0,191,7173016662
2021-07-23T00:58:56Z,0,84,0,0,192,7173016662
2021-07-23T00:58:57Z,0,84,0,0,193,7173016662
2021-07-23T00:58:58Z,0,83,0,0,194,7173016662
2021-07-23T00:58:59Z,0,83,0,0,195,7173016662
2021-07-23T00:59:00Z,0,82,0,0,196,7173016662
2021-07-23T00:59:01Z,0,82,0,0,197,7173016662
2021-07-23T00:59:02Z,0,82,0,0,198,7173016662
2021-07-23T00:59:03Z,0,82,0,0,199,7173016662
2021-07-23T00:59:04Z,0,81,0,0,200,7173016662
2021-07-23T00:59:05Z,0,81,58,0.5,201,7173016662
2021-07-23T00:59:06Z,0,81,58,0.5,202,7173016662
2021-07-23T00:59:07Z,0,80,58,0.5,203,7173016662
2021-07-23T00:59:08Z,0,80,58,0.5,204,7173016662
2021-07-23T00:59:09Z,0,80,58,0.5,205,7173016662
2021-07-23T00:59:10Z,0,79,58,0.5,206,7173016662
2021-07-23T00:59:11Z,0,79,58,0.5,207,7173016662
2021-07-23T00:59:12Z,0,79,58,0.5,208,7173016662
2021-07-23T00:59:13Z,0,79,0,0,209,7173016662
2021-07-23T00:59:14Z,0,78,0,0,210,7173016662
2021-07-23T00:59:15Z,0,78,0,0,211,7173016662
2021-07-23T00:59:16Z,0,77,0,0,212,7173016662
2021-07-23T00:59:17Z,0,77,0,0,213,7173016662
2021-07-23T00:59:18Z,0,77,0,0,214,7173016662
2021-07-23T00:59:19Z,0,78,0,0,215,7173016662
2021-07-23T00:59:20Z,0,80,0,0,216,7173016662
2021-07-23T00:59:21Z,0,82,0,0,217,7173016662
2021-07-23T00:59:22Z,0,82,0,0,218,7173016662
2021-07-23T00:59:23Z,0,83,0,0,219,7173016662
2021-07-23T00:59:24Z,0,82,0,0,220,7173016662
2021-07-23T00:59:25Z,0,82,0,0,221,7173016662
2021-07-23T00:59:26Z,0,82,0,0,222,7173016662
2021-07-23T00:59:27Z,0,82,0,0,223,7173016662
2021-07-23T00:59:28Z,0,82,0,0,224,7173016662
2021-07-23T00:59:29Z,0,84,0,0,225,7173016662
2021-07-23T00:59:30Z,0,86,0,0,226,7173016662
2021-07-23T00:59:31Z,0,86,0,0,227,7173016662
2021-07-23T00:59:32Z,0,86,0,0,228,7173016662
2021-07-23T00:59:33Z,0,86,0,0,229,7173016662
2021-07-23T00:59:34Z,0,85,0,0,230,7173016662
2021-07-23T00:59:35Z,0,85,0,0,231,7173016662
2021-07-23T00:59:36Z,0,85,58,0.5,232,7173016662
2021-07-23T00:59:37Z,0,84,58,0.5,233,7173016662
2021-07-23T00:59:38Z,0,83,0,0,234,7173016662
2021-07-23T00:59:39Z,0,83,0,0,235,7173016662
2021-07-23T00:59:40Z,0,83,0,0,236,7173016662
2021-07-23T00:59:41Z,0,83,0,0,237,7173016662
2021-07-23T00:59:42Z,0,83,0,0,238,7173016662
2021-07-23T00:59:43Z,0,83,0,0,239,7173016662
2021-07-23T00:59:44Z,0,83,0,0,240,7173016662
2021-07-23T00:59:45Z,0,83,0,0,241,7173016662
