timestamp,distance,altitude,speed,cadence,fractional_cadence,heart_rate,time_elapsed,key
2020-12-25T20:37:04Z,222.65,271.20000000000005,4.451,89,0.5,132,-54,6002508483
2020-12-25T20:37:05Z,226.94,271.20000000000005,4.292,89,0,132,-53,6002508483
2020-12-25T20:37:06Z,231.08,271.20000000000005,4.143,88,0,133,-52,6002508483
2020-12-25T20:37:07Z,235.14,271.20000000000005,4.059,88,0,133,-51,6002508483
2020-12-25T20:37:08Z,238.8,271.20000000000005,3.658,88,0,133,-50,6002508483
2020-12-25T20:37:09Z,242.43,271.20000000000005,3.63,88,0,132,-49,6002508483
2020-12-25T20:37:10Z,246.05,271.20000000000005,3.62,88,0,132,-48,6002508483
2020-12-25T20:37:11Z,249.66,271.20000000000005,3.611,88,0,133,-47,6002508483
2020-12-25T20:37:12Z,253.23,271.20000000000005,3.564,88,0,133,-46,6002508483
2020-12-25T20:37:13Z,256.72,271.20000000000005,3.49,88,0,133,-45,6002508483
2020-12-25T20:37:14Z,260.08,271.20000000000005,3.368,88,0.5,133,-44,6002508483
2020-12-25T20:37:15Z,263.46,271.20000000000005,3.378,89,0,133,-43,6002508483
2020-12-25T20:37:16Z,266.93,271.20000000000005,3.471,89,0,133,-42,6002508483
2020-12-25T20:37:17Z,270.44,271.20000000000005,3.508,89,0,134,-41,6002508483
2020-12-25T20:37:18Z,274.03,271.20000000000005,3.592,88,0,134,-40,6002508483
2020-12-25T20:37:19Z,277.91,271.20000000000005,3.872,88,0,134,-39,6002508483
2020-12-25T20:37:20Z,281.92,271.20000000000005,4.012,88,0,134,-38,6002508483
2020-12-25T20:37:21Z,286.08,271.20000000000005,4.161,88,0,135,-37,6002508483
2020-12-25T20:37:22Z,290.32,271.20000000000005,4.236,88,0,134,-36,6002508483
2020-12-25T20:37:23Z,294.64,271.20000000000005,4.329,88,0,135,-35,6002508483
2020-12-25T20:37:24Z,298.93,271.20000000000005,4.283,88,0,135,-34,6002508483
2020-12-25T20:37:25Z,303.24,271.20000000000005,4.311,88,0,135,-33,6002508483
2020-12-25T20:37:26Z,307.34,271.20000000000005,4.106,88,0,135,-32,6002508483
2020-12-25T20:37:27Z,311.37,271.20000000000005,4.031,88,0,135,-31,6002508483
2020-12-25T20:37:28Z,315.29,271.20000000000005,3.919,88,0,135,-30,6002508483
2020-12-25T20:37:29Z,319.11,271.20000000000005,3.816,88,0,136,-29,6002508483
2020-12-25T20:37:30Z,322.7,271.20000000000005,3.592,88,0,136,-28,6002508483
2020-12-25T20:37:31Z,325.95,271.20000000000005,3.247,88,0,136,-27,6002508483
2020-12-25T20:37:32Z,329.1,271.20000000000005,3.154,88,0,136,-26,6002508483
2020-12-25T20:37:33Z,331.85,271.20000000000005,2.743,88,0,136,-25,6002508483
2020-12-25T20:37:34Z,334.99,271.20000000000005,3.144,88,0,136,-24,6002508483
2020-12-25T20:37:35Z,338.24,271.20000000000005,3.247,90,0,136,-23,6002508483
2020-12-25T20:37:36Z,341.62,271.20000000000005,3.378,91,0,136,-22,6002508483
2020-12-25T20:37:37Z,345.09,271.20000000000005,3.471,91,0,136,-21,6002508483
2020-12-25T20:37:38Z,348.76,271.20000000000005,3.667,91,0,136,-20,6002508483
2020-12-25T20:37:39Z,352.47,271.20000000000005,3.714,87,0.5,136,-19,6002508483
2020-12-25T20:37:40Z,356.58,271.20000000000005,4.115,87,0.5,136,-18,6002508483
2020-12-25T20:37:41Z,360.78,271.20000000000005,4.199,87,0.5,137,-17,6002508483
2020-12-25T20:37:42Z,364.51,271.20000000000005,3.732,87,0,136,-16,6002508483
2020-12-25T20:37:43Z,368.06,271.20000000000005,3.546,87,0,136,-15,6002508483
2020-12-25T20:37:44Z,371.56,271.20000000000005,3.499,87,0,136,-14,6002508483
2020-12-25T20:37:45Z,374.94,271.20000000000005,3.387,87,0,136,-13,6002508483
2020-12-25T20:37:46Z,378.36,271.20000000000005,3.415,88,0,136,-12,6002508483
2020-12-25T20:37:47Z,381.81,271.20000000000005,3.452,88,0,136,-11,6002508483
2020-12-25T20:37:48Z,385.36,271.20000000000005,3.546,88,0,136,-10,6002508483
2020-12-25T20:37:49Z,389.15,271.20000000000005,3.788,88,0,136,-9,6002508483
2020-12-25T20:37:50Z,393.06,271.20000000000005,3.91,88,0,136,-8,6002508483
2020-12-25T20:37:51Z,397.04,271.20000000000005,3.984,88,0,136,-7,6002508483
2020-12-25T20:37:52Z,401.01,271.20000000000005,3.966,88,0,135,-6,6002508483
2020-12-25T20:37:53Z,405.13,271.20000000000005,4.124,87,0,136,-5,6002508483
2020-12-25T20:37:54Z,409.28,271.20000000000005,4.152,87,0,136,-4,6002508483
2020-12-25T20:37:55Z,413.44,271.20000000000005,4.161,87,0,136,-3,6002508483
2020-12-25T20:37:56Z,417.47,271.20000000000005,4.031,87,0,136,-2,6002508483
2020-12-25T20:37:57Z,421.44,271.20000000000005,3.966,87,0,136,-1,6002508483
2020-12-25T20:37:59Z,429.38,271.20000000000005,4.003,87,0,136,1,6002508483
2020-12-25T20:38:00Z,433.34,271.20000000000005,3.956,87,0,136,2,6002508483
2020-12-25T20:38:01Z,437.27,271.20000000000005,3.938,87,0,136,3,6002508483
2020-12-25T20:38:02Z,441.21,271.20000000000005,3.938,87,0,136,4,6002508483
2020-12-25T20:38:03Z,444.85,271.20000000000005,3.639,87,0,136,5,6002508483
2020-12-25T20:38:04Z,448.49,271.20000000000005,3.639,87,0,136,6,6002508483
2020-12-25T20:38:05Z,451.92,271.20000000000005,3.434,87,0,136,7,6002508483
2020-12-25T20:38:06Z,455.2,271.20000000000005,3.275,87,0,136,8,6002508483
2020-12-25T20:38:07Z,458.45,271.20000000000005,3.247,87,0,136,9,6002508483
2020-12-25T20:38:08Z,461.79,271.20000000000005,3.35,87,0,136,10,6002508483
2020-12-25T20:38:09Z,465.19,271.20000000000005,3.396,87,0,136,11,6002508483
2020-12-25T20:38:10Z,468.74,271.20000000000005,3.546,87,0,136,12,6002508483
2020-12-25T20:38:11Z,472.37,271.20000000000005,3.63,87,0,136,13,6002508483
2020-12-25T20:38:12Z,476.12,271.20000000000005,3.751,87,0,137,14,6002508483
2020-12-25T20:38:13Z,480.04,271.20000000000005,3.919,87,0,136,15,6002508483
2020-12-25T20:38:14Z,483.97,271.20000000000005,3.938,87,0,136,16,6002508483
2020-12-25T20:38:15Z,487.91,271.20000000000005,3.938,87,0,136,17,6002508483
2020-12-25T20:38:16Z,491.78,271.20000000000005,3.872,87,0,137,18,6002508483
2020-12-25T20:38:17Z,495.62,271.20000000000005,3.835,87,0,137,19,6002508483
2020-12-25T20:38:18Z,499.77,271.20000000000005,4.152,86,0,137,20,6002508483
2020-12-25T20:38:19Z,503.96,271.20000000000005,4.189,86,0,137,21,6002508483
2020-12-25T20:38:20Z,508.13,271.20000000000005,4.171,86,0,136,22,6002508483
2020-12-25T20:38:21Z,512.29,271.20000000000005,4.161,86,0,136,23,6002508483
2020-12-25T20:38:22Z,516.39,271.20000000000005,4.096,86,0,136,24,6002508483
2020-12-25T20:38:23Z,520.43,271.20000000000005,4.04,87,0,136,25,6002508483
2020-12-25T20:38:24Z,524.43,271.20000000000005,4.003,87,0,137,26,6002508483
2020-12-25T20:38:25Z,528.47,271.20000000000005,4.04,88,0,137,27,6002508483
