timestamp,distance,speed,cadence,heart_rate,time_elapsed,elevation,latitude,longitude,key
2021-07-15T12:16:37Z,143.1,2.976,85,115,50,264.84,44.989561177790165,-93.21275498718023,7129589984
2021-07-15T12:16:38Z,145.92,2.958,85,116,51,264.84,44.98953586444259,-93.21275180205703,7129589984
2021-07-15T12:16:39Z,148.49,2.939,85,116,52,264.83,44.98951273038983,-93.21275088004768,7129589984
2021-07-15T12:16:40Z,151.17,2.93,85,116,53,264.81,44.98948867432773,-93.21275280788541,7129589984
2021-07-15T12:16:41Z,154.05,2.921,85,116,54,264.81,44.98946277424693,-93.21275607682765,7129589984
2021-07-15T12:16:42Z,157,2.911,85,117,55,264.78,44.98943628743291,-93.21275917813182,7129589984
2021-07-15T12:16:43Z,159.75,2.911,85,117,56,264.76,44.98941147699952,-93.21276051923633,7129589984
2021-07-15T12:16:44Z,162.71,2.911,86,116,57,264.76,44.98938490636647,-93.21276269853115,7129589984
2021-07-15T12:16:45Z,165.82,2.902,86,117,58,264.76,44.989356910809875,-93.2127654645592,7129589984
2021-07-15T12:16:46Z,168.64,2.902,87,116,59,264.75,44.9893315974623,-93.21276697330177,7129589984
2021-07-15T12:16:47Z,171.45,2.902,87,116,60,264.82,44.98930678702891,-93.2127739302814,7129589984
2021-07-15T12:16:48Z,173.87,2.902,87,117,61,264.83,44.989285077899694,-93.21277652867138,7129589984
2021-07-15T12:16:49Z,176.66,2.902,86,117,62,264.81,44.98925993219018,-93.21278038434684,7129589984
2021-07-15T12:16:50Z,179.6,2.893,86,118,63,264.81,44.98923369683325,-93.21278516203165,7129589984
2021-07-15T12:16:51Z,182.66,2.883,86,118,64,264.81,44.989206371828914,-93.21279086172581,7129589984
2021-07-15T12:16:52Z,185.94,2.883,86,120,65,264.81,44.98917703516781,-93.21279538795352,7129589984
2021-07-15T12:16:53Z,188.91,2.883,86,120,66,264.81,44.98915038071573,-93.21279547177255,7129589984
2021-07-15T12:16:54Z,192.13,2.893,86,120,67,264.81,44.989121379330754,-93.21279362775385,7129589984
2021-07-15T12:16:55Z,195.09,2.893,86,120,68,264.78,44.98909489251673,-93.21278985589743,7129589984
2021-07-15T12:16:56Z,198.35,2.893,85,120,69,264.72,44.98906555585563,-93.21278474293649,7129589984
2021-07-15T12:16:57Z,201.72,2.902,84,120,70,264.63,44.98903529718518,-93.21278155781329,7129589984
2021-07-15T12:16:58Z,205.09,2.902,84,120,71,264.53,44.9890049546957,-93.21278046816587,7129589984
2021-07-15T12:16:59Z,208.52,2.902,84,120,72,264.53,44.98897410929203,-93.21278155781329,7129589984
2021-07-15T12:17:00Z,211.83,2.911,85,120,73,264.45,44.98894435353577,-93.21278130635619,7129589984
2021-07-15T12:17:01Z,216.02,2.921,85,120,74,264.4,44.98890671879053,-93.21277661249042,7129589984
2021-07-15T12:17:02Z,219.84,2.93,85,120,75,264.37,44.98887235298753,-93.21277267299592,7129589984
2021-07-15T12:17:03Z,223.77,2.939,85,120,76,264.35,44.988837065175176,-93.21277082897723,7129589984
2021-07-15T12:17:04Z,227.63,2.948,85,120,77,264.33,44.988802364096045,-93.21277124807239,7129589984
2021-07-15T12:17:05Z,231.02,2.967,85,120,78,264.31,44.98877177014947,-93.2127707451582,7129589984
2021-07-15T12:17:06Z,234.26,2.986,85,120,79,264.29,44.9887425173074,-93.21276965551078,7129589984
2021-07-15T12:17:07Z,237.82,2.995,85,120,80,264.29,44.988710414618254,-93.21276906877756,7129589984
2021-07-15T12:17:08Z,241.17,3.004,85,120,81,264.27,44.988680239766836,-93.21277082897723,7129589984
2021-07-15T12:17:09Z,244.54,3.014,85,120,82,264.25,44.988649897277355,-93.21277082897723,7129589984
2021-07-15T12:17:10Z,247.74,3.023,85,120,83,264.23,44.988621063530445,-93.2127704937011,7129589984
2021-07-15T12:17:11Z,250.87,3.023,85,120,84,264.2,44.98859281651676,-93.21277191862464,7129589984
2021-07-15T12:17:12Z,253.72,3.032,85,120,85,264.2,44.98856716789305,-93.21277200244367,7129589984
2021-07-15T12:17:13Z,256.26,3.032,85,120,86,264.19,44.988544285297394,-93.21277099661529,7129589984
2021-07-15T12:17:14Z,259.05,3.023,85,119,87,264.17,44.98851922340691,-93.21276873350143,7129589984
2021-07-15T12:17:15Z,261.82,2.995,85,119,88,264.17,44.98849441297352,-93.21276605129242,7129589984
2021-07-15T12:17:16Z,264.7,2.976,85,120,89,264.15,44.98846842907369,-93.2127654645592,7129589984
2021-07-15T12:17:17Z,267.58,2.948,85,119,90,264.12,44.98844252899289,-93.21276487782598,7129589984
2021-07-15T12:17:18Z,270.55,2.948,85,119,91,264.12,44.988415874540806,-93.21276278235018,7129589984
2021-07-15T12:17:19Z,273.4,2.939,85,119,92,264.08,44.9883902259171,-93.21276093833148,7129589984
2021-07-15T12:17:20Z,276.21,2.939,85,120,93,264.03,44.98836474493146,-93.21276169270277,7129589984
2021-07-15T12:17:21Z,279.08,2.911,86,120,94,264.03,44.988339096307755,-93.21275691501796,7129589984
2021-07-15T12:17:22Z,282.66,2.893,86,120,95,263.99,44.988306909799576,-93.2127551548183,7129589984
2021-07-15T12:17:23Z,286.19,2.893,86,120,96,263.94,44.988275058567524,-93.21275473572314,7129589984
2021-07-15T12:17:24Z,289.72,2.911,86,120,97,263.89,44.988243374973536,-93.21275423280895,7129589984
2021-07-15T12:17:25Z,293.4,2.93,86,120,98,263.84,44.98821035027504,-93.2127512153238,7129589984
2021-07-15T12:17:26Z,297.16,2.939,85,119,99,263.81,44.98817657120526,-93.21274735964835,7129589984
2021-07-15T12:17:27Z,301.16,2.967,85,119,100,263.77,44.98814061284065,-93.21274316869676,7129589984
2021-07-15T12:17:28Z,305.12,2.976,85,119,101,263.71,44.98810498975217,-93.21274157613516,7129589984
