longitude,latitude,timestamp,distance,heart_rate,time_elapsed,elevation,key
NA,NA,2022-01-17T23:25:06Z,0,112,93,0,8137125855
NA,NA,2022-01-17T23:25:07Z,0,112,94,0,8137125855
NA,NA,2022-01-17T23:25:08Z,0,113,95,0,8137125855
NA,NA,2022-01-17T23:25:09Z,0,113,96,0,8137125855
NA,NA,2022-01-17T23:25:10Z,0,113,97,0,8137125855
NA,NA,2022-01-17T23:25:11Z,0,113,98,0,8137125855
NA,NA,2022-01-17T23:25:12Z,0,113,99,0,8137125855
NA,NA,2022-01-17T23:25:13Z,0,114,100,0,8137125855
NA,NA,2022-01-17T23:25:14Z,0,114,101,0,8137125855
NA,NA,2022-01-17T23:25:15Z,0,114,102,0,8137125855
NA,NA,2022-01-17T23:25:16Z,0,114,103,0,8137125855
NA,NA,2022-01-17T23:25:17Z,0,114,104,0,8137125855
NA,NA,2022-01-17T23:25:18Z,0,114,105,0,8137125855
NA,NA,2022-01-17T23:25:19Z,0,113,106,0,8137125855
NA,NA,2022-01-17T23:25:20Z,0,113,107,0,8137125855
NA,NA,2022-01-17T23:25:21Z,0,113,108,0,8137125855
NA,NA,2022-01-17T23:25:22Z,0,114,109,0,8137125855
NA,NA,2022-01-17T23:25:23Z,0,114,110,0,8137125855
NA,NA,2022-01-17T23:25:24Z,0,115,111,0,8137125855
NA,NA,2022-01-17T23:25:25Z,0,115,112,0,8137125855
NA,NA,2022-01-17T23:25:26Z,0,115,113,0,8137125855
NA,NA,2022-01-17T23:25:27Z,0,115,114,0,8137125855
NA,NA,2022-01-17T23:25:28Z,0,114,115,0,8137125855
NA,NA,2022-01-17T23:25:29Z,0,115,116,0,8137125855
NA,NA,2022-01-17T23:25:30Z,0,115,117,0,8137125855
NA,NA,2022-01-17T23:25:31Z,0,115,118,0,8137125855
NA,NA,2022-01-17T23:25:32Z,0,116,119,0,8137125855
NA,NA,2022-01-17T23:25:33Z,0,116,120,0,8137125855
NA,NA,2022-01-17T23:25:34Z,0,116,121,0,8137125855
NA,NA,2022-01-17T23:25:35Z,0,116,122,0,8137125855
NA,NA,2022-01-17T23:25:36Z,0,116,123,0,8137125855
NA,NA,2022-01-17T23:25:37Z,0,116,124,0,8137125855
NA,NA,2022-01-17T23:25:38Z,0,116,125,0,8137125855
NA,NA,2022-01-17T23:25:39Z,0,116,126,0,8137125855
NA,NA,2022-01-17T23:25:40Z,0,116,127,0,8137125855
NA,NA,2022-01-17T23:25:41Z,0,115,128,0,8137125855
NA,NA,2022-01-17T23:25:42Z,0,115,129,0,8137125855
NA,NA,2022-01-17T23:25:43Z,0,115,130,0,8137125855
NA,NA,2022-01-17T23:25:44Z,0,115,131,0,8137125855
NA,NA,2022-01-17T23:25:45Z,0,115,132,0,8137125855
NA,NA,2022-01-17T23:25:46Z,0,114,133,0,8137125855
NA,NA,2022-01-17T23:25:47Z,0,114,134,0,8137125855
NA,NA,2022-01-17T23:25:48Z,0,114,135,0,8137125855
NA,NA,2022-01-17T23:25:49Z,0,115,136,0,8137125855
NA,NA,2022-01-17T23:25:50Z,0,115,137,0,8137125855
NA,NA,2022-01-17T23:25:51Z,0,115,138,0,8137125855
NA,NA,2022-01-17T23:25:52Z,0,115,139,0,8137125855
NA,NA,2022-01-17T23:25:53Z,0,115,140,0,8137125855
NA,NA,2022-01-17T23:25:54Z,0,114,141,0,8137125855
NA,NA,2022-01-17T23:25:55Z,0,114,142,0,8137125855
NA,NA,2022-01-17T23:25:56Z,0,114,143,0,8137125855
NA,NA,2022-01-17T23:25:57Z,0,114,144,0,8137125855
NA,NA,2022-01-17T23:25:58Z,0,114,145,0,8137125855
NA,NA,2022-01-17T23:25:59Z,0,115,146,0,8137125855
NA,NA,2022-01-17T23:26:00Z,0,114,147,0,8137125855
NA,NA,2022-01-17T23:26:01Z,0,114,148,0,8137125855
NA,NA,2022-01-17T23:26:02Z,0,114,149,0,8137125855
NA,NA,2022-01-17T23:26:03Z,0,114,150,0,8137125855
NA,NA,2022-01-17T23:26:04Z,0,113,151,0,8137125855
