timestamp,distance,altitude,speed,cadence,fractional_cadence,heart_rate,key
2018-10-11T00:34:29Z,167.27,249.20000000000005,3.014,83,0.5,129,2018-10-11 00:33:37
2018-10-11T00:34:30Z,170.29,249.20000000000005,3.014,83,0.5,130,2018-10-11 00:33:37
2018-10-11T00:34:31Z,173.35,249.20000000000005,3.06,83,0,130,2018-10-11 00:33:37
2018-10-11T00:34:32Z,176.47,249.20000000000005,3.126,83,0,130,2018-10-11 00:33:37
2018-10-11T00:34:33Z,179.61,249.20000000000005,3.135,83,0,131,2018-10-11 00:33:37
2018-10-11T00:34:34Z,182.77,249.20000000000005,3.154,83,0,131,2018-10-11 00:33:37
2018-10-11T00:34:35Z,185.99,249.20000000000005,3.228,83,0,132,2018-10-11 00:33:37
2018-10-11T00:34:36Z,189.25,249.20000000000005,3.266,83,0,133,2018-10-11 00:33:37
2018-10-11T00:34:37Z,192.65,249.20000000000005,3.387,83,0,133,2018-10-11 00:33:37
2018-10-11T00:34:38Z,196.05,249.20000000000005,3.406,83,0,133,2018-10-11 00:33:37
2018-10-11T00:34:39Z,199.46,249.20000000000005,3.415,82,0,134,2018-10-11 00:33:37
2018-10-11T00:34:40Z,202.85,249.20000000000005,3.387,82,0,134,2018-10-11 00:33:37
2018-10-11T00:34:41Z,206.22,249.20000000000005,3.368,82,0,134,2018-10-11 00:33:37
2018-10-11T00:34:42Z,209.55,249.20000000000005,3.331,82,0,135,2018-10-11 00:33:37
2018-10-11T00:34:43Z,212.88,249.20000000000005,3.331,82,0,135,2018-10-11 00:33:37
2018-10-11T00:34:44Z,216.05,249.20000000000005,3.172,82,0,136,2018-10-11 00:33:37
2018-10-11T00:34:45Z,219.01,249.20000000000005,2.958,82,0,136,2018-10-11 00:33:37
2018-10-11T00:34:46Z,221.96,249.20000000000005,2.948,82,0,136,2018-10-11 00:33:37
2018-10-11T00:34:47Z,225.02,249.20000000000005,3.06,82,0,136,2018-10-11 00:33:37
2018-10-11T00:34:48Z,228.14,249.20000000000005,3.126,82,0,136,2018-10-11 00:33:37
2018-10-11T00:34:49Z,231.34,249.20000000000005,3.191,82,0,137,2018-10-11 00:33:37
2018-10-11T00:34:50Z,234.68,249.20000000000005,3.34,83,0,136,2018-10-11 00:33:37
2018-10-11T00:34:51Z,238.04,249.20000000000005,3.359,83,0,136,2018-10-11 00:33:37
2018-10-11T00:34:52Z,241.34,249.20000000000005,3.303,83,0,136,2018-10-11 00:33:37
2018-10-11T00:34:53Z,244.62,249.20000000000005,3.284,83,0,137,2018-10-11 00:33:37
2018-10-11T00:34:54Z,247.87,249.20000000000005,3.247,81,0,137,2018-10-11 00:33:37
2018-10-11T00:34:55Z,251.12,249.20000000000005,3.247,81,0,137,2018-10-11 00:33:37
2018-10-11T00:34:56Z,254.38,249.20000000000005,3.266,82,0,137,2018-10-11 00:33:37
2018-10-11T00:34:57Z,257.66,249.20000000000005,3.275,82,0,137,2018-10-11 00:33:37
2018-10-11T00:34:58Z,260.9,249.20000000000005,3.238,82,0,137,2018-10-11 00:33:37
2018-10-11T00:34:59Z,264.11,249.20000000000005,3.21,82,0,136,2018-10-11 00:33:37
2018-10-11T00:35:00Z,267.3,249.20000000000005,3.191,82,0,135,2018-10-11 00:33:37
2018-10-11T00:35:01Z,270.54,249.20000000000005,3.238,82,0,135,2018-10-11 00:33:37
2018-10-11T00:35:02Z,273.81,249.20000000000005,3.275,83,0,135,2018-10-11 00:33:37
2018-10-11T00:35:03Z,277.08,249.20000000000005,3.275,83,0,134,2018-10-11 00:33:37
2018-10-11T00:35:04Z,280.32,249.20000000000005,3.238,82,0,135,2018-10-11 00:33:37
2018-10-11T00:35:05Z,283.53,249.20000000000005,3.21,82,0,135,2018-10-11 00:33:37
2018-10-11T00:35:06Z,286.74,249.20000000000005,3.2,82,0,135,2018-10-11 00:33:37
2018-10-11T00:35:07Z,289.95,249.20000000000005,3.219,82,0,135,2018-10-11 00:33:37
2018-10-11T00:35:08Z,293.16,249.20000000000005,3.21,82,0,135,2018-10-11 00:33:37
2018-10-11T00:35:09Z,296.36,249.20000000000005,3.2,82,0,135,2018-10-11 00:33:37
2018-10-11T00:35:10Z,299.5,249.20000000000005,3.135,82,0,135,2018-10-11 00:33:37
2018-10-11T00:35:11Z,302.64,249.20000000000005,3.144,81,0,135,2018-10-11 00:33:37
2018-10-11T00:35:12Z,305.79,249.20000000000005,3.144,81,0,135,2018-10-11 00:33:37
2018-10-11T00:35:13Z,308.94,249.20000000000005,3.154,81,0,135,2018-10-11 00:33:37
2018-10-11T00:35:14Z,312.15,249.20000000000005,3.21,82,0,136,2018-10-11 00:33:37
2018-10-11T00:35:15Z,315.41,249.20000000000005,3.256,82,0,136,2018-10-11 00:33:37
