timestamp,distance,speed,heart_rate,cadence,fractional_cadence,key
2019-01-31T23:43:19Z,0,0,152,0,0,2019-01-31 23:42:07
2019-01-31T23:43:20Z,0,0,150,0,0,2019-01-31 23:42:07
2019-01-31T23:43:21Z,0,0,151,0,0,2019-01-31 23:42:07
2019-01-31T23:43:22Z,0,0,152,0,0,2019-01-31 23:42:07
2019-01-31T23:43:23Z,0,0,153,0,0,2019-01-31 23:42:07
2019-01-31T23:43:24Z,0,0,152,0,0,2019-01-31 23:42:07
2019-01-31T23:43:25Z,0,0,152,0,0,2019-01-31 23:42:07
2019-01-31T23:43:26Z,0,0,151,0,0,2019-01-31 23:42:07
2019-01-31T23:43:27Z,0,0,151,0,0,2019-01-31 23:42:07
2019-01-31T23:43:28Z,0,0,153,0,0,2019-01-31 23:42:07
2019-01-31T23:43:29Z,0,0,149,0,0,2019-01-31 23:42:07
2019-01-31T23:43:30Z,0,0,142,0,0,2019-01-31 23:42:07
2019-01-31T23:43:31Z,0,0,139,0,0,2019-01-31 23:42:07
2019-01-31T23:43:32Z,0,0,138,0,0,2019-01-31 23:42:07
2019-01-31T23:43:33Z,0,0,137,0,0,2019-01-31 23:42:07
2019-01-31T23:43:34Z,0,0,136,0,0,2019-01-31 23:42:07
2019-01-31T23:43:35Z,0,0,136,0,0,2019-01-31 23:42:07
2019-01-31T23:43:36Z,0,0,135,0,0,2019-01-31 23:42:07
2019-01-31T23:43:37Z,0,0,135,0,0,2019-01-31 23:42:07
2019-01-31T23:43:38Z,0,0,135,0,0,2019-01-31 23:42:07
2019-01-31T23:43:39Z,0,0,135,0,0,2019-01-31 23:42:07
2019-01-31T23:43:40Z,0,0,136,0,0,2019-01-31 23:42:07
2019-01-31T23:43:41Z,0,0,137,0,0,2019-01-31 23:42:07
2019-01-31T23:43:42Z,0,0,137,0,0,2019-01-31 23:42:07
2019-01-31T23:43:43Z,0,0,138,0,0,2019-01-31 23:42:07
2019-01-31T23:43:44Z,0,0,139,0,0,2019-01-31 23:42:07
2019-01-31T23:43:45Z,0,0,140,0,0,2019-01-31 23:42:07
2019-01-31T23:43:46Z,0,0,140,0,0,2019-01-31 23:42:07
2019-01-31T23:43:47Z,0,0,140,0,0,2019-01-31 23:42:07
2019-01-31T23:43:48Z,0,0,141,0,0,2019-01-31 23:42:07
2019-01-31T23:43:49Z,0,0,142,0,0,2019-01-31 23:42:07
2019-01-31T23:43:50Z,0,0,143,0,0,2019-01-31 23:42:07
2019-01-31T23:43:51Z,0,0,144,0,0,2019-01-31 23:42:07
2019-01-31T23:43:52Z,0,0,145,0,0,2019-01-31 23:42:07
2019-01-31T23:43:53Z,0,0,146,0,0,2019-01-31 23:42:07
2019-01-31T23:43:54Z,0,0,147,0,0,2019-01-31 23:42:07
2019-01-31T23:43:55Z,0,0,147,0,0,2019-01-31 23:42:07
2019-01-31T23:43:56Z,0,0,147,0,0,2019-01-31 23:42:07
2019-01-31T23:43:57Z,0,0,148,0,0,2019-01-31 23:42:07
2019-01-31T23:43:58Z,0,0,148,0,0,2019-01-31 23:42:07
2019-01-31T23:43:59Z,0,0,148,0,0,2019-01-31 23:42:07
2019-01-31T23:44:00Z,0,0,148,0,0,2019-01-31 23:42:07
2019-01-31T23:44:01Z,0,0,148,0,0,2019-01-31 23:42:07
2019-01-31T23:44:02Z,0,0,148,0,0,2019-01-31 23:42:07
2019-01-31T23:44:03Z,0,0,148,0,0,2019-01-31 23:42:07
2019-01-31T23:44:04Z,0,0,147,0,0,2019-01-31 23:42:07
2019-01-31T23:44:05Z,0,0,147,0,0,2019-01-31 23:42:07
2019-01-31T23:44:06Z,0,0,146,0,0,2019-01-31 23:42:07
2019-01-31T23:44:07Z,0,0,146,0,0,2019-01-31 23:42:07
2019-01-31T23:44:08Z,0,0,145,0,0,2019-01-31 23:42:07
2019-01-31T23:44:09Z,0,0,145,0,0,2019-01-31 23:42:07
2019-01-31T23:44:10Z,0,0,147,0,0,2019-01-31 23:42:07
2019-01-31T23:44:11Z,0,0,149,0,0,2019-01-31 23:42:07
2019-01-31T23:44:12Z,0,0,139,0,0,2019-01-31 23:42:07
2019-01-31T23:44:13Z,0,0,139,0,0,2019-01-31 23:42:07
2019-01-31T23:44:14Z,0,0,137,0,0,2019-01-31 23:42:07
2019-01-31T23:44:15Z,0,0,135,0,0,2019-01-31 23:42:07
2019-01-31T23:44:16Z,0,0,135,0,0,2019-01-31 23:42:07
2019-01-31T23:44:17Z,0,0,135,0,0,2019-01-31 23:42:07
2019-01-31T23:44:18Z,0,0,135,0,0,2019-01-31 23:42:07
2019-01-31T23:44:19Z,0,0,136,0,0,2019-01-31 23:42:07
2019-01-31T23:44:20Z,0,0,136,0,0,2019-01-31 23:42:07
2019-01-31T23:44:21Z,0,0,136,0,0,2019-01-31 23:42:07
2019-01-31T23:44:22Z,0,0,137,0,0,2019-01-31 23:42:07
2019-01-31T23:44:23Z,0,0,137,0,0,2019-01-31 23:42:07
2019-01-31T23:44:24Z,0,0,138,0,0,2019-01-31 23:42:07
2019-01-31T23:44:25Z,0,0,139,0,0,2019-01-31 23:42:07
2019-01-31T23:44:26Z,0,0,139,0,0,2019-01-31 23:42:07
2019-01-31T23:44:27Z,0,0,139,0,0,2019-01-31 23:42:07
2019-01-31T23:44:28Z,0,0,139,0,0,2019-01-31 23:42:07
2019-01-31T23:44:29Z,0,0,140,0,0,2019-01-31 23:42:07
2019-01-31T23:44:30Z,0,0,140,0,0,2019-01-31 23:42:07
2019-01-31T23:44:31Z,0,0,140,0,0,2019-01-31 23:42:07
2019-01-31T23:44:32Z,0,0,141,0,0,2019-01-31 23:42:07
2019-01-31T23:44:33Z,0,0,142,0,0,2019-01-31 23:42:07
2019-01-31T23:44:34Z,0,0,142,0,0,2019-01-31 23:42:07
2019-01-31T23:44:35Z,0,0,142,0,0,2019-01-31 23:42:07
2019-01-31T23:44:36Z,0,0,143,0,0,2019-01-31 23:42:07
2019-01-31T23:44:37Z,0,0,143,0,0,2019-01-31 23:42:07
