timestamp,distance,altitude,heart_rate,cadence,fractional_cadence,key
2019-06-18T00:03:27Z,0,NA,81,58,0.5,2019-06-18 00:02:08
2019-06-18T00:03:28Z,0,NA,83,0,0,2019-06-18 00:02:08
2019-06-18T00:03:29Z,0,NA,83,0,0,2019-06-18 00:02:08
2019-06-18T00:03:30Z,0,NA,83,0,0,2019-06-18 00:02:08
2019-06-18T00:03:31Z,0,NA,83,0,0,2019-06-18 00:02:08
2019-06-18T00:03:32Z,0,NA,83,0,0,2019-06-18 00:02:08
2019-06-18T00:03:33Z,0,NA,84,0,0,2019-06-18 00:02:08
2019-06-18T00:03:34Z,0,NA,83,0,0,2019-06-18 00:02:08
2019-06-18T00:03:35Z,0,NA,84,0,0,2019-06-18 00:02:08
2019-06-18T00:03:36Z,0,NA,84,0,0,2019-06-18 00:02:08
2019-06-18T00:03:37Z,0,NA,84,0,0,2019-06-18 00:02:08
2019-06-18T00:03:38Z,0,NA,85,58,0.5,2019-06-18 00:02:08
2019-06-18T00:03:39Z,0,NA,85,58,0.5,2019-06-18 00:02:08
2019-06-18T00:03:40Z,0,NA,86,0,0,2019-06-18 00:02:08
2019-06-18T00:03:41Z,0,NA,86,0,0,2019-06-18 00:02:08
2019-06-18T00:03:42Z,0,NA,87,0,0,2019-06-18 00:02:08
2019-06-18T00:03:43Z,0,NA,87,0,0,2019-06-18 00:02:08
2019-06-18T00:03:44Z,0,NA,87,0,0,2019-06-18 00:02:08
2019-06-18T00:03:45Z,0,NA,87,0,0,2019-06-18 00:02:08
2019-06-18T00:03:46Z,0,NA,88,0,0,2019-06-18 00:02:08
2019-06-18T00:03:47Z,0,NA,88,0,0,2019-06-18 00:02:08
2019-06-18T00:03:48Z,0,NA,88,0,0,2019-06-18 00:02:08
2019-06-18T00:03:49Z,0,NA,88,0,0,2019-06-18 00:02:08
2019-06-18T00:03:50Z,0,NA,88,0,0,2019-06-18 00:02:08
2019-06-18T00:03:51Z,0,NA,89,0,0,2019-06-18 00:02:08
2019-06-18T00:03:52Z,0,NA,89,0,0,2019-06-18 00:02:08
2019-06-18T00:03:53Z,0,NA,89,0,0,2019-06-18 00:02:08
2019-06-18T00:03:54Z,0,NA,89,0,0,2019-06-18 00:02:08
2019-06-18T00:03:55Z,0,NA,89,0,0,2019-06-18 00:02:08
2019-06-18T00:03:56Z,0,NA,89,0,0,2019-06-18 00:02:08
2019-06-18T00:03:57Z,0,NA,89,0,0,2019-06-18 00:02:08
2019-06-18T00:03:58Z,0,NA,89,0,0,2019-06-18 00:02:08
2019-06-18T00:03:59Z,0,NA,89,0,0,2019-06-18 00:02:08
2019-06-18T00:04:00Z,0,NA,89,0,0,2019-06-18 00:02:08
2019-06-18T00:04:01Z,0,NA,89,0,0,2019-06-18 00:02:08
2019-06-18T00:04:02Z,0,NA,89,0,0,2019-06-18 00:02:08
2019-06-18T00:04:03Z,0,NA,89,0,0,2019-06-18 00:02:08
2019-06-18T00:04:04Z,0,NA,88,0,0,2019-06-18 00:02:08
2019-06-18T00:04:05Z,0,NA,86,0,0,2019-06-18 00:02:08
2019-06-18T00:04:06Z,0,NA,86,0,0,2019-06-18 00:02:08
2019-06-18T00:04:07Z,0,NA,86,0,0,2019-06-18 00:02:08
2019-06-18T00:04:08Z,0,NA,86,0,0,2019-06-18 00:02:08
2019-06-18T00:04:09Z,0,NA,86,0,0,2019-06-18 00:02:08
2019-06-18T00:04:10Z,0,NA,86,0,0,2019-06-18 00:02:08
2019-06-18T00:04:11Z,0,NA,86,0,0,2019-06-18 00:02:08
2019-06-18T00:04:12Z,0,NA,86,58,0.5,2019-06-18 00:02:08
2019-06-18T00:04:13Z,0,NA,86,58,0.5,2019-06-18 00:02:08
2019-06-18T00:04:14Z,0,NA,86,58,0.5,2019-06-18 00:02:08
2019-06-18T00:04:15Z,0,NA,86,58,0.5,2019-06-18 00:02:08
