timestamp,distance,speed,heart_rate,cadence,fractional_cadence,time_elapsed,key
2021-12-09T22:53:49Z,298.44,3.854,128,85,0.5,75,7938511640
2021-12-09T22:53:50Z,302.32,3.882,128,85,0.5,76,7938511640
2021-12-09T22:53:51Z,306.16,3.835,128,85,0.5,77,7938511640
2021-12-09T22:53:52Z,309.62,3.462,129,85,0.5,78,7938511640
2021-12-09T22:53:53Z,313.13,3.508,129,85,0.5,79,7938511640
2021-12-09T22:53:54Z,316.43,3.303,129,85,0,80,7938511640
2021-12-09T22:53:55Z,319.86,3.424,130,84,0,81,7938511640
2021-12-09T22:53:56Z,323.59,3.732,130,84,0,82,7938511640
2021-12-09T22:53:57Z,327.37,3.779,130,84,0,83,7938511640
2021-12-09T22:53:58Z,331.18,3.816,131,84,0,84,7938511640
2021-12-09T22:53:59Z,335.03,3.844,130,84,0.5,85,7938511640
2021-12-09T22:54:00Z,338.89,3.863,130,84,0.5,86,7938511640
2021-12-09T22:54:01Z,342.77,3.882,130,84,0.5,87,7938511640
2021-12-09T22:54:02Z,346.97,4.199,130,85,0.5,88,7938511640
2021-12-09T22:54:03Z,351.4,4.432,130,85,0.5,89,7938511640
2021-12-09T22:54:04Z,355.84,4.441,130,85,0.5,90,7938511640
2021-12-09T22:54:05Z,360.27,4.423,129,85,0.5,91,7938511640
2021-12-09T22:54:06Z,364.55,4.283,129,84,0.5,92,7938511640
2021-12-09T22:54:07Z,368.66,4.115,129,84,0.5,93,7938511640
2021-12-09T22:54:08Z,372.66,3.994,128,83,0.5,94,7938511640
2021-12-09T22:54:09Z,376.58,3.919,128,83,0.5,95,7938511640
2021-12-09T22:54:10Z,380.44,3.863,128,83,0.5,96,7938511640
2021-12-09T22:54:11Z,384.32,3.872,129,83,0.5,97,7938511640
2021-12-09T22:54:12Z,388.18,3.872,129,84,0.5,98,7938511640
2021-12-09T22:54:13Z,392.14,3.956,129,84,0.5,99,7938511640
2021-12-09T22:54:14Z,396.1,3.956,130,84,0.5,100,7938511640
2021-12-09T22:54:15Z,400,3.9,130,84,0.5,101,7938511640
2021-12-09T22:54:16Z,403.83,3.835,130,83,0.5,102,7938511640
2021-12-09T22:54:17Z,407.62,3.788,130,83,0.5,103,7938511640
2021-12-09T22:54:18Z,411.37,3.751,131,83,0.5,104,7938511640
2021-12-09T22:54:19Z,415.1,3.732,131,83,0.5,105,7938511640
