timestamp,distance,speed,cadence,fractional_cadence,heart_rate,key
2018-03-28T01:53:31Z,337.15,3.396,82,0,NA,2018-03-28 01:51:48
2018-03-28T01:53:32Z,340.54,3.396,82,0,NA,2018-03-28 01:51:48
2018-03-28T01:53:33Z,343.94,3.396,81,0,NA,2018-03-28 01:51:48
2018-03-28T01:53:44Z,379.03,3.172,80,0,NA,2018-03-28 01:51:48
2018-03-28T01:53:45Z,382.19,3.163,80,0,NA,2018-03-28 01:51:48
2018-03-28T01:53:46Z,385.4,3.21,80,0,NA,2018-03-28 01:51:48
2018-03-28T01:53:47Z,388.66,3.266,80,0,NA,2018-03-28 01:51:48
2018-03-28T01:51:48Z,0,0,0,0,74,2018-03-28 01:51:48
2018-03-28T01:51:49Z,0,0,0,0,74,2018-03-28 01:51:48
2018-03-28T01:51:50Z,0,0,0,0,74,2018-03-28 01:51:48
2018-03-28T01:51:51Z,0,0,0,0,74,2018-03-28 01:51:48
2018-03-28T01:51:52Z,0,0,0,0,74,2018-03-28 01:51:48
2018-03-28T01:51:53Z,0,0,0,0,74,2018-03-28 01:51:48
2018-03-28T01:51:54Z,3.3,3.303,81,0,74,2018-03-28 01:51:48
2018-03-28T01:51:55Z,6.76,3.452,82,0.5,74,2018-03-28 01:51:48
2018-03-28T01:51:56Z,10.53,3.77,82,0.5,74,2018-03-28 01:51:48
2018-03-28T01:51:57Z,13.99,3.462,82,0.5,74,2018-03-28 01:51:48
2018-03-28T01:51:58Z,17.44,3.452,81,0,74,2018-03-28 01:51:48
2018-03-28T01:51:59Z,20.82,3.378,81,0,74,2018-03-28 01:51:48
2018-03-28T01:52:00Z,24.52,3.704,81,0,74,2018-03-28 01:51:48
2018-03-28T01:52:01Z,28.23,3.714,81,0,74,2018-03-28 01:51:48
2018-03-28T01:52:02Z,31.96,3.723,82,0,84,2018-03-28 01:51:48
2018-03-28T01:52:03Z,35.4,3.443,82,0,84,2018-03-28 01:51:48
2018-03-28T01:52:04Z,38.76,3.359,82,0,84,2018-03-28 01:51:48
2018-03-28T01:52:05Z,42.09,3.331,82,0,84,2018-03-28 01:51:48
2018-03-28T01:52:06Z,45.45,3.359,82,0,84,2018-03-28 01:51:48
2018-03-28T01:52:07Z,48.83,3.378,81,0,84,2018-03-28 01:51:48
2018-03-28T01:52:08Z,52.14,3.312,81,0,86,2018-03-28 01:51:48
2018-03-28T01:52:09Z,55.43,3.284,81,0,89,2018-03-28 01:51:48
2018-03-28T01:52:10Z,58.7,3.275,81,0,91,2018-03-28 01:51:48
2018-03-28T01:52:11Z,62.1,3.396,82,0,91,2018-03-28 01:51:48
2018-03-28T01:52:12Z,65.62,3.527,82,0,98,2018-03-28 01:51:48
2018-03-28T01:52:13Z,69.21,3.583,82,0,98,2018-03-28 01:51:48
2018-03-28T01:52:14Z,72.84,3.63,82,0,98,2018-03-28 01:51:48
2018-03-28T01:52:15Z,76.41,3.574,82,0,98,2018-03-28 01:51:48
2018-03-28T01:52:16Z,80.02,3.611,81,0,98,2018-03-28 01:51:48
2018-03-28T01:52:17Z,83.65,3.63,81,0,100,2018-03-28 01:51:48
2018-03-28T01:52:18Z,87.21,3.564,81,0,102,2018-03-28 01:51:48
2018-03-28T01:52:19Z,90.71,3.499,81,0,102,2018-03-28 01:51:48
2018-03-28T01:52:20Z,94.3,3.583,81,0,103,2018-03-28 01:51:48
2018-03-28T01:52:21Z,97.93,3.63,82,0,103,2018-03-28 01:51:48
2018-03-28T01:52:22Z,101.59,3.667,82,0,103,2018-03-28 01:51:48
2018-03-28T01:52:23Z,105.21,3.62,83,0,103,2018-03-28 01:51:48
2018-03-28T01:52:24Z,108.82,3.602,83,0,103,2018-03-28 01:51:48
