timestamp,position_lat,position_long,distance,altitude,speed,cadence,fractional_cadence,heart_rate,key
2019-04-17T01:24:56Z,44.98539520427585,-93.19887296296656,2938.17,298.4,1.092,53,0.5,NA,2019-04-17 01:09:48
2019-04-17T01:24:57Z,44.985405346378684,-93.1988833565265,2939.51,298.20000000000005,1.092,52,0,NA,2019-04-17 01:09:48
2019-04-17T01:24:58Z,44.9854149017483,-93.1988915707916,2940.7,297.79999999999995,1.11,52,0,NA,2019-04-17 01:09:48
2019-04-17T01:09:47Z,44.98621478676796,-93.20033585652709,0.33,265.6,0.084,69,0.5,134,2019-04-17 01:09:48
2019-04-17T01:09:48Z,44.9862040579319,-93.20031682960689,2.24,265,2.519,69,0.5,137,2019-04-17 01:09:48
2019-04-17T01:09:49Z,44.9861850310117,-93.20027869194746,5.92,265,2.519,69,0.5,137,2019-04-17 01:09:48
2019-04-17T01:09:50Z,44.98615535907447,-93.20023242384195,10.82,266,2.585,69,0.5,137,2019-04-17 01:09:48
2019-04-17T01:09:51Z,44.98612141236663,-93.20018330588937,16.22,266.79999999999995,3.947,69,0.5,144,2019-04-17 01:09:48
2019-04-17T01:09:53Z,44.98609056696296,-93.20012806914747,21.76,268.20000000000005,4.647,94,0,144,2019-04-17 01:09:48
2019-04-17T01:09:54Z,44.98606491833925,-93.20007090456784,27.09,269,4.647,94,0,144,2019-04-17 01:09:48
2019-04-17T01:09:55Z,44.986039102077484,-93.20001273415983,32.5,270,4.852,94,0,144,2019-04-17 01:09:48
2019-04-17T01:09:56Z,44.98601202853024,-93.19995146244764,38.19,270.20000000000005,5.608,94,0,144,2019-04-17 01:09:48
2019-04-17T01:09:57Z,44.98598135076463,-93.19989287294447,43.91,271.20000000000005,5.729,94,0,143,2019-04-17 01:09:48
2019-04-17T01:09:58Z,44.985948242247105,-93.19983336143196,49.87,272.20000000000005,5.729,93,0,148,2019-04-17 01:09:48
2019-04-17T01:09:59Z,44.985915469005704,-93.19977359846234,55.8,273.4,5.813,90,0.5,148,2019-04-17 01:09:48
2019-04-17T01:10:00Z,44.98588093556464,-93.19971794262528,61.63,274.4,5.813,90,0.5,157,2019-04-17 01:09:48
2019-04-17T01:10:01Z,44.98584480956197,-93.1996635440737,67.49,275,5.738,90,0,155,2019-04-17 01:09:48
2019-04-17T01:10:02Z,44.985807593911886,-93.19960797205567,73.52,275.20000000000005,5.673,91,0.5,159,2019-04-17 01:09:48
2019-04-17T01:10:03Z,44.98577540740371,-93.19955751299858,78.87,275.6,5.673,91,0.5,159,2019-04-17 01:09:48
