timestamp,distance,speed,cadence,fractional_cadence,heart_rate,key
2018-03-05T14:13:56Z,209.42,4.609,90,0.5,NA,2018-03-05 14:13:13
2018-03-05T14:13:57Z,213.97,4.553,90,0.5,NA,2018-03-05 14:13:13
2018-03-05T14:13:58Z,218.49,4.516,90,0.5,NA,2018-03-05 14:13:13
2018-03-05T14:13:13Z,0,0,0,0,117,2018-03-05 14:13:13
2018-03-05T14:13:14Z,0,0,58,0.5,118,2018-03-05 14:13:13
2018-03-05T14:13:15Z,2.55,2.547,58,0.5,118,2018-03-05 14:13:13
2018-03-05T14:13:16Z,6.18,3.63,58,0.5,118,2018-03-05 14:13:13
2018-03-05T14:13:17Z,10.07,3.891,104,0.5,118,2018-03-05 14:13:13
2018-03-05T14:13:19Z,16.59,6.513,104,0.5,118,2018-03-05 14:13:13
2018-03-05T14:13:20Z,23.09,6.513,104,0.5,119,2018-03-05 14:13:13
2018-03-05T14:13:21Z,29.69,6.587,98,0.5,119,2018-03-05 14:13:13
2018-03-05T14:13:22Z,35.98,6.289,98,0.5,119,2018-03-05 14:13:13
2018-03-05T14:13:23Z,42.21,6.233,97,0,123,2018-03-05 14:13:13
2018-03-05T14:13:24Z,48.25,6.046,96,0.5,126,2018-03-05 14:13:13
2018-03-05T14:13:25Z,54.13,5.878,96,0.5,128,2018-03-05 14:13:13
2018-03-05T14:13:26Z,59.87,5.738,96,0.5,135,2018-03-05 14:13:13
2018-03-05T14:13:27Z,65.35,5.477,96,0.5,141,2018-03-05 14:13:13
2018-03-05T14:13:28Z,70.68,5.337,96,0.5,141,2018-03-05 14:13:13
2018-03-05T14:13:29Z,75.93,5.253,96,0.5,141,2018-03-05 14:13:13
2018-03-05T14:13:30Z,81.24,5.309,95,0.5,141,2018-03-05 14:13:13
2018-03-05T14:13:31Z,86.55,5.309,95,0.5,141,2018-03-05 14:13:13
2018-03-05T14:13:32Z,92,5.449,93,0.5,145,2018-03-05 14:13:13
2018-03-05T14:13:33Z,97.3,5.3,93,0.5,146,2018-03-05 14:13:13
2018-03-05T14:13:34Z,102.44,5.141,93,0.5,147,2018-03-05 14:13:13
2018-03-05T14:13:35Z,107.47,5.029,94,0.5,149,2018-03-05 14:13:13
2018-03-05T14:13:36Z,112.45,4.983,94,0.5,151,2018-03-05 14:13:13
2018-03-05T14:13:37Z,117.47,5.011,92,0.5,151,2018-03-05 14:13:13
2018-03-05T14:13:38Z,122.44,4.973,91,0.5,151,2018-03-05 14:13:13
