longitude,latitude,timestamp,distance,speed,heart_rate,cadence,time_elapsed,elevation,key
NA,NA,2022-01-21T23:28:27Z,1.86,1.857,68,58,0,0,8159021853
NA,NA,2022-01-21T23:28:28Z,4.08,2.221,70,58,1,0,8159021853
NA,NA,2022-01-21T23:28:29Z,6.3,2.221,71,58,2,0,8159021853
NA,NA,2022-01-21T23:28:30Z,8.81,2.51,73,58,3,0,8159021853
NA,NA,2022-01-21T23:28:31Z,11.32,2.51,73,58,4,0,8159021853
NA,NA,2022-01-21T23:28:32Z,13.84,2.519,75,91,5,0,8159021853
NA,NA,2022-01-21T23:28:33Z,17.74,3.9,76,91,6,0,8159021853
NA,NA,2022-01-21T23:28:34Z,21.68,3.938,79,90,7,0,8159021853
NA,NA,2022-01-21T23:28:35Z,25.38,3.704,81,90,8,0,8159021853
NA,NA,2022-01-21T23:28:36Z,29.07,3.686,82,90,9,0,8159021853
NA,NA,2022-01-21T23:28:37Z,32.67,3.602,83,90,10,0,8159021853
NA,NA,2022-01-21T23:28:38Z,36.24,3.574,86,90,11,0,8159021853
NA,NA,2022-01-21T23:28:39Z,39.85,3.611,87,90,12,0,8159021853
NA,NA,2022-01-21T23:28:40Z,43.48,3.62,90,90,13,0,8159021853
NA,NA,2022-01-21T23:28:41Z,47.12,3.648,91,90,14,0,8159021853
NA,NA,2022-01-21T23:28:42Z,50.78,3.658,93,90,15,0,8159021853
NA,NA,2022-01-21T23:28:43Z,54.44,3.658,93,90,16,0,8159021853
NA,NA,2022-01-21T23:28:44Z,58.1,3.658,95,90,17,0,8159021853
NA,NA,2022-01-21T23:28:45Z,61.8,3.704,96,90,18,0,8159021853
NA,NA,2022-01-21T23:28:46Z,65.51,3.714,96,89,19,0,8159021853
NA,NA,2022-01-21T23:28:47Z,69.27,3.751,97,88,20,0,8159021853
NA,NA,2022-01-21T23:28:48Z,72.99,3.732,98,87,21,0,8159021853
NA,NA,2022-01-21T23:28:49Z,76.74,3.742,99,87,22,0,8159021853
NA,NA,2022-01-21T23:28:50Z,80.42,3.686,100,87,23,0,8159021853
NA,NA,2022-01-21T23:28:51Z,84.08,3.658,100,87,24,0,8159021853
NA,NA,2022-01-21T23:28:52Z,87.72,3.639,102,86,25,0,8159021853
NA,NA,2022-01-21T23:28:53Z,91.38,3.658,103,86,26,0,8159021853
NA,NA,2022-01-21T23:28:54Z,95.03,3.648,103,86,27,0,8159021853
NA,NA,2022-01-21T23:28:55Z,98.67,3.639,105,87,28,0,8159021853
NA,NA,2022-01-21T23:28:56Z,102.29,3.63,106,87,29,0,8159021853
NA,NA,2022-01-21T23:28:57Z,105.92,3.63,107,87,30,0,8159021853
NA,NA,2022-01-21T23:28:58Z,109.54,3.611,108,87,31,0,8159021853
NA,NA,2022-01-21T23:28:59Z,113.15,3.611,109,87,32,0,8159021853
NA,NA,2022-01-21T23:29:00Z,116.75,3.602,109,86,33,0,8159021853
NA,NA,2022-01-21T23:29:01Z,120.34,3.592,110,86,34,0,8159021853
NA,NA,2022-01-21T23:29:02Z,123.92,3.574,110,86,35,0,8159021853
NA,NA,2022-01-21T23:29:03Z,127.46,3.546,111,86,36,0,8159021853
NA,NA,2022-01-21T23:29:04Z,130.99,3.536,111,86,37,0,8159021853
NA,NA,2022-01-21T23:29:05Z,134.51,3.518,111,86,38,0,8159021853
