distance,speed,heart_rate,time_elapsed,elevation,latitude,longitude,key,smooth_elev,diff_smooth,timestamp
0,4.927,87,0,263.3,44.99009317718446,-93.21495758369564,7241645187,262.8449776785714,-0.45502232142860066,2021-08-03T16:09:46Z
6.38,5.179,88,1,263.45,44.9900359287858,-93.21496663615108,7241645187,262.8175420168067,-0.6324579831932624,2021-08-03T16:09:47Z
12.13,5.477,89,2,263.34,44.98998471535742,-93.21497677825391,7241645187,262.78982142857143,-0.5501785714285461,2021-08-03T16:09:48Z
19.36,5.85,90,3,263.26,44.989922270178795,-93.21500301361084,7241645187,262.7629135338346,-0.4970864661653991,2021-08-03T16:09:49Z
26.7,6.298,89,4,262.95,44.98985948972404,-93.21503184735776,7241645187,262.7378392857143,-0.2121607142856874,2021-08-03T16:09:50Z
34.89,6.531,90,5,262.75,44.98978958465159,-93.21506562642752,7241645187,262.7146768707483,-0.035323129251707996,2021-08-03T16:09:51Z
43.21,6.718,90,6,262.67,44.98971716500819,-93.215093286708,7241645187,262.6935551948052,0.02355519480516932,2021-08-03T16:09:52Z
51.01,6.569,90,7,262.8,44.98964734375477,-93.21510736830533,7241645187,262.6746428571428,-0.12535714285718313,2021-08-03T16:09:53Z
58.76,6.699,90,8,262.89,44.989577773958445,-93.21511818096042,7241645187,262.6581398809524,-0.23186011904761017,2021-08-03T16:09:54Z
66.81,6.83,89,9,262.67,44.98950560577214,-93.21512807160616,7241645187,262.6441,-0.02590000000003556,2021-08-03T16:09:55Z
74.43,6.597,90,10,262.7,44.98943720944226,-93.21513720788062,7241645187,262.63229395604395,-0.06770604395603641,2021-08-03T16:09:56Z
81.78,6.615,89,11,262.71,44.9893712438643,-93.21514332666992,7241645187,262.62236772486773,-0.08763227513225047,2021-08-03T16:09:57Z
89.11,6.662,88,12,262.7,44.98930536210537,-93.2151471823454,7241645187,262.6141198979592,-0.08588010204078955,2021-08-03T16:09:58Z
96.08,6.69,89,13,262.62,44.98924266546965,-93.21515128947794,7241645187,262.6073275862069,-0.012672413793097803,2021-08-03T16:09:59Z
102.96,6.671,88,14,262.51,44.98918080702424,-93.21515581570566,7241645187,262.60189285714284,0.09189285714285234,2021-08-03T16:10:00Z
109.7,6.55,89,15,262.38,44.98912012204528,-93.2151577435434,7241645187,262.59782258064513,0.2178225806451337,2021-08-03T16:10:01Z
116.5,6.643,88,16,262.35,44.989058934152126,-93.21515824645758,7241645187,262.5709447004608,0.22094470046079095,2021-08-03T16:10:02Z
123.34,6.578,90,17,262.31,44.98899741098285,-93.21516101248562,7241645187,262.54744239631333,0.23744239631332675,2021-08-03T16:10:03Z
130.24,6.587,90,18,262.28,44.98893538489938,-93.21516176685692,7241645187,262.5276036866359,0.247603686635955,2021-08-03T16:10:04Z
137.12,6.513,90,19,262.2,44.98887344263494,-93.2151625212282,7241645187,262.5111520737327,0.31115207373272824,2021-08-03T16:10:05Z
143.89,6.326,91,20,262.2,44.988812590017915,-93.21516662836076,7241645187,262.4981566820276,0.29815668202763845,2021-08-03T16:10:06Z
150.56,6.326,92,21,262.23,44.988752491772175,-93.21517023257913,7241645187,262.48870967741937,0.2587096774193469,2021-08-03T16:10:07Z
157.26,6.438,92,22,262.26,44.9886923097074,-93.21517350152136,7241645187,262.483133640553,0.22313364055298734,2021-08-03T16:10:08Z
164.02,6.364,92,23,262.28,44.98863154090941,-93.21517869830132,7241645187,262.4805529953917,0.20055299539171756,2021-08-03T16:10:09Z
170.69,6.112,92,24,262.3,44.9885715264827,-93.2151812966913,7241645187,262.4793548387097,0.17935483870968483,2021-08-03T16:10:10Z
177.21,6.177,92,25,262.34,44.98851293697953,-93.21518565528096,7241645187,262.4786175115207,0.1386175115207493,2021-08-03T16:10:11Z
183.63,6.121,92,26,262.34,44.98845552094281,-93.21519420482218,7241645187,262.47806451612905,0.13806451612907722,2021-08-03T16:10:12Z
190.4,6.196,92,27,262.4,44.988394835963845,-93.21520233526826,7241645187,262.4784792626728,0.07847926267282901,2021-08-03T16:10:13Z
197.08,6.093,91,28,262.44,44.9883349891752,-93.21521021425724,7241645187,262.4804608294931,0.04046082949309948,2021-08-03T16:10:14Z
203.68,6.018,91,29,262.45,44.988275645300746,-93.21521398611368,7241645187,262.48299539170506,0.0329953917050716,2021-08-03T16:10:15Z
210.1,5.878,91,30,262.47,44.988217893987894,-93.21521557867528,7241645187,262.48668202764975,0.01668202764972193,2021-08-03T16:10:16Z
216.65,5.916,91,31,262.48,44.9881589692086,-93.21521440520884,7241645187,262.49198156682024,0.011981566820224998,2021-08-03T16:10:17Z
222.33,5.132,91,32,262.53,44.98810792341828,-93.2152180094272,7241645187,262.49930875576035,-0.030691244239619664,2021-08-03T16:10:18Z
226.72,3.816,93,33,262.56,44.988069450482726,-93.21523041464388,7241645187,262.50834101382486,-0.05165898617514131,2021-08-03T16:10:19Z
230.06,2.613,94,34,262.6,44.98804765753448,-93.21525983512402,7241645187,262.5185714285714,-0.08142857142860294,2021-08-03T16:10:20Z
234.09,3.182,95,35,262.63,44.98803927563131,-93.21530962362884,7241645187,262.5294930875576,-0.10050691244236987,2021-08-03T16:10:21Z
239.48,4.441,94,36,262.65,44.9880344979465,-93.21537776850164,7241645187,262.5410599078341,-0.10894009216588074,2021-08-03T16:10:22Z
245.58,5.384,94,37,262.7,44.98803189955652,-93.21545504964888,7241645187,262.55285714285714,-0.14714285714285325,2021-08-03T16:10:23Z
252.73,6.336,93,38,262.73,44.98803005553782,-93.21554565802217,7241645187,262.563732718894,-0.16626728110600197,2021-08-03T16:10:24Z
259.99,6.802,92,39,262.74,44.988026954233646,-93.21563760749996,7241645187,262.57294930875577,-0.167050691244242,2021-08-03T16:10:25Z
267.9,6.97,92,40,262.73,44.98803022317588,-93.21573802269997,7241645187,262.5801843317972,-0.14981566820279113,2021-08-03T16:10:26Z
275.52,7.063,92,41,262.69,44.988030726090074,-93.21583474986257,7241645187,262.5853456221198,-0.10465437788019472,2021-08-03T16:10:27Z
283.06,7.082,92,42,262.69,44.98803064227104,-93.21593030355872,7241645187,262.58866359447006,-0.10133640552993484,2021-08-03T16:10:28Z
290.67,6.989,92,43,262.7,44.9880310613662,-93.2160267792642,7241645187,262.5899539170507,-0.11004608294928175,2021-08-03T16:10:29Z
298.32,6.989,91,44,262.69,44.988030726090074,-93.21612384170294,7241645187,262.58866359447006,-0.10133640552993484,2021-08-03T16:10:30Z
305.69,6.793,91,45,262.65,44.988030306994915,-93.2162172999233,7241645187,262.5853917050691,-0.0646082949308493,2021-08-03T16:10:31Z
313.1,6.923,91,46,262.57,44.98802812770009,-93.21631117723882,7241645187,262.5810138248848,0.01101382488479885,2021-08-03T16:10:32Z
320.61,7.129,91,47,262.53,44.98802703805268,-93.21640647947788,7241645187,262.57603686635946,0.04603686635948634,2021-08-03T16:10:33Z
328.08,7.119,91,48,262.55,44.9880257807672,-93.21650111116467,7241645187,262.5704147465438,0.020414746543792717,2021-08-03T16:10:34Z
335.22,6.793,91,49,262.61,44.98802460730076,-93.21659171953796,7241645187,262.56387096774193,-0.046129032258079405,2021-08-03T16:10:35Z
342.44,6.933,91,50,262.64,44.98802318237722,-93.2166832499206,7241645187,262.5547004608295,-0.08529953917047806,2021-08-03T16:10:36Z
349.77,6.951,91,51,262.64,44.988021505996585,-93.21677612140776,7241645187,262.5426267281106,-0.09737327188940981,2021-08-03T16:10:37Z
356.69,6.587,91,52,262.63,44.98802050016821,-93.21686387993395,7241645187,262.5269585253456,-0.10304147465438973,2021-08-03T16:10:38Z
363.57,6.308,91,53,262.6,44.98801873996854,-93.21695113554595,7241645187,262.50764976958527,-0.09235023041475188,2021-08-03T16:10:39Z
370.4,6.354,91,54,262.6,44.98801899142563,-93.21703772060572,7241645187,262.48497695852535,-0.11502304147467157,2021-08-03T16:10:40Z
377.16,6.429,91,55,262.59,44.988019494339824,-93.21712346747518,7241645187,262.4583870967742,-0.13161290322580044,2021-08-03T16:10:41Z
383.91,6.494,90,56,262.47,44.98802041634917,-93.21720904670656,7241645187,262.42820276497696,-0.041797235023068424,2021-08-03T16:10:42Z
390.68,6.466,90,57,262.42,44.98802083544433,-93.21729487739503,7241645187,262.39552995391705,-0.024470046082967656,2021-08-03T16:10:43Z
397.34,6.466,90,58,262.41,44.988019997254014,-93.217379366979,7241645187,262.3597235023041,-0.050276497695904254,2021-08-03T16:10:44Z
404.11,6.578,90,59,262.39,44.98801773414016,-93.21746511384843,7241645187,262.32188940092163,-0.06811059907835215,2021-08-03T16:10:45Z
410.95,6.681,90,60,262.39,44.98801597394049,-93.21755186654627,7241645187,262.2826267281106,-0.10737327188940071,2021-08-03T16:10:46Z
417.8,6.681,90,61,262.35,44.98801488429308,-93.2176386192441,7241645187,262.24290322580646,-0.10709677419356467,2021-08-03T16:10:47Z
424.51,6.531,90,62,262.21,44.98801304027438,-93.21772369556128,7241645187,262.203133640553,-0.006866359446974002,2021-08-03T16:10:48Z
431.35,6.494,90,63,262.23,44.98800901696086,-93.21781028062104,7241645187,262.16308755760366,-0.06691244239635807,2021-08-03T16:10:49Z
438.23,6.597,90,64,262.4,44.98800767585635,-93.21789753623308,7241645187,262.1217511520737,-0.2782488479262497,2021-08-03T16:10:50Z
445.11,6.718,90,65,262.48,44.9880070053041,-93.21798479184508,7241645187,262.0784331797235,-0.40156682027651414,2021-08-03T16:10:51Z
452.17,6.849,90,66,262.44,44.98800474219024,-93.21807422675192,7241645187,262.03391705069123,-0.4060829493087681,2021-08-03T16:10:52Z
459.09,6.737,90,67,262.39,44.98800323344767,-93.2181619014591,7241645187,261.9879723502304,-0.40202764976959315,2021-08-03T16:10:53Z
465.93,6.662,90,68,262.01,44.98800264671445,-93.218248737975955,7241645187,261.93866359447003,-0.07133640552996212,2021-08-03T16:10:54Z
472.46,6.354,89,69,261.83,44.98800222761929,-93.21833146736026,7241645187,261.88658986175113,0.05658986175114933,2021-08-03T16:10:55Z
479.76,6.503,89,70,261.66,44.98800088651478,-93.2184240873903,7241645187,261.8319815668203,0.17198156682025,2021-08-03T16:10:56Z
486.59,6.401,89,71,261.78,44.98799912631512,-93.21851067245008,7241645187,261.7742857142857,-0.005714285714248035,2021-08-03T16:10:57Z
493.64,6.746,89,72,261.84,44.98799786902964,-93.21859993971884,7241645187,261.713732718894,-0.1262672811059815,2021-08-03T16:10:58Z
