timestamp,position_lat,position_long,distance,altitude,speed,cadence,fractional_cadence,key
2018-05-17T01:21:56Z,45.18456296995282,-93.13783921301365,136.59,286.4,3.107,82,0,2018-05-17 01:21:11
2018-05-17T01:21:57Z,45.184537237510085,-93.13783753663301,139.46,286.6,3.098,82,0,2018-05-17 01:21:11
2018-05-17T01:21:58Z,45.18451292999089,-93.13783896155655,142.15,286.4,3.088,82,0,2018-05-17 01:21:11
2018-05-17T01:21:59Z,45.184486946091056,-93.13784114085138,145.01,286.6,3.079,82,0,2018-05-17 01:21:11
2018-05-17T01:22:00Z,45.18445920199156,-93.13784105703235,148.09,287,3.051,82,0,2018-05-17 01:21:11
2018-05-17T01:22:01Z,45.18443388864398,-93.1378398835659,150.9,286.79999999999995,3.051,82,0,2018-05-17 01:21:11
2018-05-17T01:22:02Z,45.18440689891577,-93.13783795572817,153.9,286.79999999999995,3.051,82,0,2018-05-17 01:21:11
2018-05-17T01:22:03Z,45.18438057973981,-93.1378382910043,156.82,286.79999999999995,3.042,82,0,2018-05-17 01:21:11
2018-05-17T01:22:04Z,45.18435325473547,-93.1378398835659,159.86,286.79999999999995,3.042,82,0,2018-05-17 01:21:11
2018-05-17T01:22:05Z,45.18432509154081,-93.13783896155655,162.97,286.79999999999995,3.032,82,0,2018-05-17 01:21:11
2018-05-17T01:22:06Z,45.18429860472679,-93.13783711753786,165.92,286.6,3.023,83,0,2018-05-17 01:21:11
2018-05-17T01:22:07Z,45.18426884897053,-93.13783627934754,169.21,286.6,3.023,83,0.5,2018-05-17 01:21:11
2018-05-17T01:22:08Z,45.18424152396619,-93.13783619552851,172.23,286.6,3.023,83,0.5,2018-05-17 01:21:11
2018-05-17T01:22:09Z,45.184214785695076,-93.13783661462367,175.19,286.6,3.023,83,0.5,2018-05-17 01:21:11
2018-05-17T01:22:10Z,45.18418670631945,-93.13783820718527,178.31,286.4,3.023,84,0,2018-05-17 01:21:11
2018-05-17T01:22:11Z,45.1841598842293,-93.13783996738493,181.29,286.4,3.023,83,0,2018-05-17 01:21:11
2018-05-17T01:22:12Z,45.18413322977722,-93.1378414761275,184.25,286.4,3.023,83,0,2018-05-17 01:21:11
2018-05-17T01:22:13Z,45.1841046474874,-93.13784155994654,187.42,286.4,3.023,82,0,2018-05-17 01:21:11
2018-05-17T01:22:14Z,45.18407782539725,-93.13784315250814,190.4,286,3.023,81,0,2018-05-17 01:21:11
2018-05-17T01:22:15Z,45.18404832109809,-93.13784466125071,193.66,285.79999999999995,3.014,81,0,2018-05-17 01:21:11
2018-05-17T01:22:16Z,45.1840184815228,-93.13784457743168,196.95,285.6,3.023,82,0,2018-05-17 01:21:11
2018-05-17T01:22:17Z,45.18399124033749,-93.13784373924136,199.98,285.20000000000005,3.023,82,0,2018-05-17 01:21:11
2018-05-17T01:22:18Z,45.18396399915218,-93.13784407451749,202.98,285.20000000000005,3.023,82,0,2018-05-17 01:21:11
2018-05-17T01:22:19Z,45.18393759615719,-93.13784105703235,205.92,285,3.014,82,0,2018-05-17 01:21:11
2018-05-17T01:22:20Z,45.18391069024801,-93.13783862628043,208.92,284.79999999999995,3.014,82,0,2018-05-17 01:21:11
2018-05-17T01:22:21Z,45.18388227559626,-93.13783678226173,212.08,284.6,3.014,81,0,2018-05-17 01:21:11
2018-05-17T01:22:22Z,45.183856543153524,-93.13783376477659,214.92,284.6,3.014,81,0,2018-05-17 01:21:11
2018-05-17T01:22:23Z,45.18383039161563,-93.13782965764403,217.85,284.6,3.014,81,0,2018-05-17 01:21:11
2018-05-17T01:22:24Z,45.183803737163544,-93.13783007673919,220.79,284.6,3.014,82,0,2018-05-17 01:21:11
2018-05-17T01:22:25Z,45.183778842911124,-93.13783284276724,223.54,285,3.014,82,0,2018-05-17 01:21:11
2018-05-17T01:22:26Z,45.18375067971647,-93.13783435150981,226.65,284.79999999999995,3.004,82,0,2018-05-17 01:21:11
2018-05-17T01:22:27Z,45.1837195828557,-93.13783753663301,230.1,284.79999999999995,3.004,81,0,2018-05-17 01:21:11
2018-05-17T01:22:28Z,45.18369317986071,-93.13784114085138,233.04,284.20000000000005,3.004,81,0,2018-05-17 01:21:11
2018-05-17T01:22:29Z,45.18366736359894,-93.13784474506974,235.88,284,3.004,80,0,2018-05-17 01:21:11
2018-05-17T01:22:30Z,45.18363987095654,-93.13784566707909,238.91,283.79999999999995,2.995,80,0,2018-05-17 01:21:11
2018-05-17T01:22:31Z,45.183613300323486,-93.13784709200263,241.87,283.4,2.995,80,0,2018-05-17 01:21:11
2018-05-17T01:22:32Z,45.183583963662386,-93.13784935511649,245.1,283,2.995,80,0,2018-05-17 01:21:11
2018-05-17T01:22:33Z,45.18355236388743,-93.13785312697291,248.62,282.79999999999995,2.986,80,0,2018-05-17 01:21:11
2018-05-17T01:22:34Z,45.18352353014052,-93.13785807229578,251.81,282.79999999999995,2.995,81,0,2018-05-17 01:21:11
2018-05-17T01:22:35Z,45.18349436111748,-93.13786125741899,255.03,282.4,2.995,81,0,2018-05-17 01:21:11
2018-05-17T01:22:36Z,45.183464689180255,-93.13786502927542,258.29,282.4,2.995,81,0,2018-05-17 01:21:11
2018-05-17T01:22:37Z,45.1834365259856,-93.13786796294153,261.41,282.20000000000005,2.995,81,0,2018-05-17 01:21:11
2018-05-17T01:22:38Z,45.18340911716223,-93.13787139952183,264.44,282.20000000000005,3.004,81,0,2018-05-17 01:21:11
2018-05-17T01:22:39Z,45.18338321708143,-93.13787441700697,267.3,282.20000000000005,3.004,81,0,2018-05-17 01:21:11
2018-05-17T01:22:40Z,45.183355221524835,-93.13787676393986,270.41,282.20000000000005,3.004,81,0,2018-05-17 01:21:11
2018-05-17T01:22:41Z,45.18332622013986,-93.13787844032049,273.62,282,2.995,81,0,2018-05-17 01:21:11
2018-05-17T01:22:42Z,45.18329889513552,-93.13787994906306,276.65,282.20000000000005,3.004,81,0,2018-05-17 01:21:11
2018-05-17T01:22:43Z,45.18327333033085,-93.13788229599595,279.49,282.20000000000005,3.004,80,0,2018-05-17 01:21:11
2018-05-17T01:22:44Z,45.18324617296457,-93.13788548111916,282.48,282.4,3.004,80,0,2018-05-17 01:21:11
2018-05-17T01:22:45Z,45.18321968615055,-93.13789017498493,285.44,282.4,3.004,81,0,2018-05-17 01:21:11
2018-05-17T01:22:46Z,45.18319194205105,-93.13789461739361,288.55,282.20000000000005,3.004,81,0,2018-05-17 01:21:11
2018-05-17T01:22:47Z,45.18316143192351,-93.13789763487875,291.93,282.6,2.995,81,0,2018-05-17 01:21:11
2018-05-17T01:22:48Z,45.18313217908144,-93.13789797015488,295.18,282.79999999999995,2.995,81,0,2018-05-17 01:21:11
2018-05-17T01:22:49Z,45.18310275860131,-93.13789872452617,298.44,282.79999999999995,3.004,82,0,2018-05-17 01:21:11
2018-05-17T01:22:50Z,45.18307291902602,-93.13789964653552,301.76,282.79999999999995,3.014,82,0,2018-05-17 01:21:11
2018-05-17T01:22:51Z,45.1830480247736,-93.1379004009068,304.52,282.79999999999995,3.014,82,0,2018-05-17 01:21:11
2018-05-17T01:22:52Z,45.18302086740732,-93.13790392130613,307.55,282.6,3.014,82,0,2018-05-17 01:21:11
2018-05-17T01:22:53Z,45.18299161456525,-93.13790241256356,310.8,282.79999999999995,3.014,81,0,2018-05-17 01:21:11
2018-05-17T01:22:54Z,45.18296353518963,-93.13789746724069,313.95,282.79999999999995,3.014,81,0,2018-05-17 01:21:11
2018-05-17T01:22:55Z,45.18293277360499,-93.13789285719395,317.38,282.6,3.014,81,0,2018-05-17 01:21:11
2018-05-17T01:22:56Z,45.18290360458195,-93.13788581639528,320.67,282.79999999999995,3.014,81,0,2018-05-17 01:21:11
2018-05-17T01:22:57Z,45.18287795595825,-93.13788154162467,323.53,282.6,3.023,80,0,2018-05-17 01:21:11
2018-05-17T01:22:58Z,45.18285063095391,-93.13788070343435,326.55,282.4,3.023,80,0,2018-05-17 01:21:11
2018-05-17T01:22:59Z,45.182823138311505,-93.13787617720664,329.62,282.4,3.023,80,0,2018-05-17 01:21:11
2018-05-17T01:23:00Z,45.182794723659754,-93.13787181861699,332.8,282,3.023,80,0,2018-05-17 01:21:11
2018-05-17T01:23:01Z,45.182765470817685,-93.13786838203669,336.06,281.79999999999995,3.023,80,0,2018-05-17 01:21:11
2018-05-17T01:23:02Z,45.18273898400366,-93.13786511309445,339,281.6,3.023,80,0,2018-05-17 01:21:11
2018-05-17T01:23:03Z,45.182715179398656,-93.13786335289478,341.65,281.6,3.023,80,0,2018-05-17 01:21:11
2018-05-17T01:23:04Z,45.18268751911819,-93.13786553218961,344.64,281.6,3.023,80,0,2018-05-17 01:21:11
2018-05-17T01:23:05Z,45.18266002647579,-93.13786410726607,347.7,281.4,3.023,80,0,2018-05-17 01:21:11
2018-05-17T01:23:06Z,45.1826333720237,-93.13786536455154,350.64,281.4,3.023,80,0,2018-05-17 01:21:11
2018-05-17T01:23:07Z,45.18260445445776,-93.1378676276654,353.86,281,3.023,80,0,2018-05-17 01:21:11
2018-05-17T01:23:08Z,45.182576375082135,-93.1378697231412,356.98,281,3.023,80,0,2018-05-17 01:21:11
2018-05-17T01:23:09Z,45.182548966258764,-93.13786997459829,360.02,280.79999999999995,3.023,80,0,2018-05-17 01:21:11
2018-05-17T01:23:10Z,45.18251929432154,-93.13787123188376,363.33,280.6,3.023,80,0,2018-05-17 01:21:11
2018-05-17T01:23:11Z,45.18248928710818,-93.13787240535021,366.65,280.6,3.023,81,0,2018-05-17 01:21:11
2018-05-17T01:23:12Z,45.18245969898999,-93.13787148334086,369.94,280.4,3.023,80,0,2018-05-17 01:21:11
2018-05-17T01:23:13Z,45.18243036232889,-93.13787282444537,373.2,280.4,3.023,80,0,2018-05-17 01:21:11
2018-05-17T01:23:14Z,45.18240429461002,-93.13787508755922,376.1,280.20000000000005,3.023,80,0,2018-05-17 01:21:11
2018-05-17T01:23:15Z,45.18237822689116,-93.13787709921598,378.98,280.20000000000005,3.032,81,0,2018-05-17 01:21:11
2018-05-17T01:23:16Z,45.18234897404909,-93.13787299208343,382.23,280.20000000000005,3.023,81,0,2018-05-17 01:21:11
2018-05-17T01:23:17Z,45.18232106231153,-93.13787123188376,385.34,280,3.023,81,0,2018-05-17 01:21:11
2018-05-17T01:23:18Z,45.18229256384075,-93.1378708127886,388.49,279.79999999999995,3.023,81,0,2018-05-17 01:21:11
2018-05-17T01:23:19Z,45.18226431682706,-93.13786989077926,391.63,279.79999999999995,3.023,82,0,2018-05-17 01:21:11
2018-05-17T01:23:20Z,45.18223648890853,-93.13787165097892,394.73,279.6,3.032,82,0,2018-05-17 01:21:11
2018-05-17T01:23:21Z,45.18220866099,-93.13787508755922,397.79,279.6,3.032,81,0,2018-05-17 01:21:11
2018-05-17T01:23:22Z,45.18217974342406,-93.13787600956857,400.99,279.4,3.032,81,0,2018-05-17 01:21:11
2018-05-17T01:23:23Z,45.18215300515294,-93.13787651248276,403.96,279.20000000000005,3.032,81,0,2018-05-17 01:21:11
2018-05-17T01:23:24Z,45.182127859443426,-93.1378882471472,406.76,280.20000000000005,3.032,81,0,2018-05-17 01:21:11
2018-05-17T01:23:25Z,45.18210405483842,-93.13790115527809,409.42,281.4,3.032,81,0,2018-05-17 01:21:11
2018-05-17T01:23:26Z,45.18207974731922,-93.13790123909712,412.05,281.6,3.032,81,0,2018-05-17 01:21:11
2018-05-17T01:23:27Z,45.18205686472356,-93.13788833096623,414.67,281.79999999999995,3.032,81,0,2018-05-17 01:21:11
2018-05-17T01:23:28Z,45.182044291868806,-93.13785715028644,417.44,282,3.023,81,0,2018-05-17 01:21:11
2018-05-17T01:23:29Z,45.182038424536586,-93.13781507313251,420.81,282,3.023,82,0,2018-05-17 01:21:11
2018-05-17T01:23:30Z,45.182035490870476,-93.13777400180697,424.04,281.79999999999995,3.023,82,0,2018-05-17 01:21:11
2018-05-17T01:23:31Z,45.1820326410234,-93.13773410394788,427.19,281.6,3.023,83,0,2018-05-17 01:21:11
2018-05-17T01:23:32Z,45.18203163519502,-93.13769286498427,430.43,281.6,3.023,82,0,2018-05-17 01:21:11
2018-05-17T01:23:33Z,45.18202786333859,-93.13765254803002,433.62,281.79999999999995,3.023,82,0,2018-05-17 01:21:11
2018-05-17T01:23:34Z,45.18202459439635,-93.1376139074564,436.68,281.6,3.023,82,0,2018-05-17 01:21:11
2018-05-17T01:23:35Z,45.18202333711088,-93.13757141120732,440,281.79999999999995,3.032,81,0,2018-05-17 01:21:11
2018-05-17T01:23:36Z,45.18202249892056,-93.13752975314856,443.27,281.6,3.032,81,0,2018-05-17 01:21:11
2018-05-17T01:23:37Z,45.18202140927315,-93.13749186694622,446.25,281.6,3.032,81,0,2018-05-17 01:21:11
2018-05-17T01:23:38Z,45.182021744549274,-93.13745205290616,449.38,281.4,3.032,80,0,2018-05-17 01:21:11
2018-05-17T01:23:39Z,45.182021744549274,-93.1374151725322,452.27,281,3.042,80,0,2018-05-17 01:21:11
2018-05-17T01:23:40Z,45.18202342092991,-93.13737745396793,455.23,280.79999999999995,3.032,82,0,2018-05-17 01:21:11
2018-05-17T01:23:41Z,45.18202191218734,-93.13733948394656,458.21,280.79999999999995,3.032,82,0,2018-05-17 01:21:11
2018-05-17T01:23:42Z,45.18202283419669,-93.13730402849615,460.98,280.6,3.032,82,0,2018-05-17 01:21:11
2018-05-17T01:23:43Z,45.18202484585345,-93.13726622611284,463.96,280.6,3.032,81,0,2018-05-17 01:21:11
2018-05-17T01:23:44Z,45.18202828243375,-93.13722247257829,467.42,280.79999999999995,3.032,81,0,2018-05-17 01:21:11
2018-05-17T01:23:45Z,45.18203289248049,-93.13718006014824,470.8,280.6,3.032,81,0,2018-05-17 01:21:11
2018-05-17T01:23:46Z,45.18203708343208,-93.13713940791786,474.03,280.6,3.042,81,0,2018-05-17 01:21:11
2018-05-17T01:23:47Z,45.182038843631744,-93.13709548674524,477.48,280.79999999999995,3.042,81,0,2018-05-17 01:21:11
2018-05-17T01:23:48Z,45.18204010091722,-93.13705399632454,480.74,280.6,3.042,81,0,2018-05-17 01:21:11
2018-05-17T01:23:49Z,45.1820411067456,-93.1370108295232,484.13,280.79999999999995,3.051,81,0,2018-05-17 01:21:11
2018-05-17T01:23:50Z,45.18204160965979,-93.13696766272187,487.53,281,3.051,81,0,2018-05-17 01:21:11
2018-05-17T01:23:51Z,45.182042364031076,-93.13693086616695,490.42,281,3.051,81,0,2018-05-17 01:21:11
2018-05-17T01:23:52Z,45.18204152584076,-93.13688836991787,493.76,281.20000000000005,3.06,81,0,2018-05-17 01:21:11
2018-05-17T01:23:53Z,45.1820429507643,-93.13684780150652,496.95,281.20000000000005,3.06,81,0,2018-05-17 01:21:11
2018-05-17T01:23:54Z,45.18204345367849,-93.13680681400001,500.17,281.6,3.06,81,0,2018-05-17 01:21:11
2018-05-17T01:23:55Z,45.18204605206847,-93.13676280900836,503.64,282,3.06,82,0,2018-05-17 01:21:11
2018-05-17T01:23:56Z,45.18204756081104,-93.13672282733023,506.79,281.79999999999995,3.06,82,0,2018-05-17 01:21:11
2018-05-17T01:23:57Z,45.18204848282039,-93.13668368384242,509.87,281.79999999999995,3.07,82,0,2018-05-17 01:21:11
2018-05-17T01:23:58Z,45.18204948864877,-93.13664202578366,513.14,281.79999999999995,3.07,82,0,2018-05-17 01:21:11
2018-05-17T01:23:59Z,45.18204990774393,-93.13660422340035,516.11,281.20000000000005,3.07,82,0,2018-05-17 01:21:11
2018-05-17T01:24:00Z,45.182047728449106,-93.13656340353191,519.32,280.79999999999995,3.07,81,0,2018-05-17 01:21:11
2018-05-17T01:24:01Z,45.18204588443041,-93.1365189794451,522.82,281,3.07,81,0,2018-05-17 01:21:11
2018-05-17T01:24:02Z,45.18204412423074,-93.13647447153926,526.32,280.79999999999995,3.07,81,0,2018-05-17 01:21:11
2018-05-17T01:24:03Z,45.182041861116886,-93.13642669469118,530.07,280.6,3.079,81,0,2018-05-17 01:21:11
2018-05-17T01:24:04Z,45.18204052001238,-93.1363823544234,533.56,280.6,3.079,81,0,2018-05-17 01:21:11
2018-05-17T01:24:05Z,45.18203800544143,-93.13633876852691,536.99,280.6,3.088,81,0,2018-05-17 01:21:11
2018-05-17T01:24:06Z,45.182037921622396,-93.13629258424044,540.62,280.6,3.088,81,0,2018-05-17 01:21:11
2018-05-17T01:24:07Z,45.1820392627269,-93.13625000417233,543.97,280.4,3.107,81,0,2018-05-17 01:21:11
2018-05-17T01:24:08Z,45.182038424536586,-93.13620767556131,547.3,280.4,3.107,81,0,2018-05-17 01:21:11
2018-05-17T01:24:09Z,45.18203808926046,-93.13616098836064,550.97,280.4,3.107,81,0,2018-05-17 01:21:11
2018-05-17T01:24:10Z,45.18203875981271,-93.13611497171223,554.58,280.4,3.107,81,0,2018-05-17 01:21:11
2018-05-17T01:24:11Z,45.1820392627269,-93.13607146963477,558.01,280.4,3.126,81,0,2018-05-17 01:21:11
2018-05-17T01:24:12Z,45.18203917890787,-93.13602427951992,561.71,280.79999999999995,3.126,81,0,2018-05-17 01:21:11
2018-05-17T01:24:13Z,45.18203716725111,-93.13597801141441,565.36,281,3.135,80,0,2018-05-17 01:21:11
2018-05-17T01:24:14Z,45.18203733488917,-93.13593752682209,568.54,281.20000000000005,3.135,80,0,2018-05-17 01:21:11
2018-05-17T01:24:15Z,45.18203825689852,-93.13589335419238,572.01,281.6,3.144,80,0,2018-05-17 01:21:11
2018-05-17T01:24:16Z,45.182038843631744,-93.13585010357201,575.41,281.6,3.144,80,0,2018-05-17 01:21:11
2018-05-17T01:24:17Z,45.182038843631744,-93.13581079244614,578.5,281.79999999999995,3.154,80,0,2018-05-17 01:21:11
2018-05-17T01:24:18Z,45.18204152584076,-93.135768128559,581.86,282,3.154,80,0,2018-05-17 01:21:11
2018-05-17T01:24:19Z,45.18204596824944,-93.13572730869055,585.1,282,3.154,80,0,2018-05-17 01:21:11
2018-05-17T01:24:20Z,45.18204848282039,-93.13568606972694,588.36,282.20000000000005,3.163,80,0,2018-05-17 01:21:11
2018-05-17T01:24:21Z,45.182050578296185,-93.13564332202077,591.73,282.4,3.163,80,0,2018-05-17 01:21:11
2018-05-17T01:24:22Z,45.18205409869552,-93.13560233451426,594.97,282.6,3.163,80,0,2018-05-17 01:21:11
2018-05-17T01:24:23Z,45.18205870874226,-93.1355638615787,598.04,282.6,3.163,80,0,2018-05-17 01:21:11
2018-05-17T01:24:24Z,45.18206248059869,-93.135522371158,601.32,282.79999999999995,3.172,80,0,2018-05-17 01:21:11
2018-05-17T01:24:25Z,45.182066168636084,-93.13548490405083,604.3,282.79999999999995,3.172,80,0,2018-05-17 01:21:11
2018-05-17T01:24:26Z,45.182073125615716,-93.13545137643814,607.04,282.79999999999995,3.172,80,0,2018-05-17 01:21:11
2018-05-17T01:24:27Z,45.18208276480436,-93.13542203977704,609.58,283,3.163,81,0,2018-05-17 01:21:11
2018-05-17T01:24:28Z,45.18209156580269,-93.13539404422045,611.98,283.20000000000005,3.163,80,0,2018-05-17 01:21:11
2018-05-17T01:24:29Z,45.18209961242974,-93.13535942696035,614.84,283.4,3.154,81,0,2018-05-17 01:21:11
2018-05-17T01:24:30Z,45.18210564740002,-93.13532170839608,617.87,283.79999999999995,3.135,81,0,2018-05-17 01:21:11
2018-05-17T01:24:31Z,45.18211201764643,-93.13528415746987,620.91,284,3.126,81,0,2018-05-17 01:21:11
2018-05-17T01:24:32Z,45.1821169629693,-93.1352443434298,624.07,284.20000000000005,3.126,82,0,2018-05-17 01:21:11
2018-05-17T01:24:33Z,45.182118806988,-93.13520503230393,627.14,284.20000000000005,3.116,82,0,2018-05-17 01:21:11
2018-05-17T01:24:34Z,45.182122495025396,-93.1351668946445,630.15,284.4,3.107,82,0,2018-05-17 01:21:11
2018-05-17T01:24:35Z,45.18212517723441,-93.13512716442347,633.29,284.20000000000005,3.107,83,0,2018-05-17 01:21:11
2018-05-17T01:24:36Z,45.182126350700855,-93.13508860766888,636.31,283.79999999999995,3.107,82,0,2018-05-17 01:21:11
2018-05-17T01:24:37Z,45.18212559632957,-93.13504753634334,639.52,283.79999999999995,3.107,82,0,2018-05-17 01:21:11
2018-05-17T01:24:38Z,45.18212693743408,-93.1350099015981,642.45,283.6,3.107,82,0,2018-05-17 01:21:11
2018-05-17T01:24:39Z,45.182132134214044,-93.13497327268124,645.39,283.6,3.107,82,0,2018-05-17 01:21:11
2018-05-17T01:24:40Z,45.182136576622725,-93.13493672758341,648.3,283.6,3.107,82,0,2018-05-17 01:21:11
2018-05-17T01:24:41Z,45.1821412704885,-93.13489909283817,651.3,283.4,3.098,82,0,2018-05-17 01:21:11
2018-05-17T01:24:42Z,45.18214797601104,-93.13486196100712,654.29,283.4,3.098,82,0,2018-05-17 01:21:11
2018-05-17T01:24:43Z,45.182148311287165,-93.13481711782515,657.75,283.20000000000005,3.088,81,0,2018-05-17 01:21:11
2018-05-17T01:24:44Z,45.1821499876678,-93.13477478921413,661.05,282.79999999999995,3.079,81,0,2018-05-17 01:21:11
2018-05-17T01:24:45Z,45.18215090967715,-93.13473447225988,664.2,282.79999999999995,3.079,83,0,2018-05-17 01:21:11
2018-05-17T01:24:46Z,45.18215350806713,-93.13469826243818,667.04,283,3.079,83,0,2018-05-17 01:21:11
2018-05-17T01:24:47Z,45.18215769901872,-93.13466222025454,669.9,283,3.079,83,0,2018-05-17 01:21:11
2018-05-17T01:24:48Z,45.182163482531905,-93.1346248369664,672.91,283,3.079,83,0,2018-05-17 01:21:11
2018-05-17T01:24:49Z,45.18216767348349,-93.13458829186857,675.81,283.20000000000005,3.07,83,0,2018-05-17 01:21:11
2018-05-17T01:24:50Z,45.182166919112206,-93.13454956747591,678.83,283,3.07,82,0,2018-05-17 01:21:11
2018-05-17T01:24:51Z,45.18216608092189,-93.13451151363552,681.76,282.79999999999995,3.07,82,0,2018-05-17 01:21:11
2018-05-17T01:24:52Z,45.182168344035745,-93.13447387889028,684.69,283,3.06,83,0,2018-05-17 01:21:11
2018-05-17T01:24:53Z,45.182169852778316,-93.13443372957408,687.8,283.20000000000005,3.06,83,0,2018-05-17 01:21:11
2018-05-17T01:24:54Z,45.182165410369635,-93.13439223915339,690.94,283.20000000000005,3.051,83,0,2018-05-17 01:21:11
