start,end,miles,time,trimp,trimphour
2017/12/31 18:00:00,2018/04/07 19:00:00,266.92553469123993,2406.609033333333,4272.881571661553,153.15572031840279
2018/04/08 19:00:00,2018/06/22 19:00:00,266.8493668211814,3022.9596666666666,4102.1134832393345,105.01650287351283
2018/06/23 19:00:00,2018/09/28 19:00:00,509.34432748828715,4529.0394,6780.94766042819,181.99770434588137
2018/09/29 19:00:00,2018/11/02 19:00:00,166.62257819975892,1449.1248333333333,2392.5523220082437,68.27385080039937
2018/11/03 19:00:00,2019/02/28 18:00:00,451.3175587507923,4635.87605,7653.009456748227,245.70967503419547
2019/03/01 18:00:00,2019/04/06 19:00:00,223.3150297637541,1972.818,4433.569655544737,112.4217555422088
2019/04/07 19:00:00,2019/06/01 19:00:00,217.53052182882425,1851.1114666666667,3052.6571798619466,98.54306854630953
2019/06/02 19:00:00,2019/08/16 19:00:00,417.41942659723867,3653.993233333333,5900.609584189408,228.94088877014218
2019/08/17 19:00:00,2019/11/27 18:00:00,488.35717747648107,5114.8726166666665,7424.044375598938,249.98316911645705
2019/11/28 18:00:00,2020/03/14 19:00:00,527.3417736463396,4605.323766666666,7502.836372566981,183.89614530632744
2020/03/15 19:00:00,2020/05/15 19:00:00,321.6069258205227,2814.521,3563.532410376428,110.15608034426116
2020/05/16 19:00:00,2020/07/05 19:00:00,261.5988417612189,2256.0608833333335,3476.9204999753642,126.01869922891105
2020/07/06 19:00:00,2020/08/02 19:00:00,182.10007207923746,1475.0318333333332,2284.551675563929,76.09853682530411
