time,rr,time_sec,key,time_created
0.446,0.446,62.919,8828514774,2022_05_15_08_26_58
0.427,0.427,63.346,8828514774,2022_05_15_08_26_58
0.899,0.899,64.245,8828514774,2022_05_15_08_26_58
0.438,0.438,64.68299999999999,8828514774,2022_05_15_08_26_58
2.213,2.213,66.896,8828514774,2022_05_15_08_26_58
0.436,0.436,67.332,8828514774,2022_05_15_08_26_58
0.389,0.389,67.721,8828514774,2022_05_15_08_26_58
0.498,0.498,68.219,8828514774,2022_05_15_08_26_58
0.435,0.435,68.654,8828514774,2022_05_15_08_26_58
0.432,0.432,69.086,8828514774,2022_05_15_08_26_58
0.455,0.455,69.541,8828514774,2022_05_15_08_26_58
0.443,0.443,69.984,8828514774,2022_05_15_08_26_58
0.434,0.434,70.418,8828514774,2022_05_15_08_26_58
0.883,0.883,71.301,8828514774,2022_05_15_08_26_58
0.853,0.853,72.154,8828514774,2022_05_15_08_26_58
1.764,1.764,73.918,8828514774,2022_05_15_08_26_58
0.444,0.444,74.362,8828514774,2022_05_15_08_26_58
1.313,1.313,75.675,8828514774,2022_05_15_08_26_58
0.434,0.434,76.109,8828514774,2022_05_15_08_26_58
0.428,0.428,76.537,8828514774,2022_05_15_08_26_58
0.455,0.455,76.992,8828514774,2022_05_15_08_26_58
0.439,0.439,77.431,8828514774,2022_05_15_08_26_58
0.44,0.44,77.871,8828514774,2022_05_15_08_26_58
0.424,0.424,78.295,8828514774,2022_05_15_08_26_58
0.455,0.455,78.75,8828514774,2022_05_15_08_26_58
0.854,0.854,79.604,8828514774,2022_05_15_08_26_58
0.456,0.456,80.06,8828514774,2022_05_15_08_26_58
0.429,0.429,80.489,8828514774,2022_05_15_08_26_58
0.43,0.43,80.919,8828514774,2022_05_15_08_26_58
0.886,0.886,81.80499999999999,8828514774,2022_05_15_08_26_58
0.432,0.432,82.237,8828514774,2022_05_15_08_26_58
1.063,1.063,83.3,8828514774,2022_05_15_08_26_58
0.677,0.677,83.977,8828514774,2022_05_15_08_26_58
1.723,1.723,85.7,8828514774,2022_05_15_08_26_58
0.319,0.319,86.019,8828514774,2022_05_15_08_26_58
0.551,0.551,86.57,8828514774,2022_05_15_08_26_58
1.319,1.319,87.889,8828514774,2022_05_15_08_26_58
0.423,0.423,88.312,8828514774,2022_05_15_08_26_58
1.302,1.302,89.614,8828514774,2022_05_15_08_26_58
0.429,0.429,90.043,8828514774,2022_05_15_08_26_58
0.426,0.426,90.469,8828514774,2022_05_15_08_26_58
0.873,0.873,91.342,8828514774,2022_05_15_08_26_58
0.425,0.425,91.767,8828514774,2022_05_15_08_26_58
0.433,0.433,92.2,8828514774,2022_05_15_08_26_58
1.294,1.294,93.494,8828514774,2022_05_15_08_26_58
0.426,0.426,93.92,8828514774,2022_05_15_08_26_58
0.444,0.444,94.364,8828514774,2022_05_15_08_26_58
0.422,0.422,94.786,8828514774,2022_05_15_08_26_58
1.163,1.163,95.949,8828514774,2022_05_15_08_26_58
0.334,0.334,96.283,8828514774,2022_05_15_08_26_58
1.54,1.54,97.823,8828514774,2022_05_15_08_26_58
0.43,0.43,98.253,8828514774,2022_05_15_08_26_58
0.417,0.417,98.67,8828514774,2022_05_15_08_26_58
0.447,0.447,99.117,8828514774,2022_05_15_08_26_58
0.435,0.435,99.552,8828514774,2022_05_15_08_26_58
0.426,0.426,99.978,8828514774,2022_05_15_08_26_58
0.877,0.877,100.855,8828514774,2022_05_15_08_26_58
0.427,0.427,101.282,8828514774,2022_05_15_08_26_58
1.294,1.294,102.576,8828514774,2022_05_15_08_26_58
0.849,0.849,103.425,8828514774,2022_05_15_08_26_58
0.436,0.436,103.861,8828514774,2022_05_15_08_26_58
