time,rr,time_sec,key,time_created
0.783,0.783,0.783,6298533042,2021_02_19_13_48_35
0.719,0.719,1.502,6298533042,2021_02_19_13_48_35
0.735,0.735,2.237,6298533042,2021_02_19_13_48_35
0.71,0.71,2.947,6298533042,2021_02_19_13_48_35
0.686,0.686,3.633,6298533042,2021_02_19_13_48_35
0.673,0.673,4.306,6298533042,2021_02_19_13_48_35
0.65,0.65,4.956,6298533042,2021_02_19_13_48_35
0.61,0.61,5.566,6298533042,2021_02_19_13_48_35
0.637,0.637,6.203,6298533042,2021_02_19_13_48_35
0.627,0.627,6.83,6298533042,2021_02_19_13_48_35
0.603,0.603,7.433,6298533042,2021_02_19_13_48_35
0.59,0.59,8.023,6298533042,2021_02_19_13_48_35
0.584,0.584,8.607,6298533042,2021_02_19_13_48_35
0.576,0.576,9.183,6298533042,2021_02_19_13_48_35
0.577,0.577,9.76,6298533042,2021_02_19_13_48_35
1.124,1.124,10.884,6298533042,2021_02_19_13_48_35
0.568,0.568,11.452,6298533042,2021_02_19_13_48_35
1.107,1.107,12.559,6298533042,2021_02_19_13_48_35
0.554,0.554,13.113,6298533042,2021_02_19_13_48_35
1.089,1.089,14.202,6298533042,2021_02_19_13_48_35
0.553,0.553,14.755,6298533042,2021_02_19_13_48_35
0.53,0.53,15.285,6298533042,2021_02_19_13_48_35
0.541,0.541,15.826,6298533042,2021_02_19_13_48_35
0.535,0.535,16.361,6298533042,2021_02_19_13_48_35
0.548,0.548,16.909,6298533042,2021_02_19_13_48_35
0.537,0.537,17.446,6298533042,2021_02_19_13_48_35
0.531,0.531,17.977,6298533042,2021_02_19_13_48_35
0.541,0.541,18.518,6298533042,2021_02_19_13_48_35
0.521,0.521,19.039,6298533042,2021_02_19_13_48_35
0.534,0.534,19.573,6298533042,2021_02_19_13_48_35
0.537,0.537,20.11,6298533042,2021_02_19_13_48_35
0.527,0.527,20.637,6298533042,2021_02_19_13_48_35
0.529,0.529,21.166,6298533042,2021_02_19_13_48_35
0.509,0.509,21.675,6298533042,2021_02_19_13_48_35
1.575,1.575,23.25,6298533042,2021_02_19_13_48_35
0.515,0.515,23.765,6298533042,2021_02_19_13_48_35
0.525,0.525,24.29,6298533042,2021_02_19_13_48_35
0.53,0.53,24.82,6298533042,2021_02_19_13_48_35
0.514,0.514,25.334,6298533042,2021_02_19_13_48_35
0.525,0.525,25.859,6298533042,2021_02_19_13_48_35
0.513,0.513,26.372,6298533042,2021_02_19_13_48_35
0.518,0.518,26.89,6298533042,2021_02_19_13_48_35
0.508,0.508,27.398,6298533042,2021_02_19_13_48_35
0.52,0.52,27.918,6298533042,2021_02_19_13_48_35
0.508,0.508,28.426000000000002,6298533042,2021_02_19_13_48_35
0.521,0.521,28.947,6298533042,2021_02_19_13_48_35
0.499,0.499,29.446,6298533042,2021_02_19_13_48_35
0.512,0.512,29.958000000000002,6298533042,2021_02_19_13_48_35
0.501,0.501,30.459,6298533042,2021_02_19_13_48_35
1.007,1.007,31.466,6298533042,2021_02_19_13_48_35
0.489,0.489,31.955000000000002,6298533042,2021_02_19_13_48_35
0.509,0.509,32.464,6298533042,2021_02_19_13_48_35
0.49,0.49,32.954,6298533042,2021_02_19_13_48_35
0.506,0.506,33.46,6298533042,2021_02_19_13_48_35
0.48,0.48,33.94,6298533042,2021_02_19_13_48_35
0.499,0.499,34.439,6298533042,2021_02_19_13_48_35
0.486,0.486,34.925,6298533042,2021_02_19_13_48_35
0.98,0.98,35.905,6298533042,2021_02_19_13_48_35
0.489,0.489,36.394,6298533042,2021_02_19_13_48_35
0.479,0.479,36.873,6298533042,2021_02_19_13_48_35
0.479,0.479,37.352000000000004,6298533042,2021_02_19_13_48_35
0.49,0.49,37.842,6298533042,2021_02_19_13_48_35
0.479,0.479,38.321,6298533042,2021_02_19_13_48_35
0.49,0.49,38.811,6298533042,2021_02_19_13_48_35
0.468,0.468,39.279,6298533042,2021_02_19_13_48_35
0.483,0.483,39.762,6298533042,2021_02_19_13_48_35
0.48,0.48,40.242,6298533042,2021_02_19_13_48_35
0.466,0.466,40.708,6298533042,2021_02_19_13_48_35
0.479,0.479,41.187,6298533042,2021_02_19_13_48_35
0.467,0.467,41.654,6298533042,2021_02_19_13_48_35
0.466,0.466,42.12,6298533042,2021_02_19_13_48_35
0.488,0.488,42.608,6298533042,2021_02_19_13_48_35
0.468,0.468,43.076,6298533042,2021_02_19_13_48_35
0.471,0.471,43.547,6298533042,2021_02_19_13_48_35
0.472,0.472,44.019,6298533042,2021_02_19_13_48_35
0.464,0.464,44.483,6298533042,2021_02_19_13_48_35
0.477,0.477,44.96,6298533042,2021_02_19_13_48_35
0.466,0.466,45.426,6298533042,2021_02_19_13_48_35
0.461,0.461,45.887,6298533042,2021_02_19_13_48_35
0.473,0.473,46.36,6298533042,2021_02_19_13_48_35
0.468,0.468,46.828,6298533042,2021_02_19_13_48_35
0.457,0.457,47.285000000000004,6298533042,2021_02_19_13_48_35
0.933,0.933,48.218,6298533042,2021_02_19_13_48_35
0.459,0.459,48.677,6298533042,2021_02_19_13_48_35
0.925,0.925,49.602000000000004,6298533042,2021_02_19_13_48_35
0.454,0.454,50.056,6298533042,2021_02_19_13_48_35
0.459,0.459,50.515,6298533042,2021_02_19_13_48_35
0.466,0.466,50.981,6298533042,2021_02_19_13_48_35
0.451,0.451,51.432,6298533042,2021_02_19_13_48_35
0.464,0.464,51.896,6298533042,2021_02_19_13_48_35
0.455,0.455,52.351,6298533042,2021_02_19_13_48_35
0.453,0.453,52.804,6298533042,2021_02_19_13_48_35
0.455,0.455,53.259,6298533042,2021_02_19_13_48_35
0.46,0.46,53.719,6298533042,2021_02_19_13_48_35
0.451,0.451,54.17,6298533042,2021_02_19_13_48_35
0.452,0.452,54.622,6298533042,2021_02_19_13_48_35
0.46,0.46,55.082,6298533042,2021_02_19_13_48_35
0.451,0.451,55.533,6298533042,2021_02_19_13_48_35
0.448,0.448,55.981,6298533042,2021_02_19_13_48_35
0.462,0.462,56.443,6298533042,2021_02_19_13_48_35
0.447,0.447,56.89,6298533042,2021_02_19_13_48_35
0.906,0.906,57.796,6298533042,2021_02_19_13_48_35
0.447,0.447,58.243,6298533042,2021_02_19_13_48_35
0.447,0.447,58.69,6298533042,2021_02_19_13_48_35
0.464,0.464,59.154,6298533042,2021_02_19_13_48_35
0.445,0.445,59.599000000000004,6298533042,2021_02_19_13_48_35
0.44,0.44,60.039,6298533042,2021_02_19_13_48_35
0.466,0.466,60.505,6298533042,2021_02_19_13_48_35
0.441,0.441,60.946,6298533042,2021_02_19_13_48_35
0.443,0.443,61.389,6298533042,2021_02_19_13_48_35
0.464,0.464,61.853,6298533042,2021_02_19_13_48_35
0.441,0.441,62.294000000000004,6298533042,2021_02_19_13_48_35
0.438,0.438,62.732,6298533042,2021_02_19_13_48_35
0.462,0.462,63.194,6298533042,2021_02_19_13_48_35
0.444,0.444,63.638,6298533042,2021_02_19_13_48_35
0.443,0.443,64.081,6298533042,2021_02_19_13_48_35
0.458,0.458,64.539,6298533042,2021_02_19_13_48_35
0.451,0.451,64.99,6298533042,2021_02_19_13_48_35
0.439,0.439,65.429,6298533042,2021_02_19_13_48_35
0.895,0.895,66.324,6298533042,2021_02_19_13_48_35
0.44,0.44,66.764,6298533042,2021_02_19_13_48_35
0.448,0.448,67.212,6298533042,2021_02_19_13_48_35
0.445,0.445,67.657,6298533042,2021_02_19_13_48_35
0.442,0.442,68.099,6298533042,2021_02_19_13_48_35
0.898,0.898,68.997,6298533042,2021_02_19_13_48_35
0.446,0.446,69.443,6298533042,2021_02_19_13_48_35
0.443,0.443,69.886,6298533042,2021_02_19_13_48_35
0.449,0.449,70.33500000000001,6298533042,2021_02_19_13_48_35
0.442,0.442,70.777,6298533042,2021_02_19_13_48_35
0.895,0.895,71.672,6298533042,2021_02_19_13_48_35
0.447,0.447,72.119,6298533042,2021_02_19_13_48_35
0.899,0.899,73.018,6298533042,2021_02_19_13_48_35
0.439,0.439,73.45700000000001,6298533042,2021_02_19_13_48_35
0.455,0.455,73.912,6298533042,2021_02_19_13_48_35
0.451,0.451,74.363,6298533042,2021_02_19_13_48_35
1.348,1.348,75.711,6298533042,2021_02_19_13_48_35
0.444,0.444,76.155,6298533042,2021_02_19_13_48_35
0.454,0.454,76.609,6298533042,2021_02_19_13_48_35
0.908,0.908,77.517,6298533042,2021_02_19_13_48_35
0.449,0.449,77.96600000000001,6298533042,2021_02_19_13_48_35
0.46,0.46,78.426,6298533042,2021_02_19_13_48_35
0.449,0.449,78.875,6298533042,2021_02_19_13_48_35
1.346,1.346,80.221,6298533042,2021_02_19_13_48_35
0.891,0.891,81.112,6298533042,2021_02_19_13_48_35
0.465,0.465,81.577,6298533042,2021_02_19_13_48_35
0.44,0.44,82.017,6298533042,2021_02_19_13_48_35
0.437,0.437,82.45400000000001,6298533042,2021_02_19_13_48_35
0.462,0.462,82.916,6298533042,2021_02_19_13_48_35
0.427,0.427,83.343,6298533042,2021_02_19_13_48_35
1.342,1.342,84.685,6298533042,2021_02_19_13_48_35
0.438,0.438,85.123,6298533042,2021_02_19_13_48_35
0.449,0.449,85.572,6298533042,2021_02_19_13_48_35
0.45,0.45,86.022,6298533042,2021_02_19_13_48_35
0.436,0.436,86.458,6298533042,2021_02_19_13_48_35
0.443,0.443,86.901,6298533042,2021_02_19_13_48_35
0.45,0.45,87.351,6298533042,2021_02_19_13_48_35
0.437,0.437,87.788,6298533042,2021_02_19_13_48_35
0.44,0.44,88.22800000000001,6298533042,2021_02_19_13_48_35
0.448,0.448,88.676,6298533042,2021_02_19_13_48_35
0.442,0.442,89.118,6298533042,2021_02_19_13_48_35
0.441,0.441,89.559,6298533042,2021_02_19_13_48_35
0.436,0.436,89.995,6298533042,2021_02_19_13_48_35
0.453,0.453,90.44800000000001,6298533042,2021_02_19_13_48_35
0.435,0.435,90.883,6298533042,2021_02_19_13_48_35
0.434,0.434,91.31700000000001,6298533042,2021_02_19_13_48_35
0.451,0.451,91.768,6298533042,2021_02_19_13_48_35
0.441,0.441,92.209,6298533042,2021_02_19_13_48_35
0.436,0.436,92.645,6298533042,2021_02_19_13_48_35
0.446,0.446,93.09100000000001,6298533042,2021_02_19_13_48_35
0.448,0.448,93.539,6298533042,2021_02_19_13_48_35
0.434,0.434,93.973,6298533042,2021_02_19_13_48_35
0.438,0.438,94.411,6298533042,2021_02_19_13_48_35
0.438,0.438,94.849,6298533042,2021_02_19_13_48_35
0.449,0.449,95.298,6298533042,2021_02_19_13_48_35
0.867,0.867,96.165,6298533042,2021_02_19_13_48_35
0.454,0.454,96.619,6298533042,2021_02_19_13_48_35
0.439,0.439,97.058,6298533042,2021_02_19_13_48_35
0.436,0.436,97.494,6298533042,2021_02_19_13_48_35
