time,rr,time_sec,key,time_created
0.563,0.563,0.563,7326977060,2021_08_18_10_09_54
0.539,0.539,1.1019999999999999,7326977060,2021_08_18_10_09_54
0.559,0.559,1.661,7326977060,2021_08_18_10_09_54
0.555,0.555,2.216,7326977060,2021_08_18_10_09_54
0.542,0.542,2.758,7326977060,2021_08_18_10_09_54
0.558,0.558,3.3160000000000003,7326977060,2021_08_18_10_09_54
0.559,0.559,3.875,7326977060,2021_08_18_10_09_54
0.524,0.524,4.399,7326977060,2021_08_18_10_09_54
0.544,0.544,4.9430000000000005,7326977060,2021_08_18_10_09_54
0.549,0.549,5.492,7326977060,2021_08_18_10_09_54
0.533,0.533,6.025,7326977060,2021_08_18_10_09_54
0.547,0.547,6.572,7326977060,2021_08_18_10_09_54
0.517,0.517,7.089,7326977060,2021_08_18_10_09_54
0.547,0.547,7.636,7326977060,2021_08_18_10_09_54
0.536,0.536,8.172,7326977060,2021_08_18_10_09_54
0.529,0.529,8.701,7326977060,2021_08_18_10_09_54
0.531,0.531,9.232000000000001,7326977060,2021_08_18_10_09_54
0.525,0.525,9.757000000000001,7326977060,2021_08_18_10_09_54
0.537,0.537,10.294,7326977060,2021_08_18_10_09_54
0.513,0.513,10.807,7326977060,2021_08_18_10_09_54
0.531,0.531,11.338000000000001,7326977060,2021_08_18_10_09_54
1.039,1.039,12.377,7326977060,2021_08_18_10_09_54
0.506,0.506,12.883000000000001,7326977060,2021_08_18_10_09_54
0.524,0.524,13.407,7326977060,2021_08_18_10_09_54
0.498,0.498,13.905000000000001,7326977060,2021_08_18_10_09_54
0.528,0.528,14.433,7326977060,2021_08_18_10_09_54
0.501,0.501,14.934000000000001,7326977060,2021_08_18_10_09_54
0.517,0.517,15.451,7326977060,2021_08_18_10_09_54
1.52,1.52,16.971,7326977060,2021_08_18_10_09_54
0.509,0.509,17.48,7326977060,2021_08_18_10_09_54
0.492,0.492,17.972,7326977060,2021_08_18_10_09_54
0.514,0.514,18.486,7326977060,2021_08_18_10_09_54
0.504,0.504,18.990000000000002,7326977060,2021_08_18_10_09_54
0.497,0.497,19.487000000000002,7326977060,2021_08_18_10_09_54
0.496,0.496,19.983,7326977060,2021_08_18_10_09_54
0.506,0.506,20.489,7326977060,2021_08_18_10_09_54
0.501,0.501,20.990000000000002,7326977060,2021_08_18_10_09_54
0.487,0.487,21.477,7326977060,2021_08_18_10_09_54
0.506,0.506,21.983,7326977060,2021_08_18_10_09_54
0.486,0.486,22.469,7326977060,2021_08_18_10_09_54
0.5,0.5,22.969,7326977060,2021_08_18_10_09_54
0.477,0.477,23.446,7326977060,2021_08_18_10_09_54
0.505,0.505,23.951,7326977060,2021_08_18_10_09_54
0.477,0.477,24.428,7326977060,2021_08_18_10_09_54
0.488,0.488,24.916,7326977060,2021_08_18_10_09_54
0.488,0.488,25.404,7326977060,2021_08_18_10_09_54
0.492,0.492,25.896,7326977060,2021_08_18_10_09_54
0.482,0.482,26.378,7326977060,2021_08_18_10_09_54
0.474,0.474,26.852,7326977060,2021_08_18_10_09_54
0.49,0.49,27.342,7326977060,2021_08_18_10_09_54
0.473,0.473,27.815,7326977060,2021_08_18_10_09_54
0.481,0.481,28.296,7326977060,2021_08_18_10_09_54
0.467,0.467,28.763,7326977060,2021_08_18_10_09_54
0.965,0.965,29.728,7326977060,2021_08_18_10_09_54
0.459,0.459,30.187,7326977060,2021_08_18_10_09_54
0.479,0.479,30.666,7326977060,2021_08_18_10_09_54
0.473,0.473,31.139,7326977060,2021_08_18_10_09_54
0.457,0.457,31.596,7326977060,2021_08_18_10_09_54
0.485,0.485,32.081,7326977060,2021_08_18_10_09_54
0.455,0.455,32.536,7326977060,2021_08_18_10_09_54
0.455,0.455,32.991,7326977060,2021_08_18_10_09_54
0.473,0.473,33.464,7326977060,2021_08_18_10_09_54
0.463,0.463,33.927,7326977060,2021_08_18_10_09_54
0.461,0.461,34.388,7326977060,2021_08_18_10_09_54
0.465,0.465,34.853,7326977060,2021_08_18_10_09_54
0.457,0.457,35.31,7326977060,2021_08_18_10_09_54
0.461,0.461,35.771,7326977060,2021_08_18_10_09_54
0.455,0.455,36.226,7326977060,2021_08_18_10_09_54
0.453,0.453,36.679,7326977060,2021_08_18_10_09_54
0.459,0.459,37.138,7326977060,2021_08_18_10_09_54
0.45,0.45,37.588,7326977060,2021_08_18_10_09_54
0.451,0.451,38.039,7326977060,2021_08_18_10_09_54
0.455,0.455,38.494,7326977060,2021_08_18_10_09_54
0.454,0.454,38.948,7326977060,2021_08_18_10_09_54
0.442,0.442,39.39,7326977060,2021_08_18_10_09_54
0.444,0.444,39.834,7326977060,2021_08_18_10_09_54
0.887,0.887,40.721000000000004,7326977060,2021_08_18_10_09_54
0.435,0.435,41.156,7326977060,2021_08_18_10_09_54
0.462,0.462,41.618,7326977060,2021_08_18_10_09_54
0.437,0.437,42.055,7326977060,2021_08_18_10_09_54
0.431,0.431,42.486000000000004,7326977060,2021_08_18_10_09_54
0.446,0.446,42.932,7326977060,2021_08_18_10_09_54
0.451,0.451,43.383,7326977060,2021_08_18_10_09_54
0.43,0.43,43.813,7326977060,2021_08_18_10_09_54
