"","HRVtime$datetime","size","SDNN","SDANN","SDNNIDX","pNN50","SDSD","rMSSD","IRRR","MADRR","TINN","HRVi","max_time","dfa_val"
"1",2021-01-01 09:55:08,5,98.9670784677684,73.8357026788487,74.8906946070552,60.958904109589,99.877519702378,99.5349460212444,130.000000000003,69.4999999999943,255.208333333333,16.3333333333333,181.832,0.604366188916913
"2",2021-01-02 07:11:30,5,69.8160383961148,59.6740805948553,35.1891202044136,19.6531791907514,40.7460099922232,40.6327838252231,95.5000000000034,22.0000000000056,226.5625,14.5,182.467,1.05334199193517
"3",2021-01-03 08:20:58,5,51.7025153130389,41.8648158481139,33.2347210827994,23.6994219653179,40.8206011883938,40.703282735346,70.2500000000016,28.0000000000059,169.921875,10.875,181.613,1.13941573190597
"4",2021-01-04 06:27:50,5,86.7421126123129,60.4103070088309,70.9416285183814,51.9736842105263,72.8507737093111,72.6136586397668,121.000000000009,51.0000000000092,217.329545454545,13.9090909090909,181.71,0.256094669610612
"5",2021-01-05 07:20:52,5,129.34787448976,103.235701543566,52.9597201789954,26.9736842105263,97.915766566367,97.8019951900657,131,30.9999999999917,239.0625,15.3,183.325,0.998179697247685
"6",2021-01-06 06:57:14,5,67.4623938770372,51.4601452843809,47.1085132376902,33.974358974359,59.0348595339967,58.8471509887045,77.0000000000123,35.500000000006,204.427083333333,13.0833333333333,181.792,0.848131005746538
"7",2021-01-07 07:05:55,5,78.399173592964,60.8196050230412,50.6663795293211,41.4012738853503,67.7733274219892,67.5607770731372,84.7499999999998,38.9999999999873,205.729166666667,13.1666666666667,182.183,1.51298963786739
"8",2021-01-08 08:10:52,5,61.3120476143347,50.3727343975051,35.9039575356836,23.5294117647059,43.2719763834758,43.1476943695905,78.5000000000055,27.0000000000002,242.897727272727,15.5454545454545,180.946,0.345777021702071
"9",2021-01-09 07:37:19,5,80.3725321206547,52.2789098839182,67.5570121826876,61.6438356164384,81.0104237593908,80.735361708096,123.999999999995,64.4999999999918,287.109375,18.375,182.991,0.757725373259826
"10",2021-01-10 08:28:09,5,92.2796516295191,72.028239763392,64.4818087325482,53.7931034482759,79.9613035003263,79.6881421542756,131.250000000001,55.9999999999832,207.386363636364,13.2727272727273,181.453,0.793920770362191
"11",2021-01-11 08:24:18,5,71.8302175193931,48.4653201071283,54.6186579951111,48.3870967741936,68.5497920061059,68.3329137149452,98.4999999999854,47.9999999999945,243.75,15.6,181.901,0.634740947248424
"12",2021-01-12 08:04:39,5,85.6909343405728,62.7988707277653,64.6900425580619,65.4676258992806,96.4944874693889,96.1627816545447,114.000000000003,69.9999999999932,168.269230769231,10.7692307692308,182.453,0.421920593429187
"13",2021-01-13 08:55:18,5,76.7975779799886,62.5581804498864,35.5499790520683,8.33333333333333,42.908152038323,42.7971231509787,88.9999999999986,18.0000000000078,231.971153846154,14.8461538461538,181.919,1.23814596483927
"14",2021-01-14 07:46:04,5,70.2094506523727,62.4058345643666,30.5323971322021,15.3846153846154,35.3028275108276,35.234458034246,92.0000000000058,18.9999999999984,204.241071428571,13.0714285714286,177.974,0.964057704152451
"15",2021-01-15 07:01:10,5,74.5570447642378,60.0292109283682,46.9043365831785,35.5263157894737,56.0994047376657,55.9147024258229,108.999999999995,35.4999999999955,217.329545454545,13.9090909090909,181.888,0.542304364445472
"16",2021-01-16 08:27:46,5,67.3164339700188,46.598143569535,53.3725682820921,57.3426573426573,80.1165511916557,79.8359331615566,94.4999999999968,63.0000000000023,204.545454545455,13.0909090909091,182.448,0.584370089021254
"17",2021-01-17 07:21:15,5,97.7573565839601,79.4995421922306,63.5592910589802,64.5833333333333,87.4500179145534,87.1524048243463,147.000000000005,66.5000000000156,251.736111111111,16.1111111111111,181.321,0.33848964551794
"18",2021-01-18 07:45:37,5,86.4091319672931,60.1676097333352,70.2637793919186,69.4029850746269,94.516589862172,94.1815886561223,106.499999999997,80.5000000000078,234.375,15,181.352,1.12183706368523
"19",2021-01-19 06:05:47,5,78.8488047105772,47.5919776778162,64.201595683298,56.8493150684931,79.0388987782322,78.7825601311735,112.500000000006,61.000000000007,255.208333333333,16.3333333333333,182.916,0.374380838529146
"20",2021-01-20 06:38:29,5,74.5213871765956,52.9996223968284,51.4788283948306,43.0379746835443,66.1060258343875,65.9066754844901,104.999999999993,42.000000000023,276.041666666667,17.6666666666667,182.888,0.152048780428348
"21",2021-01-21 06:57:59,5,90.9818229946417,63.0720078879081,61.7672071076901,40.7407407407407,75.2686194862446,75.0385908946643,124.499999999994,40.5000000000088,195.913461538462,12.5384615384615,181.209,1.04977416713221
"22",2021-01-22 08:24:22,5,99.2395688070294,76.9898405450496,65.3638788836134,55.1724137931034,92.3912014188402,92.0782650604993,126.250000000001,57.0000000000093,253.472222222222,16.2222222222222,181.183,0.308400472852201
"23",2021-01-23 08:08:35,5,75.3031711246886,62.419289617955,42.4961874747248,23.8754325259516,47.539989035314,47.4583408648779,95.4999999999852,28.9999999999964,238.486842105263,15.2631578947368,300.834,1.30621325197033
"24",2021-01-24 08:03:59,5,189.696160728536,175.603898304244,105.372919673069,51.5923566878981,198.924503335087,198.792597486141,115.750000000016,51.9999999999995,274.305555555556,17.5555555555556,183.103,0.78456530420723
"25",2021-01-25 06:13:50,5,81.9476579430466,59.5523799552404,58.3245710383488,52.1428571428571,72.8672260418777,72.6065227294161,121.000000000006,53.0000000000186,220.3125,14.1,183.464,0.10187192043925
