"ID","data","event","event_group","event_type","timestamp"
2019-08-10 08:42:29,0,"timer",0,"start",2019-08-10 07:44:30
2019-08-10 08:42:29,841,NA,255,"marker",2019-08-10 08:02:16
2019-08-10 08:42:29,0,"timer",0,"stop_all",2019-08-10 08:02:17
2019-08-10 08:42:29,99,"recovery_hr",255,"marker",2019-08-10 08:04:17
2019-08-10 08:42:29,0,"timer",0,"start",2019-08-10 08:10:02
2019-08-10 08:42:29,1149,NA,255,"marker",2019-08-10 08:25:45
2019-08-10 08:42:29,0,"timer",0,"stop_all",2019-08-10 08:25:46
2019-08-10 08:42:29,0,"timer",0,"start",2019-08-10 08:26:00
2019-08-10 08:42:29,1544,NA,255,"marker",2019-08-10 08:41:11
2019-08-10 08:42:29,0,"timer",0,"stop_all",2019-08-10 08:41:12
