"ID","data","event","event_group","event_type","timestamp"
2019-08-21 07:00:18,0,"timer",0,"start",2019-08-21 06:26:33
2019-08-21 07:00:18,62,NA,255,"marker",2019-08-21 06:30:29
2019-08-21 07:00:18,0,"timer",0,"stop_all",2019-08-21 06:30:30
2019-08-21 07:00:18,0,"timer",0,"start",2019-08-21 06:30:37
2019-08-21 07:00:18,0,"timer",0,"stop_all",2019-08-21 06:36:20
2019-08-21 07:00:18,236,NA,255,"marker",2019-08-21 06:36:20
2019-08-21 07:00:18,0,"timer",0,"start",2019-08-21 06:36:26
2019-08-21 07:00:18,0,"timer",0,"stop_all",2019-08-21 06:58:16
2019-08-21 07:00:18,700,NA,255,"marker",2019-08-21 06:58:16
2019-08-21 07:00:18,141,"recovery_hr",255,"marker",2019-08-21 07:00:16
