"ID","avg_cadence","avg_fractional_cadence","avg_heart_rate","avg_speed","avg_stance_time","avg_stance_time_percent","avg_temperature","avg_vertical_oscillation","end_position_lat","end_position_long","event","event_group","event_type","intensity","lap_trigger","max_cadence","max_fractional_cadence","max_heart_rate","max_speed","max_temperature","message_index","sport","start_position_lat","start_position_long","start_time","sub_sport","timestamp","total_ascent","total_calories","total_cycles","total_descent","total_distance","total_elapsed_time","total_fractional_cycles","total_timer_time","wkt_step_index"
2019-11-12 23:10:14,85,0.0859375,120,3.381,6553.5,655.35,127,6553.5,2147483647,2147483647,"lap",255,"stop",NA,"manual",89,0,132,4.012,127,NA,"running",2147483647,2147483647,2019-11-12 19:56:27,"treadmill",2019-11-12 20:04:11,65535,80,657,65535,1567.64,463.725,1.9921875,463.725,NA
2019-11-12 23:10:14,84,0.453125,135,3.354,6553.5,655.35,127,6553.5,2147483647,2147483647,"lap",255,"stop",NA,"distance",86,0.5,141,3.863,127,NA,"running",2147483647,2147483647,2019-11-12 20:04:11,"treadmill",2019-11-12 20:12:11,65535,90,678,65535,1609.34,479.835,1.9921875,479.835,NA
2019-11-12 23:10:14,84,0.5,139,3.219,6553.5,655.35,127,6553.5,2147483647,2147483647,"lap",255,"stop",NA,"manual",84,0.5,139,3.396,127,NA,"running",2147483647,2147483647,2019-11-12 20:12:12,"treadmill",2019-11-12 20:12:14,65535,0,1,65535,8.54,2.652,1.9921875,2.652,NA
2019-11-12 23:10:14,83,0.671875,141,3.363,6553.5,655.35,127,6553.5,2147483647,2147483647,"lap",255,"stop",NA,"manual",85,0.5,145,3.956,127,NA,"running",2147483647,2147483647,2019-11-12 20:12:14,"treadmill",2019-11-12 20:19:55,65535,86,639,65535,1548.78,460.579,1.9921875,460.579,NA
2019-11-12 23:10:14,83,0.46875,142,3.329,6553.5,655.35,127,6553.5,2147483647,2147483647,"lap",255,"stop",NA,"distance",85,0.5,147,3.732,127,NA,"running",2147483647,2147483647,2019-11-12 20:19:55,"treadmill",2019-11-12 20:27:59,65535,86,671,65535,1609.34,483.419,1.9921875,483.419,NA
2019-11-12 23:10:14,83,0.171875,143,3.314,6553.5,655.35,127,6553.5,2147483647,2147483647,"lap",255,"stop",NA,"manual",85,0.5,148,3.91,127,NA,"running",2147483647,2147483647,2019-11-12 20:28:00,"treadmill",2019-11-12 20:35:34,65535,80,626,65535,1508.83,455.226,1.9921875,455.226,NA
2019-11-12 23:10:14,83,0.1015625,144,3.263,6553.5,655.35,127,6553.5,2147483647,2147483647,"lap",255,"stop",NA,"manual",85,0.5,149,3.882,127,NA,"running",2147483647,2147483647,2019-11-12 20:35:34,"treadmill",2019-11-12 20:43:11,65535,77,630,65535,1490.92,456.946,1.9921875,456.946,NA
2019-11-12 23:10:14,83,0.109375,145,3.267,6553.5,655.35,127,6553.5,2147483647,2147483647,"lap",255,"stop",NA,"manual",85,0.5,156,3.863,127,NA,"running",2147483647,2147483647,2019-11-12 20:43:11,"treadmill",2019-11-12 20:51:10,65535,78,660,65535,1565.97,479.376,1.9921875,479.376,NA
2019-11-12 23:10:14,83,0.6484375,145,3.221,6553.5,655.35,127,6553.5,2147483647,2147483647,"lap",255,"stop",NA,"distance",88,0,152,3.9,127,NA,"running",2147483647,2147483647,2019-11-12 20:51:10,"treadmill",2019-11-12 20:59:35,65535,82,697,65535,1609.34,505.102,1.9921875,499.659,NA
2019-11-12 23:10:14,83,0.4296875,146,3.293,6553.5,655.35,127,6553.5,2147483647,2147483647,"lap",255,"stop",NA,"session_end",84,0.5,151,3.546,127,NA,"running",2147483647,2147483647,2019-11-12 20:59:36,"treadmill",2019-11-12 23:10:14,65535,14,121,65535,291.13,88.398,1.9921875,88.398,NA
