"ID","avg_cadence","avg_fractional_cadence","avg_heart_rate","avg_speed","avg_stance_time","avg_stance_time_percent","avg_temperature","avg_vertical_oscillation","end_position_lat","end_position_long","event","event_group","event_type","intensity","lap_trigger","max_cadence","max_fractional_cadence","max_heart_rate","max_speed","max_temperature","message_index","sport","start_position_lat","start_position_long","start_time","sub_sport","timestamp","total_ascent","total_calories","total_cycles","total_descent","total_distance","total_elapsed_time","total_fractional_cycles","total_timer_time","wkt_step_index"
2019-04-25 16:42:09,81,0.234375,131,3.547,6553.5,655.35,127,6553.5,536631953,-1112243724,"lap",255,"stop",NA,"distance",88,0,145,4.32,127,NA,"running",536701324,-1112222527,2019-04-25 16:25:25,"generic",2019-04-25 16:32:59,31,70,613,50,1609.34,453.752,1.9921875,453.752,NA
2019-04-25 16:42:09,80,0.296875,140,3.431,6553.5,655.35,127,6553.5,536558897,-1112267137,"lap",255,"stop",NA,"distance",84,0,148,4.88,127,NA,"running",536631839,-1112243230,2019-04-25 16:33:00,"generic",2019-04-25 16:40:48,84,78,627,73,1609.34,469.017,1.9921875,469.017,NA
2019-04-25 16:42:09,80,0.078125,145,3.384,6553.5,655.35,127,6553.5,536576700,-1112284708,"lap",255,"stop",NA,"session_end",82,0,151,3.49,127,NA,"running",536558881,-1112267585,2019-04-25 16:40:49,"generic",2019-04-25 16:42:09,50,13,97,53,253.67,74.969,1.9921875,74.969,NA
