"ID","data","event","event_group","event_type","timestamp"
2020-08-11 11:01:48,0,"timer",0,"start",2020-08-11 10:14:37
2020-08-11 11:01:48,811,NA,255,"marker",2020-08-11 10:34:40
2020-08-11 11:01:48,0,"timer",0,"stop_all",2020-08-11 10:34:41
2020-08-11 11:01:48,81,"recovery_hr",255,"marker",2020-08-11 10:36:41
2020-08-11 11:01:48,0,"timer",0,"start",2020-08-11 10:39:50
2020-08-11 11:01:48,0,"timer",0,"stop_all",2020-08-11 10:45:15
2020-08-11 11:01:48,800,NA,255,"marker",2020-08-11 10:45:15
2020-08-11 11:01:48,0,"timer",0,"start",2020-08-11 10:45:51
2020-08-11 11:01:48,799,NA,255,"marker",2020-08-11 10:45:54
2020-08-11 11:01:48,0,"timer",0,"stop_all",2020-08-11 10:45:55
2020-08-11 11:01:48,0,"timer",0,"start",2020-08-11 10:46:58
2020-08-11 11:01:48,791,NA,255,"marker",2020-08-11 10:51:53
2020-08-11 11:01:48,0,"timer",0,"stop_all",2020-08-11 10:51:54
2020-08-11 11:01:48,0,"timer",0,"start",2020-08-11 10:51:57
2020-08-11 11:01:48,782,NA,255,"marker",2020-08-11 10:59:24
2020-08-11 11:01:48,0,"timer",0,"stop_all",2020-08-11 10:59:25
2020-08-11 11:01:48,142,"recovery_hr",255,"marker",2020-08-11 11:01:25
