"timestamp","distance","heart_rate"
2021-02-09 01:30:55,0,78
2021-02-09 01:30:56,0,79
2021-02-09 01:30:57,0,80
2021-02-09 01:30:58,0,81
2021-02-09 01:30:59,0,82
2021-02-09 01:31:00,0,84
2021-02-09 01:31:01,0,85
2021-02-09 01:31:02,0,85
2021-02-09 01:31:03,0,87
2021-02-09 01:31:04,0,88
2021-02-09 01:31:05,0,89
2021-02-09 01:31:06,0,89
2021-02-09 01:31:07,0,90
2021-02-09 01:31:08,0,90
2021-02-09 01:31:09,0,90
2021-02-09 01:31:10,0,90
2021-02-09 01:31:11,0,90
2021-02-09 01:31:12,0,90
2021-02-09 01:31:13,0,90
2021-02-09 01:31:14,0,90
2021-02-09 01:31:15,0,89
2021-02-09 01:31:16,0,89
2021-02-09 01:31:17,0,89
2021-02-09 01:31:18,0,89
2021-02-09 01:31:19,0,89
2021-02-09 01:31:20,0,89
2021-02-09 01:31:21,0,88
2021-02-09 01:31:22,0,88
2021-02-09 01:31:23,0,88
2021-02-09 01:31:24,0,87
2021-02-09 01:31:25,0,87
2021-02-09 01:31:26,0,87
2021-02-09 01:31:27,0,88
2021-02-09 01:31:28,0,88
2021-02-09 01:31:29,0,88
2021-02-09 01:31:30,0,89
2021-02-09 01:31:31,0,89
2021-02-09 01:31:32,0,90
2021-02-09 01:31:33,0,90
2021-02-09 01:31:34,0,91
2021-02-09 01:31:35,0,91
2021-02-09 01:31:36,0,91
2021-02-09 01:31:37,0,90
2021-02-09 01:31:38,0,90
2021-02-09 01:31:39,0,90
2021-02-09 01:31:40,0,90
2021-02-09 01:31:41,0,90
2021-02-09 01:31:42,0,90
2021-02-09 01:31:43,0,89
2021-02-09 01:31:44,0,89
2021-02-09 01:31:45,0,89
2021-02-09 01:31:46,0,88
2021-02-09 01:31:47,0,88
2021-02-09 01:31:48,0,88
2021-02-09 01:31:49,0,88
2021-02-09 01:31:50,0,87
2021-02-09 01:31:51,0,88
2021-02-09 01:31:52,0,88
2021-02-09 01:31:53,0,88
2021-02-09 01:31:54,0,89
2021-02-09 01:31:55,0,89
2021-02-09 01:31:56,0,90
2021-02-09 01:31:57,0,90
2021-02-09 01:31:58,0,91
2021-02-09 01:31:59,0,92
2021-02-09 01:32:00,0,92
2021-02-09 01:32:01,0,93
2021-02-09 01:32:02,0,93
2021-02-09 01:32:03,0,93
2021-02-09 01:32:04,0,93
2021-02-09 01:32:05,0,93
2021-02-09 01:32:06,0,93
2021-02-09 01:32:07,0,93
2021-02-09 01:32:08,0,93
2021-02-09 01:32:09,0,93
2021-02-09 01:32:10,0,92
2021-02-09 01:32:11,0,92
2021-02-09 01:32:12,0,92
2021-02-09 01:32:13,0,92
2021-02-09 01:32:14,0,92
2021-02-09 01:32:15,0,92
2021-02-09 01:32:16,0,93
2021-02-09 01:32:17,0,93
2021-02-09 01:32:18,0,93
2021-02-09 01:32:19,0,93
2021-02-09 01:32:20,0,93
2021-02-09 01:32:21,0,93
2021-02-09 01:32:22,0,93
2021-02-09 01:32:23,0,93
2021-02-09 01:32:24,0,93
2021-02-09 01:32:25,0,93
2021-02-09 01:32:26,0,92
2021-02-09 01:32:27,0,92
2021-02-09 01:32:28,0,92
2021-02-09 01:32:29,0,93
2021-02-09 01:32:30,0,93
2021-02-09 01:32:31,0,93
2021-02-09 01:32:32,0,94
2021-02-09 01:32:33,0,94
2021-02-09 01:32:34,0,95
2021-02-09 01:32:35,0,95
2021-02-09 01:32:36,0,95
2021-02-09 01:32:37,0,95
2021-02-09 01:32:38,0,95
2021-02-09 01:32:39,0,96
