"timestamp","position_lat","position_long","distance","altitude","speed","heart_rate","cadence","fractional_cadence"
2021-03-19 21:05:17,44.9847200419754,-93.2011174689978,0,267.4,0.019,110,0,0
2021-03-19 21:05:18,44.9847343750298,-93.2011094223708,1.72,267.6,0,110,0,0
2021-03-19 21:05:19,44.9847566708922,-93.2010960113257,4.41,267.6,1.213,110,0,0
2021-03-19 21:05:20,44.9847806431353,-93.2010876294225,7.14,267.6,1.773,111,0,0
2021-03-19 21:05:21,44.9848057050258,-93.2010846119374,9.93,267.8,2.547,113,87,0.5
2021-03-19 21:05:22,44.9848319403827,-93.201086288318,12.84,268,2.594,114,87,0.5
2021-03-19 21:05:23,44.98485381715,-93.2010955084115,15.32,268,2.659,115,87,0.5
2021-03-19 21:05:24,44.9848740175366,-93.2011081650853,17.67,268,2.659,117,87,0.5
2021-03-19 21:05:25,44.9848998337984,-93.2011176366359,20.64,268,2.529,118,87,0.5
2021-03-19 21:05:26,44.984919866547,-93.2011249288917,22.93,268,2.529,119,87,0.5
2021-03-19 21:05:27,44.9849442578852,-93.2011327240616,25.71,268,2.79,120,87,0.5
2021-03-19 21:05:28,44.9849670566618,-93.2011376693845,28.27,267.8,2.837,121,88,0.5
2021-03-19 21:05:29,44.9849896039814,-93.2011397648603,30.77,267.8,2.93,122,88,0.5
2021-03-19 21:05:30,44.9850139953196,-93.2011407706887,33.48,267.8,2.948,123,88,0.5
2021-03-19 21:05:31,44.9850356206298,-93.2011349033564,35.93,267.8,2.958,124,87,0.5
2021-03-19 21:05:32,44.9850570783019,-93.2011288683861,38.36,267.8,2.958,125,87,0.5
2021-03-19 21:05:33,44.9850763566792,-93.2011172175407,40.61,267.6,2.902,125,87,0.5
2021-03-19 21:05:34,44.9851146619767,-93.2011038903147,44.99,267.4,2.855,126,87,0.5
2021-03-19 21:05:35,44.9851414002478,-93.2011002022773,47.98,267.2,2.855,127,87,0.5
2021-03-19 21:05:36,44.9851700663567,-93.2010956760496,51.18,267.2,2.855,127,87,0.5
2021-03-19 21:05:37,44.9851943738759,-93.2010954245925,53.88,267,2.865,128,86,0.5
2021-03-19 21:05:38,44.9852180108428,-93.201096681878,56.5,267,2.865,128,86,0.5
2021-03-19 21:05:39,44.9852418992668,-93.2010950054973,59.16,266.8,2.837,129,86,0.5
2021-03-19 21:05:40,44.9852627702057,-93.2010928262025,61.48,266.8,2.799,129,87,0.5
2021-03-19 21:05:41,44.9852853175253,-93.2010886352509,64.01,267,2.79,130,87,0.5
2021-03-19 21:05:42,44.9853089544922,-93.2010795827955,66.73,267,2.771,130,87,0.5
2021-03-19 21:05:43,44.9853336811066,-93.2010693568736,69.59,267,2.771,130,87,0.5
2021-03-19 21:05:44,44.9853588268161,-93.2010629028082,72.41,267,2.771,131,87,0.5
2021-03-19 21:05:45,44.9853817932308,-93.201059801504,74.96,267,2.771,132,87,0.5
2021-03-19 21:05:46,44.9854056816548,-93.201057119295,77.62,267,2.753,132,87,0.5
2021-03-19 21:05:47,44.9854335095733,-93.201057203114,80.68,267,2.725,132,87,0.5
2021-03-19 21:05:48,44.9854615051299,-93.2010629028082,83.82,267.2,2.706,133,87,0.5
2021-03-19 21:05:49,44.9854892492294,-93.2010711170733,86.96,267.2,2.706,133,86,0.5
2021-03-19 21:05:50,44.9855128861964,-93.2010770682245,89.63,267,2.725,133,86,0.5
2021-03-19 21:05:51,44.9855397082865,-93.2010815944523,92.62,266.8,2.725,133,86,0.5
2021-03-19 21:05:52,44.9855626747012,-93.2010841090232,95.18,267,2.725,134,88,0.5
2021-03-19 21:05:53,44.9855904188007,-93.2010877132416,98.27,267.2,2.725,134,88,0.5
2021-03-19 21:05:54,44.9856164027005,-93.2010908145458,101.17,267.4,2.706,134,88,0.5
2021-03-19 21:05:55,44.9856422189623,-93.2010927423835,104.04,267.6,2.715,134,88,0.5
