"ID","data","event","event_group","event_type","timestamp"
2020-05-13 13:44:44,0,"timer",0,"start",2020-05-13 13:18:06
2020-05-13 13:44:44,0,"timer",0,"stop_all",2020-05-13 13:21:36
2020-05-13 13:44:44,117,NA,255,"marker",2020-05-13 13:21:36
2020-05-13 13:44:44,0,"timer",0,"start",2020-05-13 13:21:55
2020-05-13 13:44:44,352,NA,255,"marker",2020-05-13 13:36:19
2020-05-13 13:44:44,0,"timer",0,"stop_all",2020-05-13 13:36:20
2020-05-13 13:44:44,77,"recovery_hr",255,"marker",2020-05-13 13:38:20
2020-05-13 13:44:44,0,"timer",0,"start",2020-05-13 13:38:56
2020-05-13 13:44:44,713,NA,255,"marker",2020-05-13 13:44:38
2020-05-13 13:44:44,0,"timer",0,"stop_all",2020-05-13 13:44:39
