"ID","timestamp","altitude","cadence","distance","fractional_cadence","heart_rate","position_lat","position_long","speed"
"2021_04_03 13_19_54",2021-04-03 18:55:31,274.2,0,0,0,90,45.1692201476544,-93.1246838998049,0
"2021_04_03 13_19_54",2021-04-03 18:55:32,274.2,0,2.17,0,89,45.1692042220384,-93.1247000768781,0
"2021_04_03 13_19_54",2021-04-03 18:55:33,274,0,5.14,0,89,45.1691843569279,-93.1247254740447,2.342
"2021_04_03 13_19_54",2021-04-03 18:55:34,273.6,0,8.31,0,92,45.1691595464945,-93.1247454229742,2.454
"2021_04_03 13_19_54",2021-04-03 18:55:35,273.2,0,12.06,0,96,45.1691276952624,-93.124760594219,3.07
"2021_04_03 13_19_54",2021-04-03 18:55:36,273,0,15.68,0,98,45.1690953411162,-93.124768724665,3.499
"2021_04_03 13_19_54",2021-04-03 18:55:37,272.8,0,19.15,0,102,45.1690643280745,-93.1247755140066,3.499
"2021_04_03 13_19_54",2021-04-03 18:55:38,272.8,85,22.45,0.5,102,45.1690347399563,-93.1247779447585,3.499
"2021_04_03 13_19_54",2021-04-03 18:55:39,272.4,85,25.1,0.5,104,45.1690097618848,-93.1247679702938,3.499
"2021_04_03 13_19_54",2021-04-03 18:55:40,272.4,85,25.1,0.5,105,NA,NA,NA
"2021_04_03 13_19_54",2021-04-03 18:55:41,272.4,84,28.66,0.5,106,45.1689617335796,-93.124776519835,3.564
"2021_04_03 13_19_54",2021-04-03 18:55:42,272.4,84,32.28,0.5,108,45.1689339894801,-93.1247813813388,3.62
"2021_04_03 13_19_54",2021-04-03 18:55:43,272.4,83,35.98,0.5,109,45.1689048204571,-93.1247867457569,3.695
"2021_04_03 13_19_54",2021-04-03 18:55:44,272,83,38.83,0.5,110,45.1688791718334,-93.124787164852,3.686
"2021_04_03 13_19_54",2021-04-03 18:55:45,271.8,84,41.63,0,111,45.1688539423048,-93.1247885059565,3.658
"2021_04_03 13_19_54",2021-04-03 18:55:46,271.4,84,44.81,0.5,112,45.168825360015,-93.1247899308801,3.574
"2021_04_03 13_19_54",2021-04-03 18:55:47,271.2,84,48.09,0,114,45.1687957718968,-93.1247913558036,3.536
"2021_04_03 13_19_54",2021-04-03 18:55:48,270.8,83,51.33,0.5,114,45.1687666028738,-93.1247921939939,3.527
"2021_04_03 13_19_54",2021-04-03 18:55:49,270.2,83,54.25,0.5,115,45.1687403675169,-93.1247942894697,3.518
"2021_04_03 13_19_54",2021-04-03 18:55:50,270,83,57,0.5,116,45.1687156409025,-93.1247947923839,3.518
"2021_04_03 13_19_54",2021-04-03 18:55:51,269.8,84,60.12,0.5,117,45.1686876453459,-93.1247973907739,3.49
"2021_04_03 13_19_54",2021-04-03 18:55:52,269.4,84,63.31,0.5,118,45.1686590630561,-93.1248009949923,3.49
"2021_04_03 13_19_54",2021-04-03 18:55:53,269.2,84,66.02,0.5,119,45.1686345878989,-93.1248015817255,3.499
"2021_04_03 13_19_54",2021-04-03 18:55:54,269.2,84,68.55,0,119,45.1686118729413,-93.1248020008206,3.499
"2021_04_03 13_19_54",2021-04-03 18:55:55,269.2,83,71.23,0,120,45.1685878168792,-93.1248041801155,3.471
"2021_04_03 13_19_54",2021-04-03 18:55:56,269,83,74.08,0,120,45.1685621682554,-93.1248046830297,3.434
"2021_04_03 13_19_54",2021-04-03 18:55:57,269,83,77.11,0,121,45.1685348432511,-93.1248053535819,3.396
"2021_04_03 13_19_54",2021-04-03 18:55:58,268.8,83,80.1,0,121,45.168508021161,-93.1248088739812,3.387
"2021_04_03 13_19_54",2021-04-03 18:55:59,268.8,83,83.06,0,122,45.1684813667089,-93.1248092092574,3.378
"2021_04_03 13_19_54",2021-04-03 18:56:00,268.8,83,85.89,0.5,122,45.1684559695423,-93.12480811961,3.35
"2021_04_03 13_19_54",2021-04-03 18:56:01,268.8,83,88.74,0.5,123,45.1684304047376,-93.1248061917722,3.34
"2021_04_03 13_19_54",2021-04-03 18:56:02,268.8,83,91.44,0.5,123,45.1684061810374,-93.1248015817255,3.284
"2021_04_03 13_19_54",2021-04-03 18:56:03,269,83,94.3,0.5,124,45.1683804485947,-93.1248034257442,3.256
"2021_04_03 13_19_54",2021-04-03 18:56:04,269.2,83,97.07,0.5,124,45.1683555543423,-93.1248020846397,3.21
"2021_04_03 13_19_54",2021-04-03 18:56:05,269.2,83,100.06,0.5,124,45.1683286484331,-93.124800240621,3.163
"2021_04_03 13_19_54",2021-04-03 18:56:06,269.2,83,103.11,0.5,125,45.1683013234288,-93.1247969716787,3.135
"2021_04_03 13_19_54",2021-04-03 18:56:07,269,84,106.14,0,126,45.1682743337005,-93.1247911881655,3.126
"2021_04_03 13_19_54",2021-04-03 18:56:08,268.8,84,108.94,0,126,45.1682494394481,-93.1247859913856,3.126
"2021_04_03 13_19_54",2021-04-03 18:56:09,268.8,83,111.82,0,128,45.1682235393673,-93.1247838120908,3.126
"2021_04_03 13_19_54",2021-04-03 18:56:10,268.8,83,114.59,0,128,45.1681985612959,-93.1247826386243,3.107
"2021_04_03 13_19_54",2021-04-03 18:56:11,268.6,82,117.33,0,128,45.1681740861386,-93.1247798725963,3.107
"2021_04_03 13_19_54",2021-04-03 18:56:12,268.8,82,120.09,0,129,45.1681491918862,-93.1247804593295,3.07
"2021_04_03 13_19_54",2021-04-03 18:56:13,269,82,122.7,0,129,45.1681257225573,-93.1247815489769,3.051
"2021_04_03 13_19_54",2021-04-03 18:56:14,268.8,83,125.6,0,129,45.1680996548384,-93.1247826386243,3.032
"2021_04_03 13_19_54",2021-04-03 18:56:15,268.8,83,128.45,0,129,45.1680740062147,-93.1247843150049,3.014
"2021_04_03 13_19_54",2021-04-03 18:56:16,269.2,83,131.3,0,130,45.168048357591,-93.1247875001281,3.004
"2021_04_03 13_19_54",2021-04-03 18:56:17,269.2,83,134.32,0,131,45.1680212002248,-93.1247888412327,2.995
