"timestamp","position_lat","position_long","distance","altitude","speed","cadence","fractional_cadence","heart_rate"
2021-03-31 12:41:29,44.9786242190748,-93.2269079145044,188.43,261.2,3.331,89,0.5,137
2021-03-31 12:41:30,44.9786467663944,-93.2268840260804,191.55,261.2,3.322,89,0.5,137
2021-03-31 12:41:31,44.9786731693894,-93.2268693577498,194.7,261.2,3.312,89,0.5,138
2021-03-31 12:41:32,44.9787021707743,-93.2268656697124,197.94,261.2,3.312,89,0.5,139
2021-03-31 12:41:33,44.9787651188672,-93.2268575392663,204.96,261.2,3.303,89,0.5,139
2021-03-31 12:41:34,44.9787651188672,-93.2268575392663,204.96,261.2,3.303,89,0.5,139
2021-03-31 12:41:35,44.9787975568324,-93.2268572039902,208.56,261.2,3.303,89,0.5,139
2021-03-31 12:41:36,44.9788269773126,-93.2268561981618,211.83,261.6,3.312,89,0.5,139
2021-03-31 12:41:37,44.978857319802,-93.226856701076,215.2,261.8,3.312,89,0.5,140
2021-03-31 12:41:38,44.9788872431964,-93.2268578745425,218.53,262,3.312,89,0.5,141
2021-03-31 12:41:39,44.978917920962,-93.2268609758466,221.94,262,3.312,89,0.5,141
2021-03-31 12:41:40,44.9789480119944,-93.2268613111228,225.28,262.2,3.312,89,0.5,141
2021-03-31 12:41:41,44.9789779353887,-93.2268621493131,228.61,262.4,3.312,89,0.5,141
2021-03-31 12:41:42,44.9790081940591,-93.2268629036844,231.97,262.6,3.312,89,0.5,142
2021-03-31 12:41:43,44.9790392071009,-93.2268656697124,235.43,262.6,3.312,89,0.5,143
2021-03-31 12:41:44,44.9790707230568,-93.2268665079027,238.92,262.6,3.312,89,0.5,143
2021-03-31 12:41:45,44.9791024066508,-93.2268685195595,242.44,262.4,3.312,89,0.5,144
2021-03-31 12:41:46,44.9791334196925,-93.2268680166453,245.89,262.2,3.322,89,0.5,143
2021-03-31 12:41:47,44.9791972059757,-93.2268694415689,252.97,262.6,3.331,89,0.5,144
2021-03-31 12:41:48,44.9791972059757,-93.2268694415689,252.97,262.6,3.331,89,0.5,144
2021-03-31 12:41:49,44.9792296439409,-93.2268661726266,256.59,262.8,3.331,89,0.5,145
2021-03-31 12:41:50,44.9792604055256,-93.2268629036844,260,263.2,3.34,89,0.5,145
2021-03-31 12:41:51,44.979290664196,-93.2268643286079,263.38,263.2,3.34,89,0.5,145
2021-03-31 12:41:52,44.9793205037713,-93.2268639095128,266.68,263.2,3.34,89,0.5,144
2021-03-31 12:41:53,44.9793523550034,-93.2268649991602,270.23,263.4,3.35,89,0.5,146
2021-03-31 12:41:54,44.9793820269406,-93.2268657535315,273.52,263.2,3.35,89,0.5,145
2021-03-31 12:41:55,44.9794142134488,-93.2268676813692,277.1,263.4,3.35,89,0.5,146
2021-03-31 12:41:56,44.9794445559382,-93.2268668431789,280.47,263.2,3.35,89,0.5,146
2021-03-31 12:41:57,44.97947297059,-93.2268685195595,283.63,263.2,3.359,89,0.5,146
2021-03-31 12:41:58,44.9795028939843,-93.2268677651882,286.95,263.2,3.359,89,0.5,146
2021-03-31 12:41:59,44.9795324821025,-93.2268674299121,290.24,263.4,3.359,89,0.5,147
2021-03-31 12:42:00,44.9795614834875,-93.2268669269979,293.46,263.2,3.359,89,0.5,147
2021-03-31 12:42:01,44.9796220846474,-93.2268615625799,300.21,263.8,3.35,88,0.5,147
2021-03-31 12:42:02,44.9796220846474,-93.2268615625799,300.21,263.8,3.35,88,0.5,147
2021-03-31 12:42:03,44.9796528462321,-93.2268615625799,303.61,264.2,3.35,89,0,148
2021-03-31 12:42:04,44.9796846974641,-93.2268620654941,307.15,264.4,3.35,89,0.5,148
2021-03-31 12:42:05,44.9797150399536,-93.2268643286079,310.53,264.4,3.35,89,0.5,149
2021-03-31 12:42:06,44.9797460529953,-93.226869860664,314,264.2,3.35,89,0.5,148
2021-03-31 12:42:07,44.9797759763896,-93.2268763985485,317.36,264.2,3.35,89,0.5,149
2021-03-31 12:42:08,44.9798040557653,-93.2268863730133,320.58,263.8,3.35,88,0.5,148
2021-03-31 12:42:09,44.9798338115215,-93.2268979400396,323.98,264,3.35,88,0.5,149
2021-03-31 12:42:10,44.9798602145165,-93.2269164640456,327.26,263.6,3.35,88,0.5,149
2021-03-31 12:42:11,44.9798867013305,-93.2269345689565,330.53,263.2,3.35,88,0.5,150
2021-03-31 12:42:12,44.9799137748778,-93.2269541826099,333.91,262.8,3.35,88,0.5,149
2021-03-31 12:42:13,44.9799369927496,-93.226980920881,337.24,262.4,3.35,88,0.5,149
2021-03-31 12:42:14,44.9799752980471,-93.2270454615355,343.87,261.8,3.35,88,0.5,150
2021-03-31 12:42:15,44.9799752980471,-93.2270454615355,343.87,261.8,3.35,88,0.5,149
2021-03-31 12:42:16,44.979991056025,-93.2270833477378,347.34,261.2,3.35,88,0.5,148
2021-03-31 12:42:17,44.9800051376224,-93.2271226588637,350.8,261,3.35,88,0.5,148
2021-03-31 12:42:18,44.9800156150013,-93.2271639816463,354.26,260.8,3.35,88,0.5,149
2021-03-31 12:42:19,44.9800255894661,-93.2272084057331,357.92,260.6,3.35,88,0.5,149
2021-03-31 12:42:20,44.9800351448357,-93.2272524107248,361.55,260.4,3.359,87,0.5,150
2021-03-31 12:42:21,44.9800434429199,-93.2272970862687,365.19,260,3.359,87,0.5,149
2021-03-31 12:42:22,44.9800519924611,-93.2273404207081,368.72,259.6,3.368,87,0.5,149
