"timestamp","start_time","start_position_lat","start_position_long","end_position_lat","end_position_long","total_elapsed_time","total_timer_time","total_distance","total_cycles","message_index","total_calories","avg_speed","max_speed","total_ascent","total_descent","wkt_step_index","avg_vertical_oscillation","avg_stance_time_percent","avg_stance_time","event","event_type","avg_heart_rate","max_heart_rate","avg_cadence","max_cadence","intensity","lap_trigger","sport","event_group","sub_sport","avg_temperature","max_temperature","avg_fractional_cadence","max_fractional_cadence","total_fractional_cycles"
2021-02-03 23:14:35,2021-02-03 23:13:36,44.9796440452337,-93.2374139595777,44.9784489534795,-93.2406432554126,60,60,306.97,85,NA,13,5.116,5.263,0,23,NA,6553.5,655.35,6553.5,"lap","stop",173,175,83,86,NA,"time","running",255,"generic",127,127,0.953125,0.5,1.9921875
2021-02-03 23:15:05,2021-02-03 23:14:36,44.9784141685814,-93.2406739331782,44.9781544972211,-93.2407716661692,30,30,80.55,38,NA,7,2.685,4.992,2,0,NA,6553.5,655.35,6553.5,"lap","stop",172,175,79,82,NA,"time","running",255,"generic",127,127,0.1015625,0,1.9921875
2021-02-03 23:16:05,2021-02-03 23:15:06,44.9781777150929,-93.2407490350306,44.9794030655175,-93.237755605951,60,60,295.66,83,NA,13,4.928,5.188,5,3,NA,6553.5,655.35,6553.5,"lap","stop",170,176,83,85,NA,"time","running",255,"generic",127,127,0.8515625,0.5,1.9921875
2021-02-03 23:16:35,2021-02-03 23:16:06,44.9794018082321,-93.2376939151436,44.9795192386955,-93.236767379567,30,30,75.03,38,NA,6,2.501,4.871,0,0,NA,6553.5,655.35,6553.5,"lap","stop",172,176,79,83,NA,"time","running",255,"generic",127,127,0.3203125,0.5,1.9921875
2021-02-03 23:20:58,2021-02-03 23:16:36,44.9795133713633,-93.2367406412959,44.9797095917165,-93.2269323058426,262.631,262.631,804.67,352,NA,55,3.064,3.21,40,32,NA,6553.5,655.35,6553.5,"lap","stop",156,170,80,82,NA,"distance","running",255,"generic",127,127,0.5234375,0,1.9921875
2021-02-03 23:21:35,2021-02-03 23:20:59,44.9796827696264,-93.226928031072,44.9792263749987,-93.226885618642,37.369,37.369,107.01,50,NA,8,2.864,2.967,0,5,NA,6553.5,655.35,6553.5,"lap","stop",154,155,82,84,NA,"time","running",255,"generic",127,127,0.21875,0.5,1.9921875
2021-02-03 23:23:25,2021-02-03 23:21:36,44.9792556278408,-93.2268836908042,44.9800330493599,-93.2334048114717,110,110,591.97,159,NA,19,5.382,5.71,12,3,NA,6553.5,655.35,6553.5,"lap","stop",151,175,87,91,NA,"time","running",255,"generic",127,127,0.96875,0.5,1.9921875
2021-02-03 23:25:25,2021-02-03 23:23:26,44.9800267629325,-93.2334697712213,44.9801306147128,-93.231883328408,120,120,339.15,158,NA,24,2.826,5.263,2,14,NA,6553.5,655.35,6553.5,"lap","stop",163,176,80,84,NA,"time","running",255,"generic",127,127,0.1171875,0.5,1.9921875
2021-02-03 23:26:40,2021-02-03 23:25:26,44.9801361467689,-93.2319284230471,44.9796551931649,-93.2368770986795,75,75,395.93,112,NA,17,5.279,5.776,12,3,NA,6553.5,655.35,6553.5,"lap","stop",165,173,87,91,NA,"time","running",255,"generic",127,127,0.125,0.5,1.9921875
2021-02-03 23:28:48,2021-02-03 23:26:41,44.979663239792,-93.2369360234588,44.9797686841339,-93.2341821491718,127.308,120,274.41,144,NA,22,2.287,5.169,5,25,NA,6553.5,655.35,6553.5,"lap","stop",154,173,73,84,NA,"time","running",255,"generic",127,127,0.234375,0.5,1.9921875
2021-02-03 23:28:49,2021-02-03 23:28:49,179.999999916181,179.999999916181,179.999999916181,179.999999916181,1.401,1.401,5.18,4294967295,NA,65535,3.697,65.535,65535,65535,NA,6553.5,655.35,6553.5,"lap","stop",255,255,255,255,NA,"manual","running",255,"generic",127,127,1.9921875,1.9921875,1.9921875
2021-02-03 23:28:50,2021-02-03 23:28:49,44.9797837715596,-93.234143089503,44.9797837715596,-93.234143089503,0.569,0.569,2.82,1,NA,0,4.956,2.725,0,0,NA,6553.5,655.35,6553.5,"lap","stop",145,145,80,80,NA,"manual","running",255,"generic",127,127,0.5,0.5,1.9921875
2021-02-03 23:28:51,2021-02-03 23:28:50,44.9798016250134,-93.2341019343585,44.9798016250134,-93.2341019343585,1.619,1.619,2.43,1,NA,0,1.501,2.734,0,0,NA,6553.5,655.35,6553.5,"lap","stop",145,145,80,80,NA,"manual","running",255,"generic",127,127,0.5,0.5,1.9921875
2021-02-03 23:28:52,2021-02-03 23:28:51,44.9798253457993,-93.2340671494603,44.9798253457993,-93.2340671494603,0.589,0.589,0.78,1,NA,0,1.324,2.725,0,0,NA,6553.5,655.35,6553.5,"lap","stop",146,146,80,80,NA,"manual","running",255,"generic",127,127,0.5,0.5,1.9921875
2021-02-03 23:28:54,2021-02-03 23:28:52,44.9798246752471,-93.2340522296727,44.9798312969506,-93.2340261619538,1.737,1.737,1.17,1,NA,0,0.674,2.715,0,11,NA,6553.5,655.35,6553.5,"lap","stop",146,146,83,84,NA,"manual","running",255,"generic",127,127,0,0,1.9921875
2021-02-03 23:28:58,2021-02-03 23:28:54,44.9798448756337,-93.2340086437762,44.9798462167382,-93.2338810712099,4.366,4.366,6.97,4,NA,0,1.596,2.473,7,0,NA,6553.5,655.35,6553.5,"lap","stop",145,146,84,84,NA,"manual","running",255,"generic",127,127,0,0,1.9921875
2021-02-03 23:28:59,2021-02-03 23:28:58,44.9798440374434,-93.2338480465114,44.9798440374434,-93.2338480465114,1.057,1.057,2.32,1,NA,0,2.195,2.062,0,0,NA,6553.5,655.35,6553.5,"lap","stop",145,145,84,84,NA,"manual","running",255,"generic",127,127,0,0,1.9921875
2021-02-03 23:29:00,2021-02-03 23:28:59,44.9798464681953,-93.2338350545615,44.9798464681953,-93.2338350545615,0.968,0.968,0.06,1,NA,0,0.062,2.062,0,0,NA,6553.5,655.35,6553.5,"lap","stop",145,145,84,84,NA,"manual","running",255,"generic",127,127,0,0,1.9921875
2021-02-03 23:32:47,2021-02-03 23:29:00,44.9798452109098,-93.2338260021061,44.9827894382179,-93.2321546506137,150.233,120.277,364.06,164,NA,18,3.027,3.471,44,7,NA,6553.5,655.35,6553.5,"lap","stop",144,152,82,85,NA,"session_end","running",255,"generic",127,127,0.3671875,0,1.9921875
