"timestamp","distance","altitude","heart_rate"
2021-02-16 01:15:53,0,262.8,84
2021-02-16 01:15:54,0,262.8,85
2021-02-16 01:15:55,0,262.8,85
2021-02-16 01:15:56,0,262.8,86
2021-02-16 01:15:57,0,262.8,87
2021-02-16 01:15:58,0,262.8,87
2021-02-16 01:15:59,0,262.8,88
2021-02-16 01:16:00,0,262.8,89
2021-02-16 01:16:01,0,262.8,90
2021-02-16 01:16:02,0,262.8,90
2021-02-16 01:16:03,0,262.8,90
2021-02-16 01:16:04,0,262.8,91
2021-02-16 01:16:05,0,262.8,91
2021-02-16 01:16:06,0,262.8,91
2021-02-16 01:16:07,0,262.8,91
2021-02-16 01:16:08,0,262.8,92
2021-02-16 01:16:09,0,262.8,92
2021-02-16 01:16:10,0,262.8,92
2021-02-16 01:16:11,0,NA,92
2021-02-16 01:16:12,0,NA,93
2021-02-16 01:16:13,0,NA,93
2021-02-16 01:16:14,0,NA,93
2021-02-16 01:16:15,0,NA,93
2021-02-16 01:16:16,0,NA,93
2021-02-16 01:16:17,0,NA,92
2021-02-16 01:16:18,0,NA,92
2021-02-16 01:16:19,0,NA,91
2021-02-16 01:16:20,0,NA,90
2021-02-16 01:16:21,0,NA,90
2021-02-16 01:16:22,0,NA,90
2021-02-16 01:16:23,0,NA,91
2021-02-16 01:16:24,0,NA,91
2021-02-16 01:16:25,0,NA,91
2021-02-16 01:16:26,0,NA,91
2021-02-16 01:16:27,0,NA,90
2021-02-16 01:16:28,0,NA,90
2021-02-16 01:16:29,0,NA,90
2021-02-16 01:16:30,0,NA,91
2021-02-16 01:16:31,0,NA,91
2021-02-16 01:16:32,0,NA,91
2021-02-16 01:16:33,0,NA,92
2021-02-16 01:16:34,0,NA,92
2021-02-16 01:16:35,0,NA,92
2021-02-16 01:16:36,0,NA,92
2021-02-16 01:16:37,0,NA,92
2021-02-16 01:16:38,0,NA,92
2021-02-16 01:16:39,0,NA,92
2021-02-16 01:16:40,0,NA,91
2021-02-16 01:16:41,0,NA,91
2021-02-16 01:16:42,0,NA,91
2021-02-16 01:16:43,0,NA,91
2021-02-16 01:16:44,0,NA,91
2021-02-16 01:16:45,0,NA,91
2021-02-16 01:16:46,0,NA,91
2021-02-16 01:16:47,0,NA,91
2021-02-16 01:16:48,0,NA,91
2021-02-16 01:16:49,0,NA,91
2021-02-16 01:16:50,0,NA,91
2021-02-16 01:16:51,0,NA,91
2021-02-16 01:16:52,0,NA,91
2021-02-16 01:16:53,0,NA,91
2021-02-16 01:16:54,0,NA,92
2021-02-16 01:16:55,0,NA,92
2021-02-16 01:16:56,0,NA,92
2021-02-16 01:16:57,0,NA,92
2021-02-16 01:16:58,0,NA,92
2021-02-16 01:16:59,0,NA,92
2021-02-16 01:17:00,0,NA,92
2021-02-16 01:17:01,0,NA,91
2021-02-16 01:17:02,0,NA,91
2021-02-16 01:17:03,0,NA,90
2021-02-16 01:17:04,0,NA,90
2021-02-16 01:17:05,0,NA,89
2021-02-16 01:17:06,0,NA,89
2021-02-16 01:17:07,0,NA,89
2021-02-16 01:17:08,0,NA,88
2021-02-16 01:17:09,0,NA,88
2021-02-16 01:17:10,0,NA,88
2021-02-16 01:17:11,0,NA,88
2021-02-16 01:17:12,0,NA,89
2021-02-16 01:17:13,0,NA,89
2021-02-16 01:17:14,0,NA,89
2021-02-16 01:17:15,0,NA,88
2021-02-16 01:17:16,0,NA,87
2021-02-16 01:17:17,0,NA,87
2021-02-16 01:17:18,0,NA,86
2021-02-16 01:17:19,0,NA,86
2021-02-16 01:17:20,0,NA,86
2021-02-16 01:17:21,0,NA,86
2021-02-16 01:17:22,0,NA,86
2021-02-16 01:17:23,0,NA,87
2021-02-16 01:17:24,0,NA,87
2021-02-16 01:17:25,0,NA,87
2021-02-16 01:17:26,0,NA,87
2021-02-16 01:17:27,0,NA,87
2021-02-16 01:17:28,0,NA,87
2021-02-16 01:17:29,0,NA,88
2021-02-16 01:17:30,0,NA,88
2021-02-16 01:17:31,0,NA,88
2021-02-16 01:17:32,0,NA,88
2021-02-16 01:17:33,0,NA,88
2021-02-16 01:17:34,0,NA,88
2021-02-16 01:17:35,0,NA,88
2021-02-16 01:17:36,0,NA,88
2021-02-16 01:17:37,0,NA,88
2021-02-16 01:17:38,0,NA,88
2021-02-16 01:17:39,0,NA,89
2021-02-16 01:17:40,0,NA,89
2021-02-16 01:17:41,0,NA,89
2021-02-16 01:17:42,0,NA,89
2021-02-16 01:17:43,0,NA,89
2021-02-16 01:17:44,0,NA,89
2021-02-16 01:17:45,0,NA,88
2021-02-16 01:17:46,0,NA,89
2021-02-16 01:17:47,0,NA,89
2021-02-16 01:17:48,0,NA,89
2021-02-16 01:17:49,0,NA,89
2021-02-16 01:17:50,0,NA,89
2021-02-16 01:17:51,0,NA,89
2021-02-16 01:17:52,0,NA,88
2021-02-16 01:17:53,0,NA,88
2021-02-16 01:17:54,0,NA,88
2021-02-16 01:17:55,0,NA,88
